"Object ID",FAAM-ID,Title,Permalink,"Musical Works","[Agent] Agent","[Agent] Role","[Agent] Date Start","Editorial annotations",Notes,Thumbnail,"GitHub Image URL"
15992667,KCA-TP74135,"18 ausgewählte Klavierstücke","not available","18 Ausgewählte Klavierstücke in Form von Suiten","Edition Peters",publisher,,"comparative study",,https://faam.laboxix-xx.be/upload/media/KCA-TP74135.gif,https://github.com/nicholascornia89/FAAM-dataset/tree/main/raw-images/KCA-TP74135/images/
15992667,KCA-TP74135,"18 ausgewählte Klavierstücke","not available","18 Ausgewählte Klavierstücke in Form von Suiten","Edition Peters",publisher,,dynamic,,https://faam.laboxix-xx.be/upload/media/KCA-TP74135.gif,https://github.com/nicholascornia89/FAAM-dataset/tree/main/raw-images/KCA-TP74135/images/
15992667,KCA-TP74135,"18 ausgewählte Klavierstücke","not available","18 Ausgewählte Klavierstücke in Form von Suiten","Edition Peters",publisher,,crescendo,,https://faam.laboxix-xx.be/upload/media/KCA-TP74135.gif,https://github.com/nicholascornia89/FAAM-dataset/tree/main/raw-images/KCA-TP74135/images/
15992667,KCA-TP74135,"18 ausgewählte Klavierstücke","not available","18 Ausgewählte Klavierstücke in Form von Suiten","Edition Peters",publisher,,"musical phrasing",,https://faam.laboxix-xx.be/upload/media/KCA-TP74135.gif,https://github.com/nicholascornia89/FAAM-dataset/tree/main/raw-images/KCA-TP74135/images/
15992667,KCA-TP74135,"18 ausgewählte Klavierstücke","not available","18 Ausgewählte Klavierstücke in Form von Suiten","Edition Peters",publisher,,fingering,,https://faam.laboxix-xx.be/upload/media/KCA-TP74135.gif,https://github.com/nicholascornia89/FAAM-dataset/tree/main/raw-images/KCA-TP74135/images/
15992667,KCA-TP74135,"18 ausgewählte Klavierstücke","not available","18 Ausgewählte Klavierstücke in Form von Suiten","Edition Peters",publisher,,trill,,https://faam.laboxix-xx.be/upload/media/KCA-TP74135.gif,https://github.com/nicholascornia89/FAAM-dataset/tree/main/raw-images/KCA-TP74135/images/
15992667,KCA-TP74135,"18 ausgewählte Klavierstücke","not available","18 Ausgewählte Klavierstücke in Form von Suiten","Edition Peters",publisher,,accent,,https://faam.laboxix-xx.be/upload/media/KCA-TP74135.gif,https://github.com/nicholascornia89/FAAM-dataset/tree/main/raw-images/KCA-TP74135/images/
15992667,KCA-TP74135,"18 ausgewählte Klavierstücke","not available","18 Ausgewählte Klavierstücke in Form von Suiten","Edition Peters",publisher,,"engage pedal",,https://faam.laboxix-xx.be/upload/media/KCA-TP74135.gif,https://github.com/nicholascornia89/FAAM-dataset/tree/main/raw-images/KCA-TP74135/images/
15992667,KCA-TP74135,"18 ausgewählte Klavierstücke","not available","18 Ausgewählte Klavierstücke in Form von Suiten","Edition Peters",publisher,,"release pedal",,https://faam.laboxix-xx.be/upload/media/KCA-TP74135.gif,https://github.com/nicholascornia89/FAAM-dataset/tree/main/raw-images/KCA-TP74135/images/
15992667,KCA-TP74135,"18 ausgewählte Klavierstücke","not available","18 Ausgewählte Klavierstücke in Form von Suiten","Edition Peters",publisher,,"musical expression",,https://faam.laboxix-xx.be/upload/media/KCA-TP74135.gif,https://github.com/nicholascornia89/FAAM-dataset/tree/main/raw-images/KCA-TP74135/images/
15992667,KCA-TP74135,"18 ausgewählte Klavierstücke","not available","18 Ausgewählte Klavierstücke in Form von Suiten","Edition Peters",publisher,,"performance practice",,https://faam.laboxix-xx.be/upload/media/KCA-TP74135.gif,https://github.com/nicholascornia89/FAAM-dataset/tree/main/raw-images/KCA-TP74135/images/
15992667,KCA-TP74135,"18 ausgewählte Klavierstücke","not available","18 Ausgewählte Klavierstücke in Form von Suiten","Edition Peters",publisher,,marcato,,https://faam.laboxix-xx.be/upload/media/KCA-TP74135.gif,https://github.com/nicholascornia89/FAAM-dataset/tree/main/raw-images/KCA-TP74135/images/
15992667,KCA-TP74135,"18 ausgewählte Klavierstücke","not available","18 Ausgewählte Klavierstücke in Form von Suiten","Edition Peters",publisher,,mordent,,https://faam.laboxix-xx.be/upload/media/KCA-TP74135.gif,https://github.com/nicholascornia89/FAAM-dataset/tree/main/raw-images/KCA-TP74135/images/
15992667,KCA-TP74135,"18 ausgewählte Klavierstücke","not available","18 Ausgewählte Klavierstücke in Form von Suiten","Edition Peters",publisher,,"alternative melody",,https://faam.laboxix-xx.be/upload/media/KCA-TP74135.gif,https://github.com/nicholascornia89/FAAM-dataset/tree/main/raw-images/KCA-TP74135/images/
15992667,KCA-TP74135,"18 ausgewählte Klavierstücke","not available","18 Ausgewählte Klavierstücke in Form von Suiten","Edition Peters",publisher,,ornament,,https://faam.laboxix-xx.be/upload/media/KCA-TP74135.gif,https://github.com/nicholascornia89/FAAM-dataset/tree/main/raw-images/KCA-TP74135/images/
15992667,KCA-TP74135,"18 ausgewählte Klavierstücke","not available","18 Ausgewählte Klavierstücke in Form von Suiten","Hans von Bülow",editor,1864-06-26,"comparative study",,https://faam.laboxix-xx.be/upload/media/KCA-TP74135.gif,https://github.com/nicholascornia89/FAAM-dataset/tree/main/raw-images/KCA-TP74135/images/
15992667,KCA-TP74135,"18 ausgewählte Klavierstücke","not available","18 Ausgewählte Klavierstücke in Form von Suiten","Hans von Bülow",editor,1864-06-26,dynamic,,https://faam.laboxix-xx.be/upload/media/KCA-TP74135.gif,https://github.com/nicholascornia89/FAAM-dataset/tree/main/raw-images/KCA-TP74135/images/
15992667,KCA-TP74135,"18 ausgewählte Klavierstücke","not available","18 Ausgewählte Klavierstücke in Form von Suiten","Hans von Bülow",editor,1864-06-26,crescendo,,https://faam.laboxix-xx.be/upload/media/KCA-TP74135.gif,https://github.com/nicholascornia89/FAAM-dataset/tree/main/raw-images/KCA-TP74135/images/
