measure_start,measure_end,object,value,id,quarterlength,offset,type
1,,<music21.note.Rest dotted-whole>,note,morgan1,6.0,0.0,GeneralNote
1,,<music21.note.Note B->,note,morgan2,2.0,0.0,GeneralNote
1,,<music21.chord.Chord E-4 G-4>,note,morgan3,2.0,0.0,GeneralNote
1,,<music21.note.Rest dotted-whole>,note,morgan4,6.0,0.0,GeneralNote
1,,<music21.note.Rest quarter>,note,morgan5,1.0,2.0,GeneralNote
1,,<music21.chord.Chord E-4 G-4>,note,morgan6,2.0,2.0,GeneralNote
1,,<music21.note.Rest eighth>,note,morgan7,0.5,3.0,GeneralNote
1,,<music21.note.Note B->,note,morgan8,0.5,3.5,GeneralNote
1,,<music21.note.Note E->,note,morgan9,1.5,4.0,GeneralNote
1,,<music21.chord.Chord E-4 G-4>,note,morgan10,2.0,4.0,GeneralNote
1,,<music21.note.Note G->,note,morgan11,0.5,5.5,GeneralNote
1,2,<music21.spanner.Slur <music21.note.Note B-><music21.note.Note C->>,slur,morgan1027,2.5,0.0,Slur
1,,<music21.dynamics.Dynamic pp>,pp,morgan1069,,,DynamicPoint
1,,<music21.expressions.TextExpression 'Lento'>,Lento,morgan1125,0.0,0.0,TextExpression
1,,<music21.tempo.MetronomeMark Quarter=52.5 (playback only)>,None,morgan1133,0.0,0.0,TempoIndication
1,,<music21.tempo.MetronomeMark largo Half=48>,largo,morgan1134,0.0,0.0,TempoIndication
1,,<music21.tempo.MetronomeMark Quarter=52.5 (playback only)>,None None,morgan1135,0.0,0.0,MetronomeMark
1,,<music21.tempo.MetronomeMark largo Half=48>,largo 48,morgan1136,0.0,0.0,MetronomeMark
2,,<music21.note.Rest dotted-whole>,note,morgan12,6.0,6.0,GeneralNote
2,,<music21.note.Note C->,note,morgan13,2.0,6.0,GeneralNote
2,,<music21.chord.Chord E-4 A-4>,note,morgan14,2.0,6.0,GeneralNote
2,,<music21.note.Rest dotted-whole>,note,morgan15,6.0,6.0,GeneralNote
2,,<music21.note.Rest quarter>,note,morgan16,1.0,8.0,GeneralNote
