id,object,measure,type
sauer1,<music21.note.Note B>,0,GeneralNote
sauer2,<music21.note.Rest eighth>,0,GeneralNote
sauer1016,<music21.spanner.Slur <music21.note.Note B><music21.note.Note F#>>,0,Slur
sauer1105,<music21.dynamics.Dynamic p>,0,DynamicPoint
sauer1189,<music21.expressions.TextExpression 'Allegretto'>,0,TextExpression
sauer1190,<music21.expressions.TextExpression 'espressivo'>,0,TextExpression
sauer1198,<music21.tempo.MetronomeMark Quarter=116 (playback only)>,0,TempoIndication
sauer1199,<music21.tempo.MetronomeMark Quarter=116 (playback only)>,0,MetronomeMark
sauer3,<music21.note.Note E>,1,GeneralNote
sauer4,<music21.chord.Chord E4 G4>,1,GeneralNote
sauer5,<music21.note.Rest dotted-half>,1,GeneralNote
sauer6,<music21.note.Note F#>,1,GeneralNote
sauer7,<music21.note.Note G>,1,GeneralNote
sauer8,<music21.note.Note F#>,1,GeneralNote
sauer9,<music21.chord.Chord D#4 F#4>,1,GeneralNote
sauer10,<music21.note.Note B>,1,GeneralNote
sauer11,<music21.note.Note B>,1,GeneralNote
sauer12,<music21.note.Note G>,2,GeneralNote
sauer13,<music21.articulations.Fingering (34)>,2,Fingering
sauer14,<music21.note.Note E>,2,GeneralNote
sauer15,<music21.note.Rest dotted-half>,2,GeneralNote
sauer16,<music21.note.Note G>,2,GeneralNote
sauer17,<music21.note.Note B>,2,GeneralNote
sauer18,<music21.note.Note F#>,2,GeneralNote
sauer19,<music21.note.Note D>,2,GeneralNote
sauer20,<music21.note.Note G>,2,GeneralNote
sauer21,<music21.note.Note B>,2,GeneralNote
sauer22,<music21.articulations.Fingering 3>,2,Fingering
sauer23,<music21.note.Note B>,2,GeneralNote
sauer1017,<music21.spanner.Slur <music21.note.Note B><music21.note.Note A>>,2,Slur
sauer1018,<music21.spanner.Slur <music21.note.Note E><music21.note.Note B>>,2,Slur
sauer24,<music21.note.Note A>,3,GeneralNote
sauer25,<music21.articulations.Staccato>,3,Articulation
sauer26,<music21.note.Note E>,3,GeneralNote
sauer27,<music21.note.Note C>,3,GeneralNote
sauer28,<music21.articulations.Fingering 4>,3,Fingering
sauer29,<music21.note.Note C>,3,GeneralNote
sauer30,<music21.articulations.Fingering 4>,3,Fingering
sauer31,<music21.note.Note B>,3,GeneralNote
sauer32,<music21.note.Note A>,3,GeneralNote
sauer33,<music21.note.Note G>,3,GeneralNote
sauer34,<music21.articulations.Fingering 1>,3,Fingering
sauer35,<music21.note.Note F#>,3,GeneralNote
sauer36,<music21.articulations.Fingering 2>,3,Fingering
sauer37,<music21.articulations.Staccato>,3,Articulation
sauer38,<music21.chord.Chord E4 F#4>,3,GeneralNote
sauer39,<music21.note.Note A>,3,GeneralNote
sauer40,<music21.note.Note A>,3,GeneralNote
sauer41,<music21.articulations.Fingering 4>,3,Fingering
sauer42,<music21.note.Note G>,3,GeneralNote
sauer43,<music21.note.Note F#>,3,GeneralNote
sauer44,<music21.note.Note E>,3,GeneralNote
sauer45,<music21.articulations.Fingering 1>,3,Fingering
sauer1019,<music21.spanner.Slur <music21.note.Note C><music21.note.Note F#>>,3,Slur
sauer1020,<music21.spanner.Slur <music21.note.Note A><music21.note.Note E>>,3,Slur
sauer1021,<music21.spanner.Slur <music21.note.Note C><music21.note.Note A>>,3,Slur
sauer46,<music21.note.Note E>,4,GeneralNote
sauer47,<music21.articulations.Fingering 3>,4,Fingering
sauer48,<music21.note.Note B>,4,GeneralNote
sauer49,<music21.note.Note D#>,4,GeneralNote
sauer50,<music21.note.Note D#>,4,GeneralNote
sauer51,<music21.note.Note F#>,4,GeneralNote
sauer52,<music21.note.Note D#>,4,GeneralNote
sauer53,<music21.note.Note B>,4,GeneralNote
sauer54,<music21.note.Note A>,4,GeneralNote
sauer55,<music21.note.Note G>,4,GeneralNote
sauer56,<music21.note.Note F#>,4,GeneralNote
sauer57,<music21.note.Note B>,4,GeneralNote
sauer58,<music21.articulations.Fingering 5>,4,Fingering
sauer59,<music21.note.Note E>,4,GeneralNote
sauer1022,<music21.spanner.Slur <music21.note.Note E><music21.note.Note D#>>,4,Slur
sauer1023,<music21.spanner.Slur <music21.note.Note B><music21.note.Note D>>,4,Slur
sauer1024,<music21.spanner.Slur <music21.note.Note B><music21.note.Note E>>,4,Slur
sauer1106,<music21.dynamics.Dynamic p>,4,DynamicPoint
sauer1126,<music21.dynamics.Diminuendo <music21.note.Note B><music21.note.Note F#>>,4,DynamicRegion
sauer60,<music21.note.Note D>,5,GeneralNote
sauer61,<music21.articulations.Fingering 2>,5,Fingering
sauer62,<music21.note.Note A>,5,GeneralNote
sauer63,<music21.note.Rest dotted-half>,5,GeneralNote
sauer64,<music21.note.Note C>,5,GeneralNote
sauer65,<music21.note.Note A>,5,GeneralNote
sauer67,<music21.note.Note C>,5,GeneralNote
sauer68,<music21.articulations.Fingering 2>,5,Fingering
sauer69,<music21.note.Note G>,5,GeneralNote
sauer70,<music21.note.Note B>,5,GeneralNote
sauer71,<music21.note.Note G>,5,GeneralNote
sauer72,<music21.note.Note G>,5,GeneralNote
sauer1025,<music21.spanner.Slur <music21.note.Note A><music21.note.Note G>>,5,Slur
sauer1026,<music21.spanner.Slur <music21.note.Note G><music21.note.Note F#>>,5,Slur
sauer73,<music21.note.Note B>,6,GeneralNote
sauer74,<music21.note.Note F#>,6,GeneralNote
sauer76,<music21.note.Note A>,6,GeneralNote
sauer77,<music21.note.Note F#>,6,GeneralNote
sauer78,<music21.note.Note F#>,6,GeneralNote
sauer79,<music21.note.Note A>,6,GeneralNote
sauer80,<music21.note.Note E>,6,GeneralNote
sauer81,<music21.note.Note G>,6,GeneralNote
sauer82,<music21.note.Note E>,6,GeneralNote
sauer83,<music21.note.Note E>,6,GeneralNote
sauer1027,<music21.spanner.Slur <music21.note.Note F#><music21.note.Note E>>,6,Slur
sauer1028,<music21.spanner.Slur <music21.note.Note E><music21.note.Note D>>,6,Slur
sauer84,<music21.note.Note G>,7,GeneralNote
sauer85,<music21.note.Note D>,7,GeneralNote
sauer86,<music21.note.Rest quarter>,7,GeneralNote
sauer87,<music21.note.Note F#>,7,GeneralNote
sauer88,<music21.note.Note D>,7,GeneralNote
sauer89,<music21.note.Note D>,7,GeneralNote
sauer90,<music21.note.Rest eighth>,7,GeneralNote
sauer91,<music21.note.Note F#>,7,GeneralNote
sauer92,<music21.note.Rest quarter>,7,GeneralNote
sauer93,<music21.note.Rest quarter>,7,GeneralNote
sauer94,<music21.note.Note C>,7,GeneralNote
sauer95,<music21.note.Note E>,7,GeneralNote
sauer96,<music21.note.Note C>,7,GeneralNote
sauer97,<music21.note.Rest eighth>,7,GeneralNote
sauer98,<music21.note.Rest eighth>,7,GeneralNote
sauer99,<music21.note.Note C>,7,GeneralNote
sauer1029,<music21.spanner.Slur <music21.note.Note D><music21.note.Note C>>,7,Slur
sauer1030,<music21.spanner.Slur <music21.note.Note C><music21.note.Note B>>,7,Slur
sauer1128,<music21.dynamics.Diminuendo <music21.note.Note F#><music21.note.Note C>>,7,DynamicRegion
sauer100,<music21.note.Note D>,8,GeneralNote
sauer101,<music21.articulations.Fingering 1>,8,Fingering
sauer102,<music21.articulations.Staccato>,8,Articulation
sauer103,<music21.note.Note B>,8,GeneralNote
sauer104,<music21.articulations.Staccato>,8,Articulation
sauer105,<music21.note.Note E>,8,GeneralNote
sauer106,<music21.note.Note C>,8,GeneralNote
sauer107,<music21.articulations.Fingering 2>,8,Fingering
sauer108,<music21.note.Note F#>,8,GeneralNote
sauer109,<music21.note.Note D>,8,GeneralNote
sauer110,<music21.articulations.Fingering 1>,8,Fingering
sauer111,<music21.note.Note G>,8,GeneralNote
sauer112,<music21.articulations.Fingering 1>,8,Fingering
sauer113,<music21.note.Note E>,8,GeneralNote
sauer114,<music21.articulations.Fingering 3>,8,Fingering
sauer115,<music21.note.Note A>,8,GeneralNote
sauer116,<music21.note.Note F#>,8,GeneralNote
sauer117,<music21.note.Note B>,8,GeneralNote
sauer118,<music21.articulations.Staccato>,8,Articulation
sauer119,<music21.note.Note G>,8,GeneralNote
sauer120,<music21.articulations.Staccato>,8,Articulation
sauer121,<music21.note.Note A>,8,GeneralNote
sauer122,<music21.articulations.Staccato>,8,Articulation
sauer123,<music21.note.Note F#>,8,GeneralNote
sauer124,<music21.articulations.Staccato>,8,Articulation
sauer125,<music21.note.Note G>,8,GeneralNote
sauer126,<music21.articulations.Staccato>,8,Articulation
sauer127,<music21.note.Note E>,8,GeneralNote
sauer128,<music21.articulations.Staccato>,8,Articulation
sauer1031,<music21.spanner.Slur <music21.note.Note E><music21.note.Note B>>,8,Slur
sauer1032,<music21.spanner.Slur <music21.note.Note C><music21.note.Note G>>,8,Slur
sauer1107,<music21.dynamics.Dynamic p>,8,DynamicPoint
sauer1130,<music21.dynamics.Crescendo <music21.note.Note E><music21.note.Note A>>,8,DynamicRegion
sauer1132,<music21.dynamics.Diminuendo <music21.note.Note B><music21.note.Note G>>,8,DynamicRegion
sauer129,<music21.note.Note F#>,9,GeneralNote
sauer130,<music21.articulations.Fingering 2>,9,Fingering
sauer131,<music21.note.Note D>,9,GeneralNote
sauer132,<music21.articulations.Fingering 4>,9,Fingering
sauer133,<music21.note.Rest dotted-half>,9,GeneralNote
sauer134,<music21.note.Note G>,9,GeneralNote
sauer135,<music21.articulations.Fingering 3>,9,Fingering
sauer136,<music21.note.Note E>,9,GeneralNote
sauer137,<music21.note.Note A>,9,GeneralNote
sauer138,<music21.articulations.Fingering 1>,9,Fingering
sauer139,<music21.note.Note F#>,9,GeneralNote
sauer140,<music21.note.Note B>,9,GeneralNote
sauer141,<music21.note.Note G>,9,GeneralNote
sauer142,<music21.note.Note C>,9,GeneralNote
sauer143,<music21.note.Note A>,9,GeneralNote
sauer144,<music21.articulations.Fingering 3>,9,Fingering
sauer145,<music21.note.Note D>,9,GeneralNote
sauer146,<music21.note.Note B>,9,GeneralNote
sauer147,<music21.note.Note E>,9,GeneralNote
sauer148,<music21.articulations.Staccato>,9,Articulation
sauer149,<music21.note.Note C>,9,GeneralNote
sauer150,<music21.articulations.Staccato>,9,Articulation
sauer151,<music21.note.Note D>,9,GeneralNote
sauer152,<music21.articulations.Staccato>,9,Articulation
sauer153,<music21.note.Note B>,9,GeneralNote
sauer154,<music21.articulations.Staccato>,9,Articulation
sauer155,<music21.note.Note C>,9,GeneralNote
sauer156,<music21.articulations.Staccato>,9,Articulation
sauer157,<music21.note.Note A>,9,GeneralNote
sauer158,<music21.articulations.Staccato>,9,Articulation
sauer1033,<music21.spanner.Slur <music21.note.Note F#><music21.note.Note E>>,9,Slur
sauer1034,<music21.spanner.Slur <music21.note.Note D><music21.note.Note C>>,9,Slur
sauer1035,<music21.spanner.Slur <music21.note.Note D><music21.note.Note C>>,9,Slur
sauer1134,<music21.dynamics.Crescendo <music21.note.Note F#><music21.note.Note D>>,9,DynamicRegion
sauer1136,<music21.dynamics.Diminuendo <music21.note.Note E><music21.note.Note C>>,9,DynamicRegion
sauer159,<music21.note.Note B>,10,GeneralNote
sauer160,<music21.articulations.Fingering 2>,10,Fingering
sauer161,<music21.articulations.Staccato>,10,Articulation
sauer162,<music21.note.Note G>,10,GeneralNote
sauer163,<music21.articulations.Fingering 4>,10,Fingering
sauer164,<music21.articulations.Staccato>,10,Articulation
sauer165,<music21.note.Rest dotted-half>,10,GeneralNote
sauer166,<music21.note.Note C>,10,GeneralNote
sauer167,<music21.articulations.Fingering 1>,10,Fingering
sauer168,<music21.note.Note A>,10,GeneralNote
sauer169,<music21.note.Note D>,10,GeneralNote
sauer170,<music21.note.Note B>,10,GeneralNote
sauer171,<music21.note.Note E>,10,GeneralNote
sauer172,<music21.note.Note C>,10,GeneralNote
sauer173,<music21.note.Note F#>,10,GeneralNote
sauer174,<music21.note.Note D>,10,GeneralNote
sauer175,<music21.articulations.Fingering 2>,10,Fingering
sauer176,<music21.note.Note G>,10,GeneralNote
sauer177,<music21.articulations.Staccato>,10,Articulation
sauer178,<music21.note.Note E>,10,GeneralNote
sauer179,<music21.articulations.Fingering 1>,10,Fingering
sauer180,<music21.articulations.Staccato>,10,Articulation
sauer181,<music21.note.Note F#>,10,GeneralNote
sauer182,<music21.articulations.Staccato>,10,Articulation
sauer183,<music21.note.Note D>,10,GeneralNote
sauer184,<music21.articulations.Staccato>,10,Articulation
sauer185,<music21.note.Note E>,10,GeneralNote
sauer186,<music21.articulations.Staccato>,10,Articulation
sauer187,<music21.note.Note C>,10,GeneralNote
sauer188,<music21.articulations.Staccato>,10,Articulation
sauer1036,<music21.spanner.Slur <music21.note.Note C><music21.note.Note G>>,10,Slur
sauer1037,<music21.spanner.Slur <music21.note.Note A><music21.note.Note E>>,10,Slur
sauer1138,<music21.dynamics.Crescendo <music21.note.Note B><music21.note.Note F#>>,10,DynamicRegion
sauer1140,<music21.dynamics.Diminuendo <music21.note.Note G><music21.note.Note E>>,10,DynamicRegion
sauer189,<music21.note.Note D>,11,GeneralNote
sauer190,<music21.articulations.Fingering 1>,11,Fingering
sauer191,<music21.note.Note B>,11,GeneralNote
sauer192,<music21.articulations.Fingering 4>,11,Fingering
sauer193,<music21.note.Rest dotted-half>,11,GeneralNote
sauer194,<music21.note.Note E>,11,GeneralNote
sauer195,<music21.note.Note C>,11,GeneralNote
sauer196,<music21.note.Note F#>,11,GeneralNote
sauer197,<music21.note.Note D>,11,GeneralNote
sauer198,<music21.note.Note G>,11,GeneralNote
sauer199,<music21.articulations.Fingering 1>,11,Fingering
sauer200,<music21.note.Note E>,11,GeneralNote
sauer201,<music21.note.Note A>,11,GeneralNote
sauer202,<music21.note.Note F#>,11,GeneralNote
sauer203,<music21.articulations.Fingering 4>,11,Fingering
sauer204,<music21.note.Note B>,11,GeneralNote
sauer205,<music21.note.Note G>,11,GeneralNote
sauer206,<music21.note.Note C>,11,GeneralNote
sauer207,<music21.note.Note A>,11,GeneralNote
sauer208,<music21.note.Note D>,11,GeneralNote
sauer209,<music21.articulations.Fingering 5>,11,Fingering
sauer210,<music21.articulations.Staccato>,11,Articulation
sauer211,<music21.note.Note B>,11,GeneralNote
sauer212,<music21.articulations.Staccato>,11,Articulation
sauer213,<music21.note.Note C>,11,GeneralNote
sauer214,<music21.articulations.Staccato>,11,Articulation
sauer215,<music21.note.Note A>,11,GeneralNote
sauer216,<music21.articulations.Staccato>,11,Articulation
sauer217,<music21.note.Note B>,11,GeneralNote
