id,object,measure,type
oesterle1,<music21.note.Note A>,0,GeneralNote
oesterle2,<music21.articulations.Fingering 1>,0,Fingering
oesterle3,<music21.note.Rest dotted-half>,0,GeneralNote
oesterle1278,<music21.dynamics.Dynamic p>,0,DynamicPoint
oesterle1336,<music21.expressions.TextExpression 'Allegretto'>,0,TextExpression
oesterle1351,<music21.tempo.MetronomeMark Quarter=116 (playback only)>,0,TempoIndication
oesterle1352,<music21.tempo.MetronomeMark Quarter=116 (playback only)>,0,MetronomeMark
oesterle4,<music21.note.Note D>,1,GeneralNote
oesterle5,<music21.articulations.Fingering 2>,1,Fingering
oesterle6,<music21.chord.Chord D4 F4>,1,GeneralNote
oesterle7,<music21.articulations.Fingering 4>,1,Fingering
oesterle8,<music21.articulations.Fingering 2>,1,Fingering
oesterle9,<music21.note.Rest dotted-half>,1,GeneralNote
oesterle10,<music21.note.Note E>,1,GeneralNote
oesterle11,<music21.note.Note F>,1,GeneralNote
oesterle12,<music21.note.Note E>,1,GeneralNote
oesterle13,<music21.chord.Chord C#4 E4>,1,GeneralNote
oesterle14,<music21.note.Note A>,1,GeneralNote
oesterle15,<music21.note.Note A>,1,GeneralNote
oesterle1173,<music21.spanner.Slur <music21.note.Note D><music21.note.Note A>>,1,Slur
oesterle1301,<music21.dynamics.Crescendo <music21.note.Note E><music21.note.Note A>>,1,DynamicRegion
oesterle16,<music21.note.Note F>,2,GeneralNote
oesterle17,<music21.articulations.Fingering 34>,2,Fingering
oesterle18,<music21.note.Note D>,2,GeneralNote
oesterle19,<music21.note.Rest dotted-half>,2,GeneralNote
oesterle20,<music21.note.Note F>,2,GeneralNote
oesterle21,<music21.note.Note A>,2,GeneralNote
oesterle22,<music21.note.Note E>,2,GeneralNote
oesterle23,<music21.note.Note C>,2,GeneralNote
oesterle24,<music21.note.Note F>,2,GeneralNote
oesterle25,<music21.note.Note A>,2,GeneralNote
oesterle26,<music21.note.Note A>,2,GeneralNote
oesterle1174,<music21.spanner.Slur <music21.note.Note F><music21.note.Note E>>,2,Slur
oesterle1175,<music21.spanner.Slur <music21.note.Note A><music21.note.Note G>>,2,Slur
oesterle1176,<music21.spanner.Slur <music21.note.Note D><music21.note.Note A>>,2,Slur
oesterle1303,<music21.dynamics.Diminuendo <music21.note.Note F><music21.note.Note C>>,2,DynamicRegion
oesterle27,<music21.note.Note G>,3,GeneralNote
oesterle28,<music21.articulations.Staccato>,3,Articulation
oesterle29,<music21.note.Note D>,3,GeneralNote
oesterle30,<music21.note.Note B->,3,GeneralNote
oesterle31,<music21.note.Note B->,3,GeneralNote
oesterle32,<music21.articulations.Fingering 4>,3,Fingering
oesterle33,<music21.note.Note A>,3,GeneralNote
oesterle34,<music21.note.Note G>,3,GeneralNote
oesterle35,<music21.note.Note F>,3,GeneralNote
oesterle36,<music21.note.Note E>,3,GeneralNote
oesterle37,<music21.articulations.Fingering 2>,3,Fingering
oesterle38,<music21.articulations.Staccato>,3,Articulation
oesterle39,<music21.chord.Chord D4 E4>,3,GeneralNote
oesterle40,<music21.note.Note G>,3,GeneralNote
oesterle41,<music21.note.Note G>,3,GeneralNote
oesterle42,<music21.note.Note F>,3,GeneralNote
oesterle43,<music21.note.Note E>,3,GeneralNote
oesterle44,<music21.note.Note D>,3,GeneralNote
oesterle1177,<music21.spanner.Slur <music21.note.Note B-><music21.note.Note E>>,3,Slur
oesterle45,<music21.note.Note D>,4,GeneralNote
oesterle46,<music21.articulations.Fingering 3>,4,Fingering
oesterle47,<music21.note.Note A>,4,GeneralNote
oesterle48,<music21.note.Note C#>,4,GeneralNote
oesterle49,<music21.articulations.Fingering 3>,4,Fingering
oesterle50,<music21.note.Note C#>,4,GeneralNote
oesterle51,<music21.note.Note E>,4,GeneralNote
oesterle52,<music21.articulations.Fingering 2>,4,Fingering
oesterle53,<music21.note.Note C#>,4,GeneralNote
oesterle54,<music21.note.Note A>,4,GeneralNote
oesterle55,<music21.note.Note G>,4,GeneralNote
oesterle56,<music21.note.Note F>,4,GeneralNote
oesterle57,<music21.note.Note E>,4,GeneralNote
oesterle58,<music21.note.Note A>,4,GeneralNote
oesterle59,<music21.articulations.Staccato>,4,Articulation
oesterle60,<music21.note.Note D>,4,GeneralNote
oesterle61,<music21.articulations.Staccato>,4,Articulation
oesterle1178,<music21.spanner.Slur <music21.note.Note D><music21.note.Note A>>,4,Slur
oesterle1179,<music21.spanner.Slur <music21.note.Note A><music21.note.Note E>>,4,Slur
oesterle1180,<music21.spanner.Slur <music21.note.Note A><music21.note.Note D>>,4,Slur
oesterle1305,<music21.dynamics.Crescendo <music21.note.Note D><music21.note.Note A>>,4,DynamicRegion
oesterle62,<music21.note.Note C>,5,GeneralNote
oesterle63,<music21.articulations.Fingering 2>,5,Fingering
oesterle64,<music21.note.Note G>,5,GeneralNote
oesterle65,<music21.articulations.Fingering 1>,5,Fingering
oesterle66,<music21.note.Rest dotted-half>,5,GeneralNote
oesterle67,<music21.note.Note B->,5,GeneralNote
oesterle68,<music21.note.Note G>,5,GeneralNote
oesterle69,<music21.note.Note G>,5,GeneralNote
oesterle70,<music21.articulations.Fingering 2>,5,Fingering
oesterle71,<music21.note.Note B->,5,GeneralNote
oesterle72,<music21.articulations.Fingering 2>,5,Fingering
