id,object,measure,type
buonamici1,<music21.note.Rest eighth>,0,GeneralNote
buonamici2,<music21.note.Note B>,0,GeneralNote
buonamici3,<music21.note.Rest eighth>,0,GeneralNote
buonamici1622,<music21.dynamics.Dynamic p>,0,DynamicPoint
buonamici1689,<music21.expressions.TextExpression 'Allegro'>,0,TextExpression
buonamici1698,<music21.tempo.MetronomeMark Quarter=144 (playback only)>,0,TempoIndication
buonamici1699,<music21.tempo.MetronomeMark andantino Dotted Quarter=80>,0,TempoIndication
buonamici1700,<music21.tempo.MetronomeMark Quarter=144 (playback only)>,0,MetronomeMark
buonamici1701,<music21.tempo.MetronomeMark andantino Dotted Quarter=80>,0,MetronomeMark
buonamici4,<music21.note.Rest dotted-half>,1,GeneralNote
buonamici5,<music21.note.Note E>,1,GeneralNote
buonamici6,<music21.chord.Chord E4 G4 B4>,1,GeneralNote
buonamici7,<music21.note.Note F#>,1,GeneralNote
buonamici8,<music21.note.Note G>,1,GeneralNote
buonamici9,<music21.note.Note F#>,1,GeneralNote
buonamici10,<music21.chord.Chord D#4 F#4 B4>,1,GeneralNote
buonamici11,<music21.note.Note B>,1,GeneralNote
buonamici12,<music21.note.Note B>,1,GeneralNote
buonamici1522,<music21.spanner.Slur <music21.note.Note E><music21.note.Note B>>,1,Slur
buonamici1523,<music21.spanner.Slur <music21.chord.Chord E4 G4 B4><music21.chord.Chord D#4 F#4 B4>>,1,Slur
buonamici13,<music21.note.Note G>,2,GeneralNote
buonamici14,<music21.note.Note G>,2,GeneralNote
buonamici15,<music21.note.Note E>,2,GeneralNote
buonamici16,<music21.note.Note A>,2,GeneralNote
buonamici17,<music21.note.Note G>,2,GeneralNote
buonamici18,<music21.note.Note A>,2,GeneralNote
buonamici19,<music21.note.Note G>,2,GeneralNote
buonamici20,<music21.note.Note G>,2,GeneralNote
buonamici21,<music21.note.Note A>,2,GeneralNote
buonamici22,<music21.note.Note G>,2,GeneralNote
buonamici23,<music21.note.Note B>,2,GeneralNote
buonamici24,<music21.note.Note A>,2,GeneralNote
buonamici25,<music21.note.Note G>,2,GeneralNote
buonamici26,<music21.note.Note F#>,2,GeneralNote
buonamici27,<music21.note.Note F#>,2,GeneralNote
buonamici28,<music21.note.Note D>,2,GeneralNote
buonamici29,<music21.note.Rest 16th>,2,GeneralNote
buonamici30,<music21.note.Rest 16th>,2,GeneralNote
buonamici31,<music21.note.Note G>,2,GeneralNote
buonamici32,<music21.note.Note B>,2,GeneralNote
buonamici33,<music21.note.Note B>,2,GeneralNote
buonamici34,<music21.note.Note B>,2,GeneralNote
buonamici1518,<music21.spanner.Slur <music21.note.Note G><music21.note.Note G>>,2,Slur
buonamici1519,<music21.spanner.Slur <music21.note.Note F#><music21.note.Note B>>,2,Slur
buonamici1524,<music21.spanner.Slur <music21.note.Note F#><music21.note.Note B>>,2,Slur
buonamici1525,<music21.spanner.Slur <music21.note.Note E><music21.note.Note B>>,2,Slur
buonamici35,<music21.note.Rest dotted-half>,3,GeneralNote
buonamici36,<music21.note.Note A>,3,GeneralNote
buonamici37,<music21.articulations.Staccato>,3,Articulation
buonamici38,<music21.chord.Chord C4 E4 A4>,3,GeneralNote
buonamici39,<music21.note.Note C>,3,GeneralNote
buonamici40,<music21.note.Note B>,3,GeneralNote
buonamici41,<music21.note.Note A>,3,GeneralNote
buonamici42,<music21.note.Note G>,3,GeneralNote
buonamici43,<music21.note.Note F#>,3,GeneralNote
buonamici44,<music21.articulations.Staccato>,3,Articulation
buonamici45,<music21.chord.Chord A3 E4 F#4 C5>,3,GeneralNote
buonamici46,<music21.articulations.Staccato>,3,Articulation
buonamici47,<music21.note.Rest 16th>,3,GeneralNote
buonamici48,<music21.note.Rest 16th>,3,GeneralNote
buonamici49,<music21.note.Note A>,3,GeneralNote
buonamici50,<music21.note.Rest eighth>,3,GeneralNote
buonamici51,<music21.note.Note G>,3,GeneralNote
buonamici52,<music21.note.Note F#>,3,GeneralNote
buonamici53,<music21.note.Rest eighth>,3,GeneralNote
buonamici54,<music21.note.Note E>,3,GeneralNote
buonamici1526,<music21.spanner.Slur <music21.note.Note C><music21.note.Note F#>>,3,Slur
buonamici1527,<music21.spanner.Slur <music21.note.Note A><music21.note.Note E>>,3,Slur
buonamici1528,<music21.spanner.Slur <music21.chord.Chord C4 E4 A4><music21.chord.Chord A3 E4 F#4 C5>>,3,Slur
buonamici55,<music21.note.Rest dotted-half>,4,GeneralNote
buonamici56,<music21.note.Note E>,4,GeneralNote
buonamici57,<music21.note.Note B>,4,GeneralNote
buonamici58,<music21.articulations.Fingering 5>,4,Fingering
buonamici59,<music21.note.Note F#>,4,GeneralNote
buonamici60,<music21.articulations.Fingering 2>,4,Fingering
buonamici61,<music21.note.Note D#>,4,GeneralNote
buonamici62,<music21.note.Note B>,4,GeneralNote
buonamici63,<music21.articulations.Fingering 1>,4,Fingering
buonamici64,<music21.note.Rest 16th>,4,GeneralNote
buonamici65,<music21.note.Rest 16th>,4,GeneralNote
buonamici66,<music21.note.Note D#>,4,GeneralNote
buonamici67,<music21.note.Note B>,4,GeneralNote
buonamici68,<music21.articulations.Fingering 2>,4,Fingering
buonamici69,<music21.note.Note A>,4,GeneralNote
buonamici70,<music21.articulations.Fingering 1>,4,Fingering
buonamici71,<music21.note.Note G>,4,GeneralNote
buonamici72,<music21.articulations.Fingering 2>,4,Fingering
buonamici73,<music21.note.Note F#>,4,GeneralNote
buonamici74,<music21.articulations.Fingering 3>,4,Fingering
buonamici75,<music21.note.Note B>,4,GeneralNote
buonamici76,<music21.chord.Chord E4 G4>,4,GeneralNote
buonamici77,<music21.articulations.Fingering 4>,4,Fingering
buonamici78,<music21.articulations.Staccato>,4,Articulation
buonamici79,<music21.articulations.Fingering 2>,4,Fingering
buonamici1529,<music21.spanner.Slur <music21.note.Note E><music21.note.Note B>>,4,Slur
buonamici1530,<music21.spanner.Slur <music21.note.Note B><music21.note.Note B>>,4,Slur
buonamici1531,<music21.spanner.Slur <music21.note.Note B><music21.chord.Chord E4 G4>>,4,Slur
buonamici1634,<music21.dynamics.Crescendo <music21.note.Note E><music21.note.Note D#>>,4,DynamicRegion
buonamici1636,<music21.dynamics.Diminuendo <music21.note.Note D#><music21.note.Note B>>,4,DynamicRegion
buonamici80,<music21.note.Rest dotted-half>,5,GeneralNote
buonamici81,<music21.note.Note D>,5,GeneralNote
buonamici82,<music21.articulations.Fingering 1>,5,Fingering
buonamici83,<music21.note.Note B>,5,GeneralNote
buonamici84,<music21.note.Note C>,5,GeneralNote
buonamici85,<music21.articulations.Fingering 2>,5,Fingering
buonamici86,<music21.note.Note A>,5,GeneralNote
buonamici87,<music21.note.Note A>,5,GeneralNote
buonamici88,<music21.note.Note D#>,5,GeneralNote
buonamici89,<music21.articulations.Fingering 5>,5,Fingering
buonamici90,<music21.note.Rest 16th>,5,GeneralNote
buonamici91,<music21.note.Rest 16th>,5,GeneralNote
buonamici92,<music21.note.Note C>,5,GeneralNote
buonamici93,<music21.articulations.Fingering 1>,5,Fingering
buonamici94,<music21.note.Note A>,5,GeneralNote
buonamici95,<music21.note.Note B>,5,GeneralNote
buonamici96,<music21.articulations.Fingering 2>,5,Fingering
buonamici97,<music21.note.Note G>,5,GeneralNote
buonamici98,<music21.note.Note G>,5,GeneralNote
buonamici99,<music21.note.Note E>,5,GeneralNote
buonamici100,<music21.articulations.Fingering 4>,5,Fingering
buonamici1532,<music21.spanner.Slur <music21.note.Note D><music21.note.Note C>>,5,Slur
buonamici1533,<music21.spanner.Slur <music21.note.Note B><music21.note.Note A>>,5,Slur
buonamici1623,<music21.dynamics.Dynamic p>,5,DynamicPoint
buonamici1690,<music21.expressions.TextExpression 'tranquillo'>,5,TextExpression
buonamici101,<music21.note.Rest dotted-half>,6,GeneralNote
buonamici102,<music21.note.Note B>,6,GeneralNote
buonamici103,<music21.note.Note G>,6,GeneralNote
buonamici104,<music21.note.Note A>,6,GeneralNote
buonamici105,<music21.note.Note F#>,6,GeneralNote
buonamici106,<music21.note.Note F#>,6,GeneralNote
buonamici107,<music21.note.Note B>,6,GeneralNote
buonamici108,<music21.articulations.Fingering 5>,6,Fingering
buonamici109,<music21.note.Rest 16th>,6,GeneralNote
buonamici110,<music21.note.Rest 16th>,6,GeneralNote
buonamici111,<music21.note.Note A>,6,GeneralNote
buonamici112,<music21.note.Note F#>,6,GeneralNote
buonamici113,<music21.note.Note G>,6,GeneralNote
buonamici114,<music21.note.Note E>,6,GeneralNote
buonamici115,<music21.note.Note E>,6,GeneralNote
buonamici116,<music21.note.Note C>,6,GeneralNote
buonamici117,<music21.articulations.Fingering 4>,6,Fingering
buonamici118,<music21.note.Rest 16th>,6,GeneralNote
buonamici119,<music21.note.Rest 16th>,6,GeneralNote
