id,object,measure,type
N1,<music21.note.Rest dotted-whole>,1,GeneralNote
N792,<music21.spanner.Slur <music21.note.Note B-><music21.note.Note G->>,1,Slur
N833,<music21.dynamics.Dynamic p>,1,DynamicPoint
N844,<music21.expressions.TextExpression 'Modérément...'>,1,TextExpression
N845,<music21.expressions.TextExpression 'très soutenu'>,1,TextExpression
N854,<music21.tempo.MetronomeMark Quarter=52.5 (playback only)>,1,TempoIndication
N855,<music21.tempo.MetronomeMark andante Quarter=72>,1,TempoIndication
N856,<music21.tempo.MetronomeMark Quarter=52.5 (playback only)>,1,MetronomeMark
N857,<music21.tempo.MetronomeMark andante Quarter=72>,1,MetronomeMark
N12,<music21.note.Rest dotted-whole>,2,GeneralNote
N793,<music21.spanner.Slur <music21.note.Note E-><music21.note.Note C->>,2,Slur
N23,<music21.note.Rest dotted-whole>,3,GeneralNote
N794,<music21.spanner.Slur <music21.note.Note F><music21.note.Note E->>,3,Slur
N37,<music21.note.Note G->,4,GeneralNote
N41,<music21.note.Note A->,4,GeneralNote
N42,<music21.note.Note G->,4,GeneralNote
N43,<music21.note.Note A->,4,GeneralNote
N44,<music21.note.Note G->,4,GeneralNote
N46,<music21.note.Note F>,4,GeneralNote
N48,<music21.note.Note E->,4,GeneralNote
N50,<music21.note.Rest half>,4,GeneralNote
N55,<music21.note.Rest half>,4,GeneralNote
N795,<music21.spanner.Slur <music21.note.Note B-><music21.note.Note B->>,4,Slur
N60,<music21.note.Rest dotted-whole>,5,GeneralNote
N796,<music21.spanner.Slur <music21.note.Note G-><music21.note.Note E->>,5,Slur
N80,<music21.note.Rest dotted-whole>,6,GeneralNote
N83,<music21.chord.Chord G-3 C-4>,6,GeneralNote
N84,<music21.chord.Chord C-3 E-3>,6,GeneralNote
N85,<music21.note.Note E->,6,GeneralNote
N86,<music21.chord.Chord G-4 C-5>,6,GeneralNote
N87,<music21.note.Rest half>,6,GeneralNote
N88,<music21.note.Rest quarter>,6,GeneralNote
N89,<music21.note.Rest half>,6,GeneralNote
N90,<music21.note.Rest eighth>,6,GeneralNote
N91,<music21.note.Note G->,6,GeneralNote
N92,<music21.note.Note E->,6,GeneralNote
N93,<music21.chord.Chord G-4 C-5>,6,GeneralNote
N94,<music21.note.Rest half>,6,GeneralNote
N95,<music21.note.Note E->,6,GeneralNote
N96,<music21.note.Rest half>,6,GeneralNote
N97,<music21.note.Note C->,6,GeneralNote
N797,<music21.spanner.Slur <music21.note.Note G-><music21.note.Note G>>,6,Slur
N98,<music21.note.Rest dotted-whole>,7,GeneralNote
N99,<music21.chord.Chord E-5 B-5>,7,GeneralNote
N100,<music21.note.Note B->,7,GeneralNote
N101,<music21.note.Rest half>,7,GeneralNote
N102,<music21.note.Rest half>,7,GeneralNote
N103,<music21.note.Note G>,7,GeneralNote
N104,<music21.note.Rest half>,7,GeneralNote
N105,<music21.note.Rest half>,7,GeneralNote
N106,<music21.note.Rest quarter>,7,GeneralNote
N107,<music21.note.Rest quarter>,7,GeneralNote
N108,<music21.note.Note G>,7,GeneralNote
N109,<music21.chord.Chord B-2 E-3 G-3>,7,GeneralNote
N110,<music21.note.Rest quarter>,7,GeneralNote
N111,<music21.note.Rest 16th>,7,GeneralNote
N112,<music21.note.Note E->,7,GeneralNote
N113,<music21.note.Note D->,7,GeneralNote
N114,<music21.note.Note C->,7,GeneralNote
N115,<music21.note.Rest quarter>,7,GeneralNote
N116,<music21.note.Note D->,7,GeneralNote
N117,<music21.note.Note G>,7,GeneralNote
N118,<music21.chord.Chord B-2 E-3 G-3>,7,GeneralNote
N119,<music21.note.Rest quarter>,7,GeneralNote
N120,<music21.note.Note B->,7,GeneralNote
N798,<music21.spanner.Slur <music21.note.Note E-><music21.note.Note A->>,7,Slur
N121,<music21.note.Rest dotted-whole>,8,GeneralNote
N122,<music21.note.Rest half>,8,GeneralNote
N123,<music21.note.Note C->,8,GeneralNote
N124,<music21.chord.Chord C-3 E-3 A-3>,8,GeneralNote
N125,<music21.note.Note A->,8,GeneralNote
N126,<music21.note.Note B->,8,GeneralNote
N127,<music21.note.Note A->,8,GeneralNote
N128,<music21.chord.Chord E-5 A-5 C-6>,8,GeneralNote
N129,<music21.note.Rest quarter>,8,GeneralNote
N130,<music21.note.Rest half>,8,GeneralNote
N131,<music21.note.Rest whole>,8,GeneralNote
N132,<music21.note.Rest half>,8,GeneralNote
N133,<music21.note.Rest eighth>,8,GeneralNote
N134,<music21.note.Note C->,8,GeneralNote
N135,<music21.chord.Chord E-5 A-5 C-6>,8,GeneralNote
N136,<music21.note.Note A->,8,GeneralNote
N137,<music21.note.Rest half>,8,GeneralNote
N138,<music21.note.Rest half>,8,GeneralNote
N139,<music21.note.Note F>,8,GeneralNote
N799,<music21.spanner.Slur <music21.note.Note C-><music21.note.Note D>>,8,Slur
N140,<music21.note.Rest dotted-whole>,9,GeneralNote
N141,<music21.chord.Chord F5 A-5 C-6>,9,GeneralNote
N142,<music21.note.Note D>,9,GeneralNote
N143,<music21.note.Rest dotted-whole>,9,GeneralNote
N144,<music21.note.Rest quarter>,9,GeneralNote
N145,<music21.chord.Chord D4 F4 B-4>,9,GeneralNote
N146,<music21.note.Rest 16th>,9,GeneralNote
N147,<music21.note.Note B->,9,GeneralNote
N148,<music21.note.Note A->,9,GeneralNote
N149,<music21.note.Note G->,9,GeneralNote
N150,<music21.note.Note F>,9,GeneralNote
N151,<music21.chord.Chord D4 F4 B-4>,9,GeneralNote
N152,<music21.note.Note G->,9,GeneralNote
N153,<music21.note.Note F>,9,GeneralNote
N154,<music21.note.Note G->,9,GeneralNote
N155,<music21.note.Note A->,9,GeneralNote
N156,<music21.note.Note G->,9,GeneralNote
N157,<music21.note.Note A->,9,GeneralNote
N158,<music21.note.Note F>,9,GeneralNote
N800,<music21.spanner.Slur <music21.note.Note B-><music21.note.Note E->>,9,Slur
N159,<music21.note.Rest dotted-whole>,10,GeneralNote
N160,<music21.note.Note G->,10,GeneralNote
N161,<music21.chord.Chord E-4 G-4 B-4>,10,GeneralNote
N162,<music21.note.Rest dotted-whole>,10,GeneralNote
N163,<music21.note.Note F>,10,GeneralNote
N164,<music21.note.Note E->,10,GeneralNote
N165,<music21.chord.Chord E-5 G-5 B-5>,10,GeneralNote
N166,<music21.note.Rest quarter>,10,GeneralNote
N167,<music21.note.Rest eighth>,10,GeneralNote
N168,<music21.note.Note G->,10,GeneralNote
N169,<music21.chord.Chord E-5 G-5 B-5>,10,GeneralNote
N170,<music21.note.Note E->,10,GeneralNote
N171,<music21.note.Note C>,10,GeneralNote
N172,<music21.note.Rest dotted-whole>,11,GeneralNote
N173,<music21.chord.Chord E-5 G-5 C6>,11,GeneralNote
N174,<music21.note.Note C>,11,GeneralNote
N175,<music21.note.Rest half>,11,GeneralNote
N176,<music21.note.Rest half>,11,GeneralNote
N177,<music21.note.Note A>,11,GeneralNote
N178,<music21.note.Rest half>,11,GeneralNote
N179,<music21.note.Rest half>,11,GeneralNote
N180,<music21.note.Rest whole>,11,GeneralNote
N181,<music21.note.Rest quarter>,11,GeneralNote
N182,<music21.note.Note A>,11,GeneralNote
N183,<music21.chord.Chord C4 F4>,11,GeneralNote
N184,<music21.note.Rest 16th>,11,GeneralNote
N185,<music21.note.Note F>,11,GeneralNote
N186,<music21.note.Note E->,11,GeneralNote
N187,<music21.note.Note D->,11,GeneralNote
N188,<music21.note.Note C>,11,GeneralNote
N189,<music21.note.Note A>,11,GeneralNote
N190,<music21.chord.Chord C4 F4>,11,GeneralNote
N191,<music21.note.Note D->,11,GeneralNote
N192,<music21.note.Note C>,11,GeneralNote
N193,<music21.note.Note D->,11,GeneralNote
N194,<music21.note.Note E->,11,GeneralNote
N195,<music21.note.Note D->,11,GeneralNote
N196,<music21.note.Note E->,11,GeneralNote
N197,<music21.note.Note C>,11,GeneralNote
N801,<music21.spanner.Slur <music21.note.Note F><music21.note.Note F>>,11,Slur
N198,<music21.note.Rest dotted-whole>,12,GeneralNote
N199,<music21.note.Note D->,12,GeneralNote
N200,<music21.chord.Chord D-4 F4>,12,GeneralNote
N201,<music21.note.Note B->,12,GeneralNote
N202,<music21.note.Note C>,12,GeneralNote
N203,<music21.note.Note B->,12,GeneralNote
N204,<music21.note.Note F>,12,GeneralNote
N205,<music21.chord.Chord D-4 F4>,12,GeneralNote
N206,<music21.note.Note B->,12,GeneralNote
N207,<music21.note.Note F>,12,GeneralNote
N208,<music21.note.Note G->,12,GeneralNote
N209,<music21.note.Note F>,12,GeneralNote
N210,<music21.note.Note E->,12,GeneralNote
N211,<music21.note.Note D->,12,GeneralNote
N212,<music21.chord.Chord D-4 F4>,12,GeneralNote
N213,<music21.note.Note B->,12,GeneralNote
N214,<music21.note.Note C>,12,GeneralNote
N215,<music21.note.Note B->,12,GeneralNote
N216,<music21.note.Note A->,12,GeneralNote
N217,<music21.note.Note G->,12,GeneralNote
N218,<music21.note.Note A->,12,GeneralNote
N219,<music21.note.Note F>,12,GeneralNote
N802,<music21.spanner.Slur <music21.note.Note F><music21.note.Note G->>,12,Slur
N846,<music21.expressions.TextExpression 'cresc.'>,12,TextExpression
N220,<music21.note.Rest dotted-whole>,13,GeneralNote
N221,<music21.note.Note G->,13,GeneralNote
N222,<music21.chord.Chord B-3 D-4>,13,GeneralNote
N223,<music21.note.Note E->,13,GeneralNote
N224,<music21.note.Note G->,13,GeneralNote
N225,<music21.note.Note B->,13,GeneralNote
N226,<music21.note.Note D->,13,GeneralNote
N227,<music21.note.Note G->,13,GeneralNote
N228,<music21.note.Note C>,13,GeneralNote
N229,<music21.chord.Chord E-3 B-3>,13,GeneralNote
N230,<music21.note.Note G->,13,GeneralNote
N231,<music21.note.Note F>,13,GeneralNote
N232,<music21.note.Note E->,13,GeneralNote
N233,<music21.note.Note D->,13,GeneralNote
N234,<music21.note.Note C>,13,GeneralNote
N235,<music21.note.Note C>,13,GeneralNote
N236,<music21.chord.Chord E-3 B-3>,13,GeneralNote
N237,<music21.note.Note E->,13,GeneralNote
N238,<music21.note.Note D->,13,GeneralNote
N239,<music21.note.Note C>,13,GeneralNote
N240,<music21.note.Note D->,13,GeneralNote
N241,<music21.note.Note E->,13,GeneralNote
N803,<music21.spanner.Slur <music21.note.Note G-><music21.note.Note B->>,13,Slur
N242,<music21.note.Rest dotted-whole>,14,GeneralNote
N243,<music21.note.Note F>,14,GeneralNote
N244,<music21.note.Rest half>,14,GeneralNote
N245,<music21.note.Rest half>,14,GeneralNote
N246,<music21.note.Rest half>,14,GeneralNote
N247,<music21.note.Rest half>,14,GeneralNote
N248,<music21.note.Note C>,14,GeneralNote
N249,<music21.chord.Chord E-3 A3>,14,GeneralNote
N250,<music21.note.Note G>,14,GeneralNote
N251,<music21.note.Note A>,14,GeneralNote
N252,<music21.note.Note A>,14,GeneralNote
N253,<music21.note.Note G>,14,GeneralNote
N254,<music21.note.Note A>,14,GeneralNote
N255,<music21.note.Note B->,14,GeneralNote
N256,<music21.note.Rest quarter>,14,GeneralNote
N257,<music21.note.Note B->,14,GeneralNote
N258,<music21.chord.Chord D-3 F3>,14,GeneralNote
N259,<music21.note.Rest eighth>,14,GeneralNote
N260,<music21.note.Note F>,14,GeneralNote
N261,<music21.note.Note G->,14,GeneralNote
N262,<music21.note.Note B->,14,GeneralNote
N263,<music21.note.Note E->,14,GeneralNote
N264,<music21.note.Note E->,14,GeneralNote
N804,<music21.spanner.Slur <music21.note.Note F><music21.note.Note D->>,14,Slur
N265,<music21.note.Rest dotted-whole>,15,GeneralNote
N266,<music21.note.Note B->,15,GeneralNote
N267,<music21.note.Note C>,15,GeneralNote
N268,<music21.note.Note F>,15,GeneralNote
N269,<music21.note.Note F>,15,GeneralNote
N270,<music21.note.Note C>,15,GeneralNote
N271,<music21.note.Note D->,15,GeneralNote
N272,<music21.note.Note C>,15,GeneralNote
N273,<music21.note.Note D->,15,GeneralNote
N274,<music21.note.Note E->,15,GeneralNote
N275,<music21.note.Note F>,15,GeneralNote
N276,<music21.note.Note F>,15,GeneralNote
N277,<music21.note.Note D->,15,GeneralNote
N278,<music21.note.Note C>,15,GeneralNote
N279,<music21.note.Note D->,15,GeneralNote
N280,<music21.note.Note E->,15,GeneralNote
N281,<music21.note.Note F>,15,GeneralNote
N282,<music21.note.Note E->,15,GeneralNote
N283,<music21.note.Note F>,15,GeneralNote
N284,<music21.note.Note A>,15,GeneralNote
N285,<music21.note.Note G->,15,GeneralNote
N286,<music21.note.Note F>,15,GeneralNote
N287,<music21.note.Note F>,15,GeneralNote
N288,<music21.note.Note F>,15,GeneralNote
N289,<music21.note.Note E->,15,GeneralNote
N290,<music21.note.Rest dotted-whole>,16,GeneralNote
N291,<music21.note.Note B->,16,GeneralNote
N292,<music21.note.Note D->,16,GeneralNote
N293,<music21.note.Note B->,16,GeneralNote
N294,<music21.chord.Chord F3 B-3>,16,GeneralNote
N295,<music21.note.Note C>,16,GeneralNote
N296,<music21.note.Note E->,16,GeneralNote
N297,<music21.note.Note D->,16,GeneralNote
N298,<music21.chord.Chord F4 B-4>,16,GeneralNote
N299,<music21.note.Rest half>,16,GeneralNote
N300,<music21.note.Rest quarter>,16,GeneralNote
N301,<music21.note.Rest half>,16,GeneralNote
N302,<music21.note.Rest eighth>,16,GeneralNote
N303,<music21.note.Note B->,16,GeneralNote
N304,<music21.note.Note D->,16,GeneralNote
N305,<music21.chord.Chord F4 B-4>,16,GeneralNote
N306,<music21.note.Rest half>,16,GeneralNote
N307,<music21.note.Note D->,16,GeneralNote
N308,<music21.note.Rest half>,16,GeneralNote
N309,<music21.note.Note F>,16,GeneralNote
N805,<music21.spanner.Slur <music21.note.Note C><music21.note.Note D->>,16,Slur
N806,<music21.spanner.Slur <music21.note.Note D-><music21.note.Note G>>,16,Slur
N847,<music21.expressions.TextExpression 'cresc.'>,16,TextExpression
N310,<music21.note.Rest dotted-whole>,17,GeneralNote
N311,<music21.note.Note D->,17,GeneralNote
N312,<music21.chord.Chord F-4 B-4>,17,GeneralNote
N313,<music21.note.Note G>,17,GeneralNote
N314,<music21.note.Note C->,17,GeneralNote
N315,<music21.note.Rest eighth>,17,GeneralNote
N316,<music21.note.Rest eighth>,17,GeneralNote
N317,<music21.note.Note B->,17,GeneralNote
N318,<music21.note.Note F->,17,GeneralNote
N319,<music21.chord.Chord B-4 D-5>,17,GeneralNote
N320,<music21.note.Note G>,17,GeneralNote
N321,<music21.note.Note G>,17,GeneralNote
N322,<music21.note.Note B->,17,GeneralNote
N323,<music21.note.Note A->,17,GeneralNote
N324,<music21.note.Note G>,17,GeneralNote
N325,<music21.chord.Chord D-5 F-5>,17,GeneralNote
N326,<music21.chord.Chord B-4 D-5>,17,GeneralNote
N327,<music21.note.Note D->,17,GeneralNote
N328,<music21.note.Note E->,17,GeneralNote
N329,<music21.note.Rest eighth>,17,GeneralNote
N330,<music21.note.Rest eighth>,17,GeneralNote
N331,<music21.note.Note D->,17,GeneralNote
N807,<music21.spanner.Slur <music21.note.Note D-><music21.note.Note F->>,17,Slur
N808,<music21.spanner.Slur <music21.note.Note E-><music21.note.Note D->>,17,Slur
N809,<music21.spanner.Slur <music21.note.Note B-><music21.note.Note G>>,17,Slur
N810,<music21.spanner.Slur <music21.note.Note D-><music21.note.Note F->>,17,Slur
N332,<music21.note.Rest dotted-whole>,18,GeneralNote
N333,<music21.note.Note G>,18,GeneralNote
N334,<music21.chord.Chord B-4 D-5>,18,GeneralNote
N335,<music21.note.Rest half>,18,GeneralNote
N336,<music21.note.Rest whole>,18,GeneralNote
N337,<music21.note.Rest half>,18,GeneralNote
N338,<music21.note.Rest whole>,18,GeneralNote
N339,<music21.note.Note D->,18,GeneralNote
N340,<music21.note.Note C->,18,GeneralNote
N341,<music21.note.Note B->,18,GeneralNote
N342,<music21.note.Note G>,18,GeneralNote
N343,<music21.chord.Chord B-4 D-5>,18,GeneralNote
N344,<music21.note.Rest half>,18,GeneralNote
N345,<music21.note.Rest half>,18,GeneralNote
N346,<music21.note.Note F->,18,GeneralNote
N347,<music21.note.Note E->,18,GeneralNote
N348,<music21.note.Note F->,18,GeneralNote
N349,<music21.note.Note F->,18,GeneralNote
N350,<music21.note.Rest eighth>,18,GeneralNote
N351,<music21.note.Rest eighth>,18,GeneralNote
N352,<music21.note.Note D->,18,GeneralNote
N353,<music21.note.Note E->,18,GeneralNote
N354,<music21.note.Note A->,18,GeneralNote
N355,<music21.note.Rest half>,18,GeneralNote
N356,<music21.chord.Chord C-5 E-5>,18,GeneralNote
N357,<music21.note.Rest half>,18,GeneralNote
N358,<music21.note.Note C->,18,GeneralNote
N359,<music21.note.Note B->,18,GeneralNote
N360,<music21.note.Note C->,18,GeneralNote
N361,<music21.note.Note A->,18,GeneralNote
N362,<music21.note.Rest dotted-whole>,19,GeneralNote
N363,<music21.note.Note A->,19,GeneralNote
N364,<music21.note.Rest half>,19,GeneralNote
N365,<music21.note.Rest half>,19,GeneralNote
N366,<music21.note.Rest half>,19,GeneralNote
N367,<music21.note.Rest half>,19,GeneralNote
N368,<music21.note.Note F->,19,GeneralNote
N369,<music21.note.Note G>,19,GeneralNote
N370,<music21.note.Note A->,19,GeneralNote
N371,<music21.note.Note F->,19,GeneralNote
N372,<music21.note.Note F->,19,GeneralNote
N373,<music21.note.Note B->,19,GeneralNote
N374,<music21.note.Note E->,19,GeneralNote
N375,<music21.note.Note D->,19,GeneralNote
N376,<music21.note.Note C->,19,GeneralNote
N377,<music21.chord.Chord E-5 A-5>,19,GeneralNote
N378,<music21.note.Note E->,19,GeneralNote
N379,<music21.note.Note D->,19,GeneralNote
N380,<music21.chord.Chord D-5 G5>,19,GeneralNote
N381,<music21.note.Note E->,19,GeneralNote
N382,<music21.note.Note B->,19,GeneralNote
N383,<music21.note.Note E->,19,GeneralNote
N811,<music21.spanner.Slur <music21.note.Note F-><music21.note.Note A->>,19,Slur
N384,<music21.note.Rest dotted-whole>,20,GeneralNote
N385,<music21.note.Note A->,20,GeneralNote
N386,<music21.chord.Chord C-5 E-5>,20,GeneralNote
N387,<music21.note.Note A->,20,GeneralNote
N388,<music21.note.Rest dotted-whole>,20,GeneralNote
N389,<music21.note.Note C->,20,GeneralNote
N390,<music21.note.Note F>,20,GeneralNote
N391,<music21.note.Rest quarter>,20,GeneralNote
N392,<music21.note.Rest eighth>,20,GeneralNote
N393,<music21.note.Note G->,20,GeneralNote
N394,<music21.note.Note C->,20,GeneralNote
N395,<music21.note.Note A->,20,GeneralNote
N396,<music21.note.Note D>,20,GeneralNote
N397,<music21.note.Note F>,20,GeneralNote
N398,<music21.note.Note E->,20,GeneralNote
N399,<music21.note.Note G->,20,GeneralNote
N400,<music21.note.Note F>,20,GeneralNote
N401,<music21.note.Note A->,20,GeneralNote
N812,<music21.spanner.Slur <music21.note.Note C-><music21.note.Note B->>,20,Slur
N813,<music21.spanner.Slur <music21.note.Note C-><music21.note.Note B->>,20,Slur
N848,<music21.expressions.TextExpression 'cresc.'>,20,TextExpression
N402,<music21.note.Rest dotted-whole>,21,GeneralNote
N403,<music21.note.Note B->,21,GeneralNote
N404,<music21.note.Note D>,21,GeneralNote
N405,<music21.note.Note A->,21,GeneralNote
N406,<music21.note.Note E->,21,GeneralNote
N407,<music21.note.Note F>,21,GeneralNote
N408,<music21.note.Note D>,21,GeneralNote
N409,<music21.note.Note B->,21,GeneralNote
N410,<music21.note.Note E->,21,GeneralNote
N411,<music21.note.Note A->,21,GeneralNote
N412,<music21.note.Note F>,21,GeneralNote
N413,<music21.note.Note B->,21,GeneralNote
N414,<music21.note.Note D>,21,GeneralNote
N415,<music21.note.Note C>,21,GeneralNote
N416,<music21.note.Note E->,21,GeneralNote
N417,<music21.note.Note D>,21,GeneralNote
N418,<music21.note.Note F>,21,GeneralNote
N814,<music21.spanner.Slur <music21.note.Note A-><music21.note.Note C->>,21,Slur
N815,<music21.spanner.Slur <music21.note.Note A-><music21.note.Note G>>,21,Slur
N419,<music21.note.Rest dotted-whole>,22,GeneralNote
N420,<music21.note.Note E->,22,GeneralNote
N421,<music21.note.Note G->,22,GeneralNote
N422,<music21.note.Note D->,22,GeneralNote
N423,<music21.note.Note C->,22,GeneralNote
N424,<music21.chord.Chord E-4 B-4 D-5>,22,GeneralNote
N425,<music21.note.Note G>,22,GeneralNote
N426,<music21.note.Note B->,22,GeneralNote
N427,<music21.chord.Chord E-4 B-4 D-5>,22,GeneralNote
N428,<music21.note.Note G>,22,GeneralNote
N429,<music21.note.Note E->,22,GeneralNote
N816,<music21.spanner.Slur <music21.note.Note B-><music21.note.Note A->>,22,Slur
N430,<music21.note.Rest dotted-whole>,23,GeneralNote
N431,<music21.chord.Chord E-4 B-4 D-5>,23,GeneralNote
N432,<music21.note.Rest whole>,23,GeneralNote
N433,<music21.note.Rest whole>,23,GeneralNote
N434,<music21.note.Rest whole>,23,GeneralNote
N435,<music21.note.Rest whole>,23,GeneralNote
N436,<music21.note.Note A->,23,GeneralNote
N437,<music21.note.Note C->,23,GeneralNote
N438,<music21.note.Note B->,23,GeneralNote
N439,<music21.note.Note C->,23,GeneralNote
N440,<music21.note.Rest quarter>,23,GeneralNote
N441,<music21.note.Rest eighth>,23,GeneralNote
N442,<music21.note.Note C->,23,GeneralNote
N443,<music21.chord.Chord E-4 C-5>,23,GeneralNote
N444,<music21.note.Note A->,23,GeneralNote
N445,<music21.note.Note A->,23,GeneralNote
N446,<music21.note.Note F>,23,GeneralNote
N817,<music21.spanner.Slur <music21.chord.Chord E-4 B-4 D-5><music21.note.Note C->>,23,Slur
N818,<music21.spanner.Slur <music21.note.Note C-><music21.note.Note D>>,23,Slur
N447,<music21.note.Rest dotted-whole>,24,GeneralNote
N448,<music21.chord.Chord F4 A-4 C-5>,24,GeneralNote
N449,<music21.chord.Chord F3 A-3>,24,GeneralNote
N450,<music21.note.Note D>,24,GeneralNote
N451,<music21.note.Note B->,24,GeneralNote
N452,<music21.note.Note A->,24,GeneralNote
N453,<music21.note.Note F>,24,GeneralNote
N454,<music21.chord.Chord F3 B-3>,24,GeneralNote
N455,<music21.note.Note D>,24,GeneralNote
N456,<music21.note.Note C->,24,GeneralNote
N457,<music21.note.Note B->,24,GeneralNote
N458,<music21.chord.Chord F3 B-3>,24,GeneralNote
N459,<music21.note.Note D>,24,GeneralNote
N460,<music21.note.Note C->,24,GeneralNote
N461,<music21.note.Note A->,24,GeneralNote
N819,<music21.spanner.Slur <music21.chord.Chord F4 A-4 C-5><music21.note.Note A->>,24,Slur
N462,<music21.note.Rest dotted-whole>,25,GeneralNote
N463,<music21.note.Note G->,25,GeneralNote
N464,<music21.note.Note E->,25,GeneralNote
N465,<music21.chord.Chord G-3 B-3>,25,GeneralNote
N466,<music21.note.Note E->,25,GeneralNote
N467,<music21.note.Note G->,25,GeneralNote
N468,<music21.note.Rest half>,25,GeneralNote
N469,<music21.note.Rest half>,25,GeneralNote
N470,<music21.chord.Chord G-3 B-3>,25,GeneralNote
N471,<music21.note.Note E->,25,GeneralNote
