id,object,measure,type
N1033,<music21.spanner.Slur <music21.note.Note E-><music21.chord.Chord E-5 A-5 C-6>>,7,Slur
N136,<music21.note.Note C->,8,GeneralNote
N137,<music21.note.Rest half>,8,GeneralNote
N138,<music21.note.Note C->,8,GeneralNote
N139,<music21.chord.Chord C-3 E-3 A-3>,8,GeneralNote
N140,<music21.note.Note A->,8,GeneralNote
N141,<music21.note.Note D->,8,GeneralNote
N142,<music21.note.Note C->,8,GeneralNote
N143,<music21.note.Note D->,8,GeneralNote
N144,<music21.note.Note C->,8,GeneralNote
N145,<music21.note.Note D->,8,GeneralNote
N146,<music21.note.Note C->,8,GeneralNote
N147,<music21.note.Note D->,8,GeneralNote
N148,<music21.note.Note C->,8,GeneralNote
N149,<music21.note.Note B->,8,GeneralNote
N150,<music21.note.Note B->,8,GeneralNote
N151,<music21.note.Note A->,8,GeneralNote
N152,<music21.note.Note A->,8,GeneralNote
N153,<music21.articulations.Staccato>,8,Articulation
N154,<music21.note.Rest half>,8,GeneralNote
N155,<music21.chord.Chord E-5 A-5 C-6>,8,GeneralNote
N156,<music21.note.Rest quarter>,8,GeneralNote
N157,<music21.note.Rest half>,8,GeneralNote
N158,<music21.note.Rest whole>,8,GeneralNote
N159,<music21.note.Rest half>,8,GeneralNote
N160,<music21.note.Rest eighth>,8,GeneralNote
N161,<music21.note.Note C->,8,GeneralNote
N162,<music21.note.Rest half>,8,GeneralNote
N163,<music21.chord.Chord E-5 A-5 C-6>,8,GeneralNote
N164,<music21.note.Rest half>,8,GeneralNote
N165,<music21.note.Note A->,8,GeneralNote
N166,<music21.note.Rest half>,8,GeneralNote
N167,<music21.note.Note F>,8,GeneralNote
N1034,<music21.spanner.Slur <music21.note.Note C-><music21.note.Note D>>,8,Slur
N1092,<music21.dynamics.Diminuendo <music21.note.Rest half><music21.chord.Chord E-5 A-5 C-6>>,8,DynamicRegion
N168,<music21.note.Rest dotted-whole>,9,GeneralNote
N169,<music21.chord.Chord F5 A-5 C-6>,9,GeneralNote
N170,<music21.note.Note D>,9,GeneralNote
N171,<music21.note.Rest dotted-whole>,9,GeneralNote
N172,<music21.note.Rest quarter>,9,GeneralNote
N173,<music21.chord.Chord D4 F4 B-4>,9,GeneralNote
N174,<music21.note.Rest 16th>,9,GeneralNote
N175,<music21.note.Note B->,9,GeneralNote
N176,<music21.note.Note A->,9,GeneralNote
N177,<music21.note.Note G->,9,GeneralNote
N178,<music21.note.Note F>,9,GeneralNote
N179,<music21.chord.Chord D4 F4 B-4>,9,GeneralNote
N180,<music21.note.Note G->,9,GeneralNote
N181,<music21.note.Note F>,9,GeneralNote
N182,<music21.note.Note G->,9,GeneralNote
N183,<music21.note.Note A->,9,GeneralNote
N184,<music21.note.Note G->,9,GeneralNote
N185,<music21.note.Note A->,9,GeneralNote
N186,<music21.note.Note F>,9,GeneralNote
N1035,<music21.spanner.Slur <music21.note.Note B-><music21.chord.Chord B-4 E-5 G-5 B-5>>,9,Slur
N1071,<music21.dynamics.Dynamic p>,9,DynamicPoint
N187,<music21.note.Note G->,10,GeneralNote
N188,<music21.note.Note G->,10,GeneralNote
N189,<music21.chord.Chord E-4 G-4 B-4>,10,GeneralNote
N190,<music21.note.Rest dotted-whole>,10,GeneralNote
N191,<music21.note.Note A->,10,GeneralNote
N192,<music21.note.Note G->,10,GeneralNote
N193,<music21.note.Note A->,10,GeneralNote
N194,<music21.note.Note G->,10,GeneralNote
N195,<music21.note.Note A->,10,GeneralNote
N196,<music21.note.Note G->,10,GeneralNote
N197,<music21.note.Note A->,10,GeneralNote
N198,<music21.note.Note G->,10,GeneralNote
N199,<music21.note.Note F>,10,GeneralNote
N200,<music21.note.Note F>,10,GeneralNote
N201,<music21.articulations.Tenuto>,10,Articulation
N202,<music21.note.Note E->,10,GeneralNote
N203,<music21.note.Note E->,10,GeneralNote
N204,<music21.articulations.Tenuto>,10,Articulation
N205,<music21.note.Rest half>,10,GeneralNote
N206,<music21.chord.Chord B-4 E-5 G-5 B-5>,10,GeneralNote
N207,<music21.note.Rest quarter>,10,GeneralNote
N208,<music21.note.Rest eighth>,10,GeneralNote
N209,<music21.note.Note G->,10,GeneralNote
N210,<music21.note.Rest half>,10,GeneralNote
N211,<music21.chord.Chord D-5 E-5 G-5 B-5>,10,GeneralNote
N212,<music21.note.Note E->,10,GeneralNote
N213,<music21.note.Note C>,10,GeneralNote
N1036,<music21.spanner.Slur <music21.note.Note G-><music21.note.Note A>>,10,Slur
N1094,<music21.dynamics.Crescendo <music21.chord.Chord D-5 E-5 G-5 B-5><music21.note.Note C>>,10,DynamicRegion
N214,<music21.note.Rest dotted-whole>,11,GeneralNote
N215,<music21.note.Note C>,11,GeneralNote
N216,<music21.chord.Chord C5 E-5 G-5>,11,GeneralNote
N217,<music21.note.Rest half>,11,GeneralNote
N218,<music21.note.Rest half>,11,GeneralNote
N219,<music21.note.Note A>,11,GeneralNote
N220,<music21.note.Rest half>,11,GeneralNote
N221,<music21.note.Rest half>,11,GeneralNote
N222,<music21.note.Rest quarter>,11,GeneralNote
N223,<music21.note.Rest quarter>,11,GeneralNote
N224,<music21.note.Rest whole>,11,GeneralNote
N225,<music21.note.Rest quarter>,11,GeneralNote
N226,<music21.note.Note A>,11,GeneralNote
N227,<music21.chord.Chord C4 F4>,11,GeneralNote
N228,<music21.note.Rest 16th>,11,GeneralNote
N229,<music21.note.Note F>,11,GeneralNote
N230,<music21.note.Note E->,11,GeneralNote
N231,<music21.note.Note D->,11,GeneralNote
N232,<music21.note.Note C>,11,GeneralNote
N233,<music21.note.Note A>,11,GeneralNote
N234,<music21.chord.Chord C4 F4>,11,GeneralNote
N235,<music21.note.Note D->,11,GeneralNote
N236,<music21.note.Note C>,11,GeneralNote
N237,<music21.note.Note D->,11,GeneralNote
N238,<music21.note.Note E->,11,GeneralNote
N239,<music21.note.Note D->,11,GeneralNote
N240,<music21.note.Note E->,11,GeneralNote
N241,<music21.note.Note C>,11,GeneralNote
N1037,<music21.spanner.Slur <music21.note.Note F><music21.chord.Chord B-4 D-5 F5>>,11,Slur
N1096,<music21.dynamics.Diminuendo <music21.note.Note C><music21.note.Note E->>,11,DynamicRegion
N242,<music21.note.Note D->,12,GeneralNote
N243,<music21.note.Note D->,12,GeneralNote
N244,<music21.chord.Chord D-4 F4>,12,GeneralNote
N245,<music21.note.Note B->,12,GeneralNote
N246,<music21.note.Note E->,12,GeneralNote
N247,<music21.note.Note D->,12,GeneralNote
N248,<music21.note.Note E->,12,GeneralNote
N249,<music21.note.Note D->,12,GeneralNote
N250,<music21.note.Note E->,12,GeneralNote
N251,<music21.note.Note D->,12,GeneralNote
N252,<music21.note.Note E->,12,GeneralNote
N253,<music21.note.Note D->,12,GeneralNote
N254,<music21.note.Note C>,12,GeneralNote
N255,<music21.note.Note C>,12,GeneralNote
N256,<music21.articulations.Tenuto>,12,Articulation
N257,<music21.note.Note B->,12,GeneralNote
N258,<music21.note.Note B->,12,GeneralNote
N259,<music21.articulations.Tenuto>,12,Articulation
N260,<music21.note.Rest half>,12,GeneralNote
N261,<music21.chord.Chord B-4 D-5 F5>,12,GeneralNote
N262,<music21.chord.Chord D-4 F4>,12,GeneralNote
N263,<music21.note.Note B->,12,GeneralNote
N264,<music21.note.Note F>,12,GeneralNote
N265,<music21.note.Note G->,12,GeneralNote
N266,<music21.note.Note F>,12,GeneralNote
N267,<music21.note.Note E->,12,GeneralNote
N268,<music21.note.Rest half>,12,GeneralNote
N269,<music21.note.Note D->,12,GeneralNote
N270,<music21.chord.Chord D-4 F4>,12,GeneralNote
N271,<music21.note.Note B->,12,GeneralNote
N272,<music21.note.Note C>,12,GeneralNote
N273,<music21.note.Note B->,12,GeneralNote
N274,<music21.note.Note A->,12,GeneralNote
N275,<music21.note.Note G->,12,GeneralNote
N276,<music21.note.Note A->,12,GeneralNote
N277,<music21.note.Note F>,12,GeneralNote
N1038,<music21.spanner.Slur <music21.note.Note G-><music21.note.Note B->>,12,Slur
N278,<music21.note.Rest dotted-whole>,13,GeneralNote
N279,<music21.note.Note G->,13,GeneralNote
N280,<music21.note.Note E->,13,GeneralNote
N281,<music21.chord.Chord B-3 D-4>,13,GeneralNote
N282,<music21.note.Note E->,13,GeneralNote
N283,<music21.note.Note G->,13,GeneralNote
N284,<music21.note.Rest quarter>,13,GeneralNote
N285,<music21.note.Rest quarter>,13,GeneralNote
N286,<music21.note.Note B->,13,GeneralNote
N287,<music21.note.Note D->,13,GeneralNote
