id,object,measure,type
N1,<music21.note.Rest dotted-whole>,1,GeneralNote
N1048,<music21.spanner.Slur <music21.note.Note B-><music21.note.Note C->>,1,Slur
N1088,<music21.dynamics.Dynamic p>,1,DynamicPoint
N1132,<music21.expressions.TextExpression 'Lento'>,1,TextExpression
N1133,<music21.expressions.TextExpression 'espressivo'>,1,TextExpression
N1139,<music21.tempo.MetronomeMark Quarter=52.5 (playback only)>,1,TempoIndication
N1140,<music21.tempo.MetronomeMark grave Half=40>,1,TempoIndication
N1141,<music21.tempo.MetronomeMark Quarter=52.5 (playback only)>,1,MetronomeMark
N1142,<music21.tempo.MetronomeMark grave Half=40>,1,MetronomeMark
N12,<music21.note.Rest dotted-whole>,2,GeneralNote
N1049,<music21.spanner.Slur <music21.note.Note E-><music21.note.Note D>>,2,Slur
N23,<music21.note.Rest half>,3,GeneralNote
N28,<music21.note.Rest quarter>,3,GeneralNote
N31,<music21.note.Rest eighth>,3,GeneralNote
N33,<music21.note.Note F>,3,GeneralNote
N34,<music21.note.Note B->,3,GeneralNote
N37,<music21.note.Note B->,3,GeneralNote
N38,<music21.note.Note A->,3,GeneralNote
N40,<music21.note.Note A->,3,GeneralNote
N42,<music21.note.Note G->,3,GeneralNote
N44,<music21.note.Note A->,3,GeneralNote
N46,<music21.note.Note B->,3,GeneralNote
N1036,<music21.spanner.Slur <music21.note.Note F><music21.note.Note G->>,3,Slur
N1050,<music21.spanner.Slur <music21.note.Note F><music21.note.Note G->>,3,Slur
N47,<music21.note.Note A->,4,GeneralNote
N48,<music21.note.Rest half>,4,GeneralNote
N49,<music21.note.Rest half>,4,GeneralNote
N53,<music21.note.Note G->,4,GeneralNote
N54,<music21.note.Note A->,4,GeneralNote
N55,<music21.note.Note G->,4,GeneralNote
N56,<music21.note.Note A->,4,GeneralNote
N57,<music21.note.Note G->,4,GeneralNote
N58,<music21.note.Note A->,4,GeneralNote
N59,<music21.note.Note G->,4,GeneralNote
N60,<music21.note.Note F>,4,GeneralNote
N63,<music21.note.Note E->,4,GeneralNote
N66,<music21.note.Rest half>,4,GeneralNote
N67,<music21.note.Note G->,4,GeneralNote
N73,<music21.note.Note G->,4,GeneralNote
N74,<music21.chord.Chord G-4 B-4 E-5>,4,GeneralNote
N1051,<music21.spanner.Slur <music21.note.Note B-><music21.note.Note B->>,4,Slur
N1099,<music21.dynamics.Crescendo <music21.note.Note G->>,4,DynamicRegion
N77,<music21.note.Rest dotted-whole>,5,GeneralNote
N1052,<music21.spanner.Slur <music21.note.Note G-><music21.note.Note E->>,5,Slur
N97,<music21.note.Rest dotted-whole>,6,GeneralNote
N1053,<music21.spanner.Slur <music21.note.Note G-><music21.note.Note G>>,6,Slur
N1089,<music21.dynamics.Dynamic p>,6,DynamicPoint
N115,<music21.note.Rest dotted-whole>,7,GeneralNote
N1054,<music21.spanner.Slur <music21.note.Note E-><music21.chord.Chord E-5 A-5 C-6>>,7,Slur
N138,<music21.note.Note C->,8,GeneralNote
N143,<music21.note.Note D->,8,GeneralNote
N144,<music21.note.Note C->,8,GeneralNote
N145,<music21.note.Note D->,8,GeneralNote
N146,<music21.note.Note C->,8,GeneralNote
N147,<music21.note.Note D->,8,GeneralNote
N148,<music21.note.Note C->,8,GeneralNote
N149,<music21.note.Note D->,8,GeneralNote
N150,<music21.note.Note C->,8,GeneralNote
N151,<music21.note.Note B->,8,GeneralNote
N153,<music21.note.Note A->,8,GeneralNote
N154,<music21.note.Note A->,8,GeneralNote
N155,<music21.chord.Chord E-5 A-5 C-6>,8,GeneralNote
N156,<music21.chord.Chord E-5 A-5 C-6>,8,GeneralNote
N157,<music21.note.Rest quarter>,8,GeneralNote
N158,<music21.note.Rest half>,8,GeneralNote
N159,<music21.note.Rest whole>,8,GeneralNote
N160,<music21.note.Rest half>,8,GeneralNote
N161,<music21.note.Rest eighth>,8,GeneralNote
N162,<music21.note.Note C->,8,GeneralNote
N163,<music21.chord.Chord E-5 A-5 C-6>,8,GeneralNote
N164,<music21.chord.Chord E-5 A-5 C-6>,8,GeneralNote
N165,<music21.note.Rest half>,8,GeneralNote
N166,<music21.note.Note A->,8,GeneralNote
N167,<music21.note.Rest half>,8,GeneralNote
N168,<music21.note.Note F>,8,GeneralNote
N1037,<music21.spanner.Slur <music21.note.Note C-><music21.chord.Chord E-5 A-5 C-6>>,8,Slur
N1055,<music21.spanner.Slur <music21.note.Note C-><music21.note.Note D>>,8,Slur
N1101,<music21.dynamics.Crescendo <music21.note.Note C-><music21.note.Note A->>,8,DynamicRegion
N169,<music21.note.Rest dotted-whole>,9,GeneralNote
N170,<music21.chord.Chord F5 A-5 C-6>,9,GeneralNote
N171,<music21.note.Note D>,9,GeneralNote
N172,<music21.note.Rest dotted-whole>,9,GeneralNote
N173,<music21.note.Rest quarter>,9,GeneralNote
N174,<music21.chord.Chord D4 F4 B-4>,9,GeneralNote
N175,<music21.note.Rest 16th>,9,GeneralNote
