id,object,measure,type
N1,<music21.note.Rest dotted-whole>,1,GeneralNote
N2,<music21.note.Note B->,1,GeneralNote
N3,<music21.articulations.Tenuto>,1,Articulation
N4,<music21.chord.Chord E-4 G-4>,1,GeneralNote
N5,<music21.articulations.Tenuto>,1,Articulation
N6,<music21.note.Rest dotted-whole>,1,GeneralNote
N7,<music21.note.Rest quarter>,1,GeneralNote
N8,<music21.chord.Chord E-4 G-4>,1,GeneralNote
N9,<music21.articulations.Tenuto>,1,Articulation
N10,<music21.note.Rest eighth>,1,GeneralNote
N11,<music21.note.Note B->,1,GeneralNote
N12,<music21.note.Note E->,1,GeneralNote
N13,<music21.chord.Chord E-4 G-4>,1,GeneralNote
N14,<music21.articulations.Tenuto>,1,Articulation
N15,<music21.note.Note G->,1,GeneralNote
N967,<music21.spanner.Slur <music21.note.Note B-><music21.note.Note C->>,1,Slur
N1020,<music21.dynamics.Dynamic pp>,1,DynamicPoint
N1108,<music21.expressions.TextExpression 'Lento'>,1,TextExpression
N1109,<music21.expressions.TextExpression 'molto espr...'>,1,TextExpression
N1133,<music21.tempo.MetronomeMark Quarter=52.5 (playback only)>,1,TempoIndication
N1134,<music21.tempo.MetronomeMark andante Quarter=72>,1,TempoIndication
N1135,<music21.tempo.MetronomeMark Quarter=52.5 (playback only)>,1,MetronomeMark
N1136,<music21.tempo.MetronomeMark andante Quarter=72>,1,MetronomeMark
N16,<music21.note.Rest dotted-whole>,2,GeneralNote
N17,<music21.note.Note C->,2,GeneralNote
N18,<music21.chord.Chord E-4 A-4>,2,GeneralNote
N19,<music21.articulations.Tenuto>,2,Articulation
N20,<music21.note.Rest dotted-whole>,2,GeneralNote
N21,<music21.note.Rest quarter>,2,GeneralNote
N22,<music21.chord.Chord E-4 A-4 C-5>,2,GeneralNote
N23,<music21.articulations.Tenuto>,2,Articulation
N24,<music21.note.Rest eighth>,2,GeneralNote
N25,<music21.note.Note E->,2,GeneralNote
N26,<music21.note.Note A->,2,GeneralNote
N27,<music21.chord.Chord E-4 A-4 C-5>,2,GeneralNote
N28,<music21.articulations.Tenuto>,2,Articulation
N29,<music21.note.Note C->,2,GeneralNote
N968,<music21.spanner.Slur <music21.note.Note E-><music21.note.Note D>>,2,Slur
N30,<music21.note.Rest whole>,3,GeneralNote
N31,<music21.note.Note D>,3,GeneralNote
N32,<music21.articulations.Tenuto>,3,Articulation
N33,<music21.chord.Chord E-4 F4 A-4>,3,GeneralNote
N34,<music21.articulations.Tenuto>,3,Articulation
N35,<music21.note.Rest dotted-whole>,3,GeneralNote
N36,<music21.note.Rest quarter>,3,GeneralNote
N37,<music21.chord.Chord D4 F4 A-4>,3,GeneralNote
N38,<music21.articulations.Tenuto>,3,Articulation
N39,<music21.note.Rest eighth>,3,GeneralNote
N40,<music21.note.Note F>,3,GeneralNote
N41,<music21.note.Note B->,3,GeneralNote
N42,<music21.note.Note A->,3,GeneralNote
N43,<music21.chord.Chord D4 F4>,3,GeneralNote
N44,<music21.articulations.Tenuto>,3,Articulation
N45,<music21.note.Note A->,3,GeneralNote
N46,<music21.note.Note B->,3,GeneralNote
N47,<music21.note.Note A->,3,GeneralNote
N48,<music21.note.Rest quarter>,3,GeneralNote
N49,<music21.note.Note A->,3,GeneralNote
N50,<music21.note.Note G->,3,GeneralNote
N51,<music21.note.Note A->,3,GeneralNote
N52,<music21.note.Note B->,3,GeneralNote
N969,<music21.spanner.Slur <music21.note.Note F><music21.note.Note G->>,3,Slur
N1039,<music21.dynamics.Crescendo <music21.note.Note A-><music21.note.Note B->>,3,DynamicRegion
N53,<music21.note.Note A->,4,GeneralNote
N54,<music21.note.Note B->,4,GeneralNote
N55,<music21.articulations.Staccato>,4,Articulation
N56,<music21.note.Note E->,4,GeneralNote
N57,<music21.articulations.Tenuto>,4,Articulation
N58,<music21.note.Rest half>,4,GeneralNote
N59,<music21.note.Note G->,4,GeneralNote
N60,<music21.note.Note A->,4,GeneralNote
N61,<music21.note.Note G->,4,GeneralNote
N62,<music21.note.Note A->,4,GeneralNote
N63,<music21.note.Note G->,4,GeneralNote
N64,<music21.note.Note A->,4,GeneralNote
N65,<music21.note.Note G->,4,GeneralNote
N66,<music21.note.Note A->,4,GeneralNote
N67,<music21.note.Note G->,4,GeneralNote
N68,<music21.note.Note A->,4,GeneralNote
N69,<music21.note.Note G->,4,GeneralNote
N70,<music21.note.Note F>,4,GeneralNote
N71,<music21.note.Note F>,4,GeneralNote
N72,<music21.note.Note E->,4,GeneralNote
N73,<music21.note.Note E->,4,GeneralNote
N74,<music21.note.Rest half>,4,GeneralNote
N75,<music21.note.Rest half>,4,GeneralNote
N76,<music21.note.Note G->,4,GeneralNote
N77,<music21.articulations.Tenuto>,4,Articulation
N78,<music21.note.Rest quarter>,4,GeneralNote
N79,<music21.note.Rest eighth>,4,GeneralNote
N80,<music21.note.Note B->,4,GeneralNote
N81,<music21.note.Rest half>,4,GeneralNote
N82,<music21.note.Note G->,4,GeneralNote
N83,<music21.articulations.Tenuto>,4,Articulation
N84,<music21.chord.Chord G-4 B-4 E-5>,4,GeneralNote
N85,<music21.note.Note G->,4,GeneralNote
N86,<music21.note.Note E->,4,GeneralNote
N970,<music21.spanner.Slur <music21.note.Note B-><music21.note.Note B->>,4,Slur
N1041,<music21.dynamics.Diminuendo <music21.note.Note B-><music21.note.Note E->>,4,DynamicRegion
N1043,<music21.dynamics.Crescendo <music21.note.Note G->>,4,DynamicRegion
