Name,Form of creative work,Wikidata QID,IMSLP ID,VIAF ID,composer,arranger,composer QID,arranger QID
"Keyboard Sonata in G major, K.425",sonata,Q67199996,"Keyboard Sonata in G major, K.425 (Scarlatti, Domenico)",294558074,Domenico Scarlatti,Carl Czerny,Q167837,Q215333
"Keyboard Sonata in C major, K.423",sonata,Q78243810,"Keyboard Sonata in C major, K.423 (Scarlatti, Domenico)",,Domenico Scarlatti,Amédée Méreaux,Q167837,Q4749606
"Keyboard Sonata in C major, K.423",sonata,Q78243810,"Keyboard Sonata in C major, K.423 (Scarlatti, Domenico)",,Domenico Scarlatti,Carl Czerny,Q167837,Q215333
"Keyboard Sonata in C major, K.423",sonata,Q78243810,"Keyboard Sonata in C major, K.423 (Scarlatti, Domenico)",,Domenico Scarlatti,Alessandro Longo,Q167837,Q1934977
"Keyboard Sonata in G major, K.424",sonata,Q67199995,"Keyboard Sonata in G major, K.424 (Scarlatti, Domenico)",294163445,Domenico Scarlatti,Carl Czerny,Q167837,Q215333
"Keyboard Sonata in G major, K.424",sonata,Q67199995,"Keyboard Sonata in G major, K.424 (Scarlatti, Domenico)",294163445,Domenico Scarlatti,Alessandro Longo,Q167837,Q1934977
"Keyboard Sonata in C major, K.422",sonata,Q78243806,"Keyboard Sonata in C major, K.422 (Scarlatti, Domenico)",,Domenico Scarlatti,Carl Czerny,Q167837,Q215333
"Keyboard Sonata in C major, K.422",sonata,Q78243806,"Keyboard Sonata in C major, K.422 (Scarlatti, Domenico)",,Domenico Scarlatti,Alessandro Longo,Q167837,Q1934977
"Keyboard Sonata in F major, K.438",sonata,Q74594812,"Keyboard Sonata in F major, K.438 (Scarlatti, Domenico)",292958272,Domenico Scarlatti,Carl Czerny,Q167837,Q215333
"Keyboard Sonata in F major, K.438",sonata,Q74594812,"Keyboard Sonata in F major, K.438 (Scarlatti, Domenico)",292958272,Domenico Scarlatti,Alessandro Longo,Q167837,Q1934977
"Keyboard Sonata in F major, K.437",sonata,Q78243812,"Keyboard Sonata in F major, K.437 (Scarlatti, Domenico)",,Domenico Scarlatti,Alessandro Longo,Q167837,Q1934977
"Keyboard Sonata in F major, K.437",sonata,Q78243812,"Keyboard Sonata in F major, K.437 (Scarlatti, Domenico)",,Domenico Scarlatti,Carl Czerny,Q167837,Q215333
