Name,Form of creative work,Wikidata QID,IMSLP ID,VIAF ID,composer,arranger,composer QID,arranger QID
"Keyboard Sonata in G minor, K.30",sonata,Q3408309,"Keyboard Sonata in G minor, K.30 (Scarlatti, Domenico)",,Domenico Scarlatti,Alessandro Longo,Q167837,Q1934977
"Keyboard Sonata in G minor, K.30",sonata,Q3408309,"Keyboard Sonata in G minor, K.30 (Scarlatti, Domenico)",,Domenico Scarlatti,Louis Köhler,Q167837,Q320601
"Keyboard Sonata in G minor, K.30",sonata,Q3408309,"Keyboard Sonata in G minor, K.30 (Scarlatti, Domenico)",,Domenico Scarlatti,Amédée Méreaux,Q167837,Q4749606
"Keyboard Sonata in G minor, K.30",sonata,Q3408309,"Keyboard Sonata in G minor, K.30 (Scarlatti, Domenico)",,Domenico Scarlatti,Hans von Bülow,Q167837,Q155540
"Keyboard Sonata in G minor, K.30",sonata,Q3408309,"Keyboard Sonata in G minor, K.30 (Scarlatti, Domenico)",,Domenico Scarlatti,Louis Oesterle,Q167837,Q55838272
"Keyboard Sonata in G minor, K.30",sonata,Q3408309,"Keyboard Sonata in G minor, K.30 (Scarlatti, Domenico)",,Domenico Scarlatti,Michele Esposito,Q167837,Q6836741
"Keyboard Sonata in G minor, K.30",sonata,Q3408309,"Keyboard Sonata in G minor, K.30 (Scarlatti, Domenico)",,Domenico Scarlatti,Thomas Dunhill,Q167837,Q706498
"Keyboard Sonata in G minor, K.30",sonata,Q3408309,"Keyboard Sonata in G minor, K.30 (Scarlatti, Domenico)",,Domenico Scarlatti,Carl Czerny,Q167837,Q215333
"Keyboard Sonata in D minor, K.41",sonata,Q67199908,"Keyboard Sonata in D minor, K.41 (Scarlatti, Domenico)",292407542,Domenico Scarlatti,Louis Oesterle,Q167837,Q55838272
"Keyboard Sonata in D minor, K.41",sonata,Q67199908,"Keyboard Sonata in D minor, K.41 (Scarlatti, Domenico)",292407542,Domenico Scarlatti,Carl Czerny,Q167837,Q215333
"Keyboard Sonata in G major, K.523",sonata,Q75736815,"Keyboard Sonata in G major, K.523 (Scarlatti, Domenico)",292392205,Domenico Scarlatti,Hans von Bülow,Q167837,Q155540
"Keyboard Sonata in G major, K.523",sonata,Q75736815,"Keyboard Sonata in G major, K.523 (Scarlatti, Domenico)",292392205,Domenico Scarlatti,Alessandro Longo,Q167837,Q1934977
"Keyboard Sonata in G major, K.523",sonata,Q75736815,"Keyboard Sonata in G major, K.523 (Scarlatti, Domenico)",292392205,Domenico Scarlatti,Louis Köhler,Q167837,Q320601
"Keyboard Sonata in G major, K.523",sonata,Q75736815,"Keyboard Sonata in G major, K.523 (Scarlatti, Domenico)",292392205,Domenico Scarlatti,Louis Oesterle,Q167837,Q55838272
"Keyboard Sonata in G major, K.523",sonata,Q75736815,"Keyboard Sonata in G major, K.523 (Scarlatti, Domenico)",292392205,Domenico Scarlatti,Michele Esposito,Q167837,Q6836741
"Keyboard Sonata in G major, K.523",sonata,Q75736815,"Keyboard Sonata in G major, K.523 (Scarlatti, Domenico)",292392205,Domenico Scarlatti,Thomas Dunhill,Q167837,Q706498
"Keyboard Sonata in G major, K.523",sonata,Q75736815,"Keyboard Sonata in G major, K.523 (Scarlatti, Domenico)",292392205,Domenico Scarlatti,Carl Czerny,Q167837,Q215333
"Keyboard Sonata in F major, K.525",sonata,Q78246024,"Keyboard Sonata in F major, K.525 (Scarlatti, Domenico)",,Domenico Scarlatti,Hans von Bülow,Q167837,Q155540
"Keyboard Sonata in F major, K.525",sonata,Q78246024,"Keyboard Sonata in F major, K.525 (Scarlatti, Domenico)",,Domenico Scarlatti,Alessandro Longo,Q167837,Q1934977
"Keyboard Sonata in F major, K.525",sonata,Q78246024,"Keyboard Sonata in F major, K.525 (Scarlatti, Domenico)",,Domenico Scarlatti,Louis Oesterle,Q167837,Q55838272
"Keyboard Sonata in F major, K.525",sonata,Q78246024,"Keyboard Sonata in F major, K.525 (Scarlatti, Domenico)",,Domenico Scarlatti,Michele Esposito,Q167837,Q6836741
"Keyboard Sonata in F major, K.525",sonata,Q78246024,"Keyboard Sonata in F major, K.525 (Scarlatti, Domenico)",,Domenico Scarlatti,Thomas Dunhill,Q167837,Q706498
"Keyboard Sonata in F major, K.525",sonata,Q78246024,"Keyboard Sonata in F major, K.525 (Scarlatti, Domenico)",,Domenico Scarlatti,Carl Czerny,Q167837,Q215333
"Keyboard Sonata in C minor, K.526",sonata,Q78246025,"Keyboard Sonata in C minor, K.526 (Scarlatti, Domenico)",,Domenico Scarlatti,Carl Czerny,Q167837,Q215333
"Keyboard Sonata in C minor, K.526",sonata,Q78246025,"Keyboard Sonata in C minor, K.526 (Scarlatti, Domenico)",,Domenico Scarlatti,Alessandro Longo,Q167837,Q1934977
"Keyboard Sonata in D minor, K.517",sonata,Q30303396,"Keyboard Sonata in D minor, K.517 (Scarlatti, Domenico)",182356160,Domenico Scarlatti,Alessandro Longo,Q167837,Q1934977
"Keyboard Sonata in D minor, K.517",sonata,Q30303396,"Keyboard Sonata in D minor, K.517 (Scarlatti, Domenico)",182356160,Domenico Scarlatti,Carl Czerny,Q167837,Q215333
"Keyboard Sonata in F minor, K.519",sonata,Q74594764,"Keyboard Sonata in F minor, K.519 (Scarlatti, Domenico)",293203889,Domenico Scarlatti,Thomas Dunhill,Q167837,Q706498
"Keyboard Sonata in F minor, K.519",sonata,Q74594764,"Keyboard Sonata in F minor, K.519 (Scarlatti, Domenico)",293203889,Domenico Scarlatti,Alessandro Longo,Q167837,Q1934977
"Keyboard Sonata in F minor, K.519",sonata,Q74594764,"Keyboard Sonata in F minor, K.519 (Scarlatti, Domenico)",293203889,Domenico Scarlatti,Carl Czerny,Q167837,Q215333
"Keyboard Sonata in B-flat major, K.529",sonata,Q78246036,"Keyboard Sonata in B-flat major, K.529 (Scarlatti, Domenico)",,Domenico Scarlatti,Alessandro Longo,Q167837,Q1934977
"Keyboard Sonata in B-flat major, K.529",sonata,Q78246036,"Keyboard Sonata in B-flat major, K.529 (Scarlatti, Domenico)",,Domenico Scarlatti,Carl Czerny,Q167837,Q215333
"Keyboard Sonata in A minor, K.532",sonata,Q78240142,"Keyboard Sonata in A minor, K.532 (Scarlatti, Domenico)",,Domenico Scarlatti,Carl Czerny,Q167837,Q215333
"Keyboard Sonata in A minor, K.532",sonata,Q78240142,"Keyboard Sonata in A minor, K.532 (Scarlatti, Domenico)",,Domenico Scarlatti,Alessandro Longo,Q167837,Q1934977
"Keyboard Sonata in A major, K.533",sonata,Q74594872,"Keyboard Sonata in A major, K.533 (Scarlatti, Domenico)",292542457,Domenico Scarlatti,Vincent d'Indy,Q167837,Q313584
"Keyboard Sonata in A major, K.533",sonata,Q74594872,"Keyboard Sonata in A major, K.533 (Scarlatti, Domenico)",292542457,Domenico Scarlatti,Michele Esposito,Q167837,Q6836741
"Keyboard Sonata in A major, K.533",sonata,Q74594872,"Keyboard Sonata in A major, K.533 (Scarlatti, Domenico)",292542457,Domenico Scarlatti,Alessandro Longo,Q167837,Q1934977
"Keyboard Sonata in A major, K.533",sonata,Q74594872,"Keyboard Sonata in A major, K.533 (Scarlatti, Domenico)",292542457,Domenico Scarlatti,Carl Czerny,Q167837,Q215333
"Keyboard Sonata in D major, K.535",sonata,Q78246042,"Keyboard Sonata in D major, K.535 (Scarlatti, Domenico)",,Domenico Scarlatti,Carl Czerny,Q167837,Q215333
"Keyboard Sonata in D major, K.535",sonata,Q78246042,"Keyboard Sonata in D major, K.535 (Scarlatti, Domenico)",,Domenico Scarlatti,Alessandro Longo,Q167837,Q1934977
"Keyboard Sonata in B-flat major, K.551",sonata,Q78246062,"Keyboard Sonata in B-flat major, K.551 (Scarlatti, Domenico)",,Domenico Scarlatti,Alessandro Longo,Q167837,Q1934977
"Keyboard Sonata in B-flat major, K.551",sonata,Q78246062,"Keyboard Sonata in B-flat major, K.551 (Scarlatti, Domenico)",,Domenico Scarlatti,Carl Czerny,Q167837,Q215333
"Keyboard Sonata in D minor, K.553",sonata,Q78246068,"Keyboard Sonata in D minor, K.553 (Scarlatti, Domenico)",,Domenico Scarlatti,Carl Czerny,Q167837,Q215333
"Keyboard Sonata in D minor, K.553",sonata,Q78246068,"Keyboard Sonata in D minor, K.553 (Scarlatti, Domenico)",,Domenico Scarlatti,Alessandro Longo,Q167837,Q1934977
"Keyboard Sonata in A major, K.212",sonata,Q67322076,"Keyboard Sonata in A major, K.212 (Scarlatti, Domenico)",180041414,Domenico Scarlatti,Alessandro Longo,Q167837,Q1934977
"Keyboard Sonata in A major, K.212",sonata,Q67322076,"Keyboard Sonata in A major, K.212 (Scarlatti, Domenico)",180041414,Domenico Scarlatti,Carl Czerny,Q167837,Q215333
"Keyboard Sonata in F minor, K.50",sonata,Q74594967,"Keyboard Sonata in F minor, K.50 (Scarlatti, Domenico)",292877386,Domenico Scarlatti,Alessandro Longo,Q167837,Q1934977
"Keyboard Sonata in F minor, K.50",sonata,Q74594967,"Keyboard Sonata in F minor, K.50 (Scarlatti, Domenico)",292877386,Domenico Scarlatti,Carl Czerny,Q167837,Q215333
"Keyboard Sonata in G major, K.201",sonata,Q67199953,"Keyboard Sonata in G major, K.201 (Scarlatti, Domenico)",179621116,Domenico Scarlatti,Carl Czerny,Q167837,Q215333
"Keyboard Sonata in G major, K.201",sonata,Q67199953,"Keyboard Sonata in G major, K.201 (Scarlatti, Domenico)",179621116,Domenico Scarlatti,Alessandro Longo,Q167837,Q1934977
"Keyboard Sonata in G major, K.348",sonata,Q78243642,"Keyboard Sonata in G major, K.348 (Scarlatti, Domenico)",,Domenico Scarlatti,Louis Köhler,Q167837,Q320601
"Keyboard Sonata in G major, K.348",sonata,Q78243642,"Keyboard Sonata in G major, K.348 (Scarlatti, Domenico)",,Domenico Scarlatti,Alessandro Longo,Q167837,Q1934977
"Keyboard Sonata in G major, K.348",sonata,Q78243642,"Keyboard Sonata in G major, K.348 (Scarlatti, Domenico)",,Domenico Scarlatti,Carl Czerny,Q167837,Q215333
"Keyboard Sonata in G minor, K.347",sonata,Q78243639,"Keyboard Sonata in G minor, K.347 (Scarlatti, Domenico)",,Domenico Scarlatti,Carl Czerny,Q167837,Q215333
"Keyboard Sonata in G minor, K.347",sonata,Q78243639,"Keyboard Sonata in G minor, K.347 (Scarlatti, Domenico)",,Domenico Scarlatti,Alessandro Longo,Q167837,Q1934977
"Keyboard Sonata in D minor, K.434",sonata,Q67200004,"Keyboard Sonata in D minor, K.434 (Scarlatti, Domenico)",293405470,Domenico Scarlatti,Alessandro Longo,Q167837,Q1934977
"Keyboard Sonata in D minor, K.434",sonata,Q67200004,"Keyboard Sonata in D minor, K.434 (Scarlatti, Domenico)",293405470,Domenico Scarlatti,Hans von Bülow,Q167837,Q155540
"Keyboard Sonata in D minor, K.434",sonata,Q67200004,"Keyboard Sonata in D minor, K.434 (Scarlatti, Domenico)",293405470,Domenico Scarlatti,Vincent d'Indy,Q167837,Q313584
"Keyboard Sonata in D minor, K.434",sonata,Q67200004,"Keyboard Sonata in D minor, K.434 (Scarlatti, Domenico)",293405470,Domenico Scarlatti,Louis Köhler,Q167837,Q320601
"Keyboard Sonata in D minor, K.434",sonata,Q67200004,"Keyboard Sonata in D minor, K.434 (Scarlatti, Domenico)",293405470,Domenico Scarlatti,Amédée Méreaux,Q167837,Q4749606
"Keyboard Sonata in D minor, K.434",sonata,Q67200004,"Keyboard Sonata in D minor, K.434 (Scarlatti, Domenico)",293405470,Domenico Scarlatti,Carl Czerny,Q167837,Q215333
"Keyboard Sonata in F major, K.44",sonata,Q74594793,"Keyboard Sonata in F major, K.44 (Scarlatti, Domenico)",294260428,Domenico Scarlatti,Alessandro Longo,Q167837,Q1934977
"Keyboard Sonata in F major, K.44",sonata,Q74594793,"Keyboard Sonata in F major, K.44 (Scarlatti, Domenico)",294260428,Domenico Scarlatti,Carl Czerny,Q167837,Q215333
"Keyboard Sonata in D major, K.435",sonata,Q74594905,"Keyboard Sonata in D major, K.435 (Scarlatti, Domenico)",182840212,Domenico Scarlatti,Carl Czerny,Q167837,Q215333
"Keyboard Sonata in D major, K.435",sonata,Q74594905,"Keyboard Sonata in D major, K.435 (Scarlatti, Domenico)",182840212,Domenico Scarlatti,Alessandro Longo,Q167837,Q1934977
"Keyboard Sonata in D major, K.53",sonata,Q67199911,"Keyboard Sonata in D major, K.53 (Scarlatti, Domenico)",294438947,Domenico Scarlatti,Alessandro Longo,Q167837,Q1934977
"Keyboard Sonata in D major, K.53",sonata,Q67199911,"Keyboard Sonata in D major, K.53 (Scarlatti, Domenico)",294438947,Domenico Scarlatti,Carl Czerny,Q167837,Q215333
"Keyboard Sonata in G major, K.433",sonata,Q74594771,"Keyboard Sonata in G major, K.433 (Scarlatti, Domenico)",293944540,Domenico Scarlatti,Carl Czerny,Q167837,Q215333
"Keyboard Sonata in G major, K.433",sonata,Q74594771,"Keyboard Sonata in G major, K.433 (Scarlatti, Domenico)",293944540,Domenico Scarlatti,Alessandro Longo,Q167837,Q1934977
"Keyboard Sonata in G major, K.432",sonata,Q67200003,"Keyboard Sonata in G major, K.432 (Scarlatti, Domenico)",293136671,Domenico Scarlatti,Louis Köhler,Q167837,Q320601
"Keyboard Sonata in G major, K.432",sonata,Q67200003,"Keyboard Sonata in G major, K.432 (Scarlatti, Domenico)",293136671,Domenico Scarlatti,Alessandro Longo,Q167837,Q1934977
"Keyboard Sonata in G major, K.432",sonata,Q67200003,"Keyboard Sonata in G major, K.432 (Scarlatti, Domenico)",293136671,Domenico Scarlatti,Carl Czerny,Q167837,Q215333
"Keyboard Sonata in C major, K.421",sonata,Q67199994,"Keyboard Sonata in C major, K.421 (Scarlatti, Domenico)",294493357,Domenico Scarlatti,Carl Czerny,Q167837,Q215333
"Keyboard Sonata in C major, K.421",sonata,Q67199994,"Keyboard Sonata in C major, K.421 (Scarlatti, Domenico)",294493357,Domenico Scarlatti,Alessandro Longo,Q167837,Q1934977
"Keyboard Sonata in C major, K.420",sonata,Q74594739,"Keyboard Sonata in C major, K.420 (Scarlatti, Domenico)",294752268,Domenico Scarlatti,Alessandro Longo,Q167837,Q1934977
"Keyboard Sonata in C major, K.420",sonata,Q74594739,"Keyboard Sonata in C major, K.420 (Scarlatti, Domenico)",294752268,Domenico Scarlatti,Carl Czerny,Q167837,Q215333
"Keyboard Sonata in G major, K.372",sonata,Q78243715,"Keyboard Sonata in G major, K.372 (Scarlatti, Domenico)",,Domenico Scarlatti,Carl Czerny,Q167837,Q215333
"Keyboard Sonata in G major, K.372",sonata,Q78243715,"Keyboard Sonata in G major, K.372 (Scarlatti, Domenico)",,Domenico Scarlatti,Alessandro Longo,Q167837,Q1934977
"Keyboard Sonata in G minor, K.108",sonata,Q67199928,"Keyboard Sonata in G minor, K.108 (Scarlatti, Domenico)",,Domenico Scarlatti,Alessandro Longo,Q167837,Q1934977
"Keyboard Sonata in G minor, K.108",sonata,Q67199928,"Keyboard Sonata in G minor, K.108 (Scarlatti, Domenico)",,Domenico Scarlatti,Carl Czerny,Q167837,Q215333
"Keyboard Sonata in B major, K.261",sonata,Q78243403,"Keyboard Sonata in B major, K.261 (Scarlatti, Domenico)",,Domenico Scarlatti,Carl Czerny,Q167837,Q215333
"Keyboard Sonata in B major, K.261",sonata,Q78243403,"Keyboard Sonata in B major, K.261 (Scarlatti, Domenico)",,Domenico Scarlatti,Alessandro Longo,Q167837,Q1934977
"Keyboard Sonata in A major, K.343",sonata,Q78243627,"Keyboard Sonata in A major, K.343 (Scarlatti, Domenico)",,Domenico Scarlatti,Alessandro Longo,Q167837,Q1934977
