Name,"Form of creative work","Wikidata QID","IMSLP ID","VIAF ID",composer,arranger,"Wikidata QID","Wikidata QID"
"Keyboard Sonata in G minor, K.426",sonata,Q67199997,"Keyboard Sonata in G minor, K.426 (Scarlatti, Domenico)",293149301,"Domenico Scarlatti","Carl Czerny",Q167837,Q215333
"Keyboard Sonata in G minor, K.426",sonata,Q67199997,"Keyboard Sonata in G minor, K.426 (Scarlatti, Domenico)",293149301,"Domenico Scarlatti","Carl Tausig",Q167837,Q636941
