Name,"Wikidata QID","subclass of","instance of","musical parameter"
"realization of figured bass",Q96401348,"figured bass","musical technique",pitch
"realization of figured bass",Q96401348,"figured bass","musical technique",duration
"realization of figured bass",Q96401348,"figured bass","musical improvisation",pitch
"realization of figured bass",Q96401348,"figured bass","musical improvisation",duration
"realization of figured bass",Q96401348,instrumentation,"music theory",pitch
"realization of figured bass",Q96401348,instrumentation,"music theory",duration
"realization of figured bass",Q96401348,instrumentation,"musical technique",pitch
"realization of figured bass",Q96401348,instrumentation,"musical technique",duration
"realization of figured bass",Q96401348,instrumentation,"musical improvisation",pitch
"realization of figured bass",Q96401348,instrumentation,"musical improvisation",duration
"instrument reconstruction",,instrumentation,"music theory",pitch
"instrument reconstruction",,instrumentation,"music theory",duration
"instrument reconstruction",,instrumentation,"music theory",loudness
"instrument reconstruction",,instrumentation,"music theory",timbre
Divisi,Q1230694,instrumentation,"musical concept",timbre
Divisi,Q1230694,instrumentation,"musical notation",timbre
instrumentation,Q617028,,"musical concept",timbre
variation,Q16920157,ornament,"musical technique",duration
variation,Q16920157,ornament,"musical notation",duration
"voice leading",Q2027877,,"musical-structural concept",pitch
"voice leading",Q2027877,,"music theory",pitch
date,Q186408,,,
transposition,Q815323,,"musical concept",pitch
"colla parte",Q126950983,"musical technique","musical technique",pitch
"colla parte",Q126950983,"musical technique","musical notation",pitch
cadenza,Q1069389,ornament,"musical improvisation",pitch
cadenza,Q1069389,ornament,"musical improvisation",duration
cadenza,Q1069389,ornament,"musical notation",pitch
cadenza,Q1069389,ornament,"musical notation",duration
tremolo,Q123171932,ornament,"musical notation",pitch
tremolo,Q123171932,ornament,"musical notation",duration
tremolo,Q123171932,ornament,"musical technique",pitch
tremolo,Q123171932,ornament,"musical technique",duration
ornament,Q739589,"musical technique","musical technique",pitch
ornament,Q739589,"musical technique","musical technique",duration
ornament,Q739589,"musical technique","musical notation",pitch
ornament,Q739589,"musical technique","musical notation",duration
"messa di voce",Q1537440,"musical technique","musical technique",loudness
"messa di voce",Q1537440,"musical technique","musical notation",loudness
vibrato,Q377435,"musical technique","musical technique",timbre
vibrato,Q377435,"musical technique","musical technique",pitch
vibrato,Q377435,"musical technique","musical notation",timbre
vibrato,Q377435,"musical technique","musical notation",pitch
marcato,Q2524785,,"musical notation",duration
marcato,Q2524785,,"musical notation",timbre
"measure subdivision",,tempo,"musical-structural concept",duration
"measure subdivision",,tempo,glyph,duration
"octave sign",Q126950966,,"musical notation",pitch
accidental,Q816335,,"musical notation",pitch
"repeat sign",Q17137002,variation,"musical notation",duration
"musical phrasing",Q15130689,,"musical concept",timbre
"musical phrasing",Q15130689,,"musical concept",loudness
"musical phrasing",Q15130689,,"musical concept",duration
"string number (sul X)",Q326426,"musical instrument part","musical notation",timbre
cantabile,Q913079,"musical expression","musical notation",timbre
cantabile,Q913079,"musical phrasing","musical notation",timbre
"musical expression",Q6942545,,"musical notation",timbre
"musical expression",Q6942545,,"musical notation",loudness
energico,Q1939445,"musical expression","musical notation",loudness
energico,Q1939445,"musical expression","musical notation",timbre
dolce,Q109520245,"musical expression","musical concept",loudness
dolce,Q109520245,"musical expression","musical concept",timbre
dolce,Q109520245,"musical expression","musical notation",loudness
dolce,Q109520245,"musical expression","musical notation",timbre
"organ stop",Q1446290,timbre,"musical notation",timbre
"organ stop",Q1446290,timbre,"musical notation",pitch
"organ stop",Q1446290,timbre,"musical notation",loudness
"organ stop",Q1446290,"musical instrument part","musical notation",timbre
"organ stop",Q1446290,"musical instrument part","musical notation",pitch
"organ stop",Q1446290,"musical instrument part","musical notation",loudness
"tempo rubato",Q1063336,tempo,"musical notation",duration
portamento,Q263934,"musical phrasing","musical technique",pitch
portamento,Q263934,"musical phrasing","musical notation",pitch
"da capo",Q1138573,"repeat sign","musical notation",duration
"da capo",Q1138573,variation,"musical notation",duration
"sotto voce",Q7564035,dynamic,"musical technique",timbre
"sotto voce",Q7564035,dynamic,"musical technique",loudness
"sotto voce",Q7564035,dynamic,"musical notation",timbre
"sotto voce",Q7564035,dynamic,"musical notation",loudness
"sotto voce",Q7564035,"musical expression","musical technique",timbre
"sotto voce",Q7564035,"musical expression","musical technique",loudness
