measure_start,measure_end,object,value,id,quarterlength,offset,type
0,,<music21.note.Note B>,note,sauer1,0.5,0.0,GeneralNote
0,,<music21.note.Rest eighth>,note,sauer2,0.5,0.0,GeneralNote
0,2,<music21.spanner.Slur <music21.note.Note B><music21.note.Note F#>>,slur,sauer1016,5.0,0.0,Slur
0,,<music21.dynamics.Dynamic p>,p,sauer1105,,,DynamicPoint
0,,<music21.expressions.TextExpression 'Allegretto'>,Allegretto,sauer1189,0.0,0.0,TextExpression
0,,<music21.expressions.TextExpression 'espressivo'>,espressivo,sauer1190,0.0,0.0,TextExpression
0,,<music21.tempo.MetronomeMark Quarter=116 (playback only)>,None,sauer1198,0.0,0.0,TempoIndication
0,,<music21.tempo.MetronomeMark Quarter=116 (playback only)>,None None,sauer1199,0.0,0.0,MetronomeMark
1,,<music21.note.Note E>,note,sauer3,0.5,0.5,GeneralNote
1,,<music21.chord.Chord E4 G4>,note,sauer4,1.5,0.5,GeneralNote
1,,<music21.note.Rest dotted-half>,note,sauer5,3.0,0.5,GeneralNote
1,,<music21.note.Note F#>,note,sauer6,0.5,1.0,GeneralNote
1,,<music21.note.Note G>,note,sauer7,0.5,1.5,GeneralNote
1,,<music21.note.Note F#>,note,sauer8,0.5,2.0,GeneralNote
1,,<music21.chord.Chord D#4 F#4>,note,sauer9,1.5,2.0,GeneralNote
1,,<music21.note.Note B>,note,sauer10,0.5,2.5,GeneralNote
1,,<music21.note.Note B>,note,sauer11,0.5,3.0,GeneralNote
2,,<music21.note.Note G>,note,sauer12,1.5,3.5,GeneralNote
2,,<music21.articulations.Fingering (34)>,fingering,sauer13,0.0,0.0,Fingering
2,,<music21.note.Note E>,note,sauer14,0.5,3.5,GeneralNote
2,,<music21.note.Rest dotted-half>,note,sauer15,3.0,3.5,GeneralNote
2,,<music21.note.Note G>,note,sauer16,0.5,4.0,GeneralNote
2,,<music21.note.Note B>,note,sauer17,0.5,4.5,GeneralNote
2,,<music21.note.Note F#>,note,sauer18,1.0,5.0,GeneralNote
2,,<music21.note.Note D>,note,sauer19,0.5,5.0,GeneralNote
2,,<music21.note.Note G>,note,sauer20,0.5,5.5,GeneralNote
2,,<music21.note.Note B>,note,sauer21,0.5,6.0,GeneralNote
2,,<music21.articulations.Fingering 3>,fingering,sauer22,0.0,0.0,Fingering
2,,<music21.note.Note B>,note,sauer23,0.5,6.0,GeneralNote
2,3,<music21.spanner.Slur <music21.note.Note B><music21.note.Note A>>,slur,sauer1017,0.5,0.0,Slur
2,2,<music21.spanner.Slur <music21.note.Note E><music21.note.Note B>>,slur,sauer1018,2.5,0.0,Slur
3,,<music21.note.Note A>,note,sauer24,0.5,6.5,GeneralNote
3,,<music21.articulations.Staccato>,staccato,sauer25,0.0,0.0,Articulation
3,,<music21.note.Note E>,note,sauer26,1.5,6.5,GeneralNote
3,,<music21.note.Note C>,note,sauer27,1.5,6.5,GeneralNote
3,,<music21.articulations.Fingering 4>,fingering,sauer28,0.0,0.0,Fingering
3,,<music21.note.Note C>,note,sauer29,0.25,7.0,GeneralNote
