measure_start,measure_end,object,value,id,quarterlength,offset,type
0,,<music21.note.Note A>,note,gilbert1,0.5,0.0,GeneralNote
0,,<music21.note.Rest dotted-half>,note,gilbert2,3.0,0.0,GeneralNote
0,,<music21.expressions.TextExpression 'Allegro'>,Allegro,gilbert792,0.0,0.0,TextExpression
0,,<music21.tempo.MetronomeMark Quarter=144 (playback only)>,None,gilbert793,0.0,0.0,TempoIndication
0,,<music21.tempo.MetronomeMark Quarter=144 (playback only)>,None None,gilbert794,0.0,0.0,MetronomeMark
1,,<music21.note.Note D>,note,gilbert3,0.5,3.0,GeneralNote
1,,<music21.chord.Chord D4 F4>,note,gilbert4,1.5,3.0,GeneralNote
1,,<music21.note.Rest dotted-half>,note,gilbert5,3.0,3.0,GeneralNote
1,,<music21.note.Note E>,note,gilbert6,0.5,3.5,GeneralNote
1,,<music21.note.Note F>,note,gilbert7,0.5,4.0,GeneralNote
1,,<music21.note.Note E>,note,gilbert8,0.5,4.5,GeneralNote
1,,<music21.chord.Chord C#4 E4>,note,gilbert9,1.5,4.5,GeneralNote
1,,<music21.note.Note A>,note,gilbert10,0.5,5.0,GeneralNote
1,,<music21.note.Note A>,note,gilbert11,0.5,5.5,GeneralNote
2,,<music21.note.Note F>,note,gilbert12,1.5,6.0,GeneralNote
2,,<music21.note.Note D>,note,gilbert13,0.5,6.0,GeneralNote
2,,<music21.note.Rest dotted-half>,note,gilbert14,3.0,6.0,GeneralNote
2,,<music21.note.Note F>,note,gilbert15,0.5,6.5,GeneralNote
2,,<music21.note.Note A>,note,gilbert16,0.5,7.0,GeneralNote
2,,<music21.note.Note E>,note,gilbert17,1.0,7.5,GeneralNote
2,,<music21.note.Note C>,note,gilbert18,0.5,7.5,GeneralNote
2,,<music21.note.Note F>,note,gilbert19,0.5,8.0,GeneralNote
2,,<music21.note.Note A>,note,gilbert20,0.5,8.5,GeneralNote
2,,<music21.note.Note A>,note,gilbert21,0.5,8.5,GeneralNote
3,,<music21.note.Note G>,note,gilbert22,0.5,9.0,GeneralNote
3,,<music21.note.Note D>,note,gilbert23,1.5,9.0,GeneralNote
3,,<music21.note.Note B->,note,gilbert24,1.5,9.0,GeneralNote
3,,<music21.note.Note B->,note,gilbert25,0.25,9.5,GeneralNote
3,,<music21.note.Note A>,note,gilbert26,0.25,9.75,GeneralNote
3,,<music21.note.Note G>,note,gilbert27,0.25,10.0,GeneralNote
3,,<music21.note.Note F>,note,gilbert28,0.25,10.25,GeneralNote
3,,<music21.note.Note E>,note,gilbert29,0.5,10.5,GeneralNote
3,,<music21.chord.Chord D4 E4>,note,gilbert30,1.5,10.5,GeneralNote
3,,<music21.note.Note G>,note,gilbert31,1.5,10.5,GeneralNote
3,,<music21.note.Note G>,note,gilbert32,0.25,11.0,GeneralNote
3,,<music21.note.Note F>,note,gilbert33,0.25,11.25,GeneralNote
3,,<music21.note.Note E>,note,gilbert34,0.25,11.5,GeneralNote
3,,<music21.note.Note D>,note,gilbert35,0.25,11.75,GeneralNote
4,,<music21.note.Note D>,note,gilbert36,1.0,12.0,GeneralNote
4,,<music21.note.Note A>,note,gilbert37,0.5,12.0,GeneralNote
4,,<music21.note.Note C#>,note,gilbert38,0.5,12.5,GeneralNote
4,,<music21.note.Note C#>,note,gilbert39,0.5,13.0,GeneralNote
4,,<music21.note.Note E>,note,gilbert40,0.5,13.0,GeneralNote
4,,<music21.note.Note C#>,note,gilbert41,1.0,13.5,GeneralNote
4,,<music21.note.Note A>,note,gilbert42,0.25,13.5,GeneralNote
4,,<music21.note.Note G>,note,gilbert43,0.25,13.75,GeneralNote
4,,<music21.note.Note F>,note,gilbert44,0.25,14.0,GeneralNote
4,,<music21.note.Note E>,note,gilbert45,0.25,14.25,GeneralNote
4,,<music21.note.Note A>,note,gilbert46,0.5,14.5,GeneralNote
4,,<music21.note.Note D>,note,gilbert47,0.5,14.5,GeneralNote
5,,<music21.note.Note C>,note,gilbert48,0.5,15.0,GeneralNote
5,,<music21.note.Note G>,note,gilbert49,1.0,15.0,GeneralNote
5,,<music21.note.Rest dotted-half>,note,gilbert50,3.0,15.0,GeneralNote
5,,<music21.note.Note B->,note,gilbert51,0.5,15.5,GeneralNote
5,,<music21.note.Note G>,note,gilbert52,0.5,16.0,GeneralNote
5,,<music21.note.Note G>,note,gilbert53,0.5,16.0,GeneralNote
5,,<music21.note.Note B->,note,gilbert54,0.5,16.5,GeneralNote
5,,<music21.note.Note F>,note,gilbert55,1.0,16.5,GeneralNote
5,,<music21.note.Note A>,note,gilbert56,0.5,17.0,GeneralNote
5,,<music21.note.Note F>,note,gilbert57,0.5,17.5,GeneralNote
5,,<music21.note.Note F>,note,gilbert58,0.5,17.5,GeneralNote
6,,<music21.note.Note A>,note,gilbert59,0.5,18.0,GeneralNote
6,,<music21.note.Note E>,note,gilbert60,1.0,18.0,GeneralNote
6,,<music21.note.Rest dotted-half>,note,gilbert61,3.0,18.0,GeneralNote
6,,<music21.note.Note G>,note,gilbert62,0.5,18.5,GeneralNote
6,,<music21.note.Note E>,note,gilbert63,0.5,19.0,GeneralNote
6,,<music21.note.Note E>,note,gilbert64,0.5,19.0,GeneralNote
6,,<music21.note.Note G>,note,gilbert65,0.5,19.5,GeneralNote
6,,<music21.note.Note D>,note,gilbert66,1.0,19.5,GeneralNote
6,,<music21.note.Note F>,note,gilbert67,0.5,20.0,GeneralNote
6,,<music21.note.Note D>,note,gilbert68,0.5,20.5,GeneralNote
6,,<music21.note.Note D>,note,gilbert69,0.5,20.5,GeneralNote
7,,<music21.note.Note F>,note,gilbert70,0.5,21.0,GeneralNote
7,,<music21.note.Note C>,note,gilbert71,1.0,21.0,GeneralNote
7,,<music21.note.Rest quarter>,note,gilbert72,1.0,21.0,GeneralNote
7,,<music21.note.Note E>,note,gilbert73,0.5,21.5,GeneralNote
7,,<music21.note.Note C>,note,gilbert74,0.5,22.0,GeneralNote
7,,<music21.note.Note C>,note,gilbert75,0.5,22.0,GeneralNote
7,,<music21.note.Rest eighth>,note,gilbert76,0.5,22.0,GeneralNote
7,,<music21.note.Note E>,note,gilbert77,0.5,22.5,GeneralNote
7,,<music21.note.Rest quarter>,note,gilbert78,1.0,22.5,GeneralNote
7,,<music21.note.Rest quarter>,note,gilbert79,1.0,22.5,GeneralNote
7,,<music21.note.Note B->,note,gilbert80,1.0,22.5,GeneralNote
7,,<music21.note.Note D>,note,gilbert81,0.5,23.0,GeneralNote
7,,<music21.note.Note B->,note,gilbert82,0.5,23.5,GeneralNote
7,,<music21.note.Rest eighth>,note,gilbert83,0.5,23.5,GeneralNote
7,,<music21.note.Rest eighth>,note,gilbert84,0.5,23.5,GeneralNote
7,,<music21.note.Note B->,note,gilbert85,0.5,23.5,GeneralNote
8,,<music21.note.Note C>,note,gilbert86,0.5,24.0,GeneralNote
8,,<music21.note.Note A>,note,gilbert87,0.5,24.0,GeneralNote
8,,<music21.note.Note D>,note,gilbert88,0.25,24.5,GeneralNote
8,,<music21.note.Note B->,note,gilbert89,0.25,24.5,GeneralNote
8,,<music21.note.Note E>,note,gilbert90,0.25,24.75,GeneralNote
8,,<music21.note.Note C>,note,gilbert91,0.25,24.75,GeneralNote
8,,<music21.note.Note F>,note,gilbert92,0.25,25.0,GeneralNote
8,,<music21.note.Note D>,note,gilbert93,0.25,25.0,GeneralNote
8,,<music21.note.Note G>,note,gilbert94,0.25,25.25,GeneralNote
8,,<music21.note.Note E>,note,gilbert95,0.25,25.25,GeneralNote
8,,<music21.note.Note A>,note,gilbert96,0.5,25.5,GeneralNote
8,,<music21.note.Note F>,note,gilbert97,0.5,25.5,GeneralNote
8,,<music21.note.Note G>,note,gilbert98,0.5,26.0,GeneralNote
8,,<music21.note.Note E>,note,gilbert99,0.5,26.0,GeneralNote
8,,<music21.note.Note F>,note,gilbert100,0.5,26.5,GeneralNote
8,,<music21.note.Note D>,note,gilbert101,0.5,26.5,GeneralNote
9,,<music21.note.Note E>,note,gilbert102,0.25,27.0,GeneralNote
9,,<music21.note.Note C>,note,gilbert103,0.25,27.0,GeneralNote
