measure_start,measure_end,object,value,id,quarterlength,offset,type
0,,<music21.note.Note A>,note,oesterle1,0.5,0.0,GeneralNote
0,,<music21.articulations.Fingering 1>,fingering,oesterle2,0.0,0.0,Fingering
0,,<music21.note.Rest dotted-half>,note,oesterle3,3.0,0.0,GeneralNote
0,,<music21.dynamics.Dynamic p>,p,oesterle1278,,,DynamicPoint
0,,<music21.expressions.TextExpression 'Allegretto'>,Allegretto,oesterle1336,0.0,0.0,TextExpression
0,,<music21.tempo.MetronomeMark Quarter=116 (playback only)>,None,oesterle1351,0.0,0.0,TempoIndication
0,,<music21.tempo.MetronomeMark Quarter=116 (playback only)>,None None,oesterle1352,0.0,0.0,MetronomeMark
1,,<music21.note.Note D>,note,oesterle4,0.5,3.0,GeneralNote
1,,<music21.articulations.Fingering 2>,fingering,oesterle5,0.0,0.0,Fingering
1,,<music21.chord.Chord D4 F4>,note,oesterle6,1.5,3.0,GeneralNote
1,,<music21.articulations.Fingering 4>,fingering,oesterle7,0.0,0.0,Fingering
1,,<music21.articulations.Fingering 2>,fingering,oesterle8,0.0,0.0,Fingering
1,,<music21.note.Rest dotted-half>,note,oesterle9,3.0,3.0,GeneralNote
1,,<music21.note.Note E>,note,oesterle10,0.5,3.5,GeneralNote
1,,<music21.note.Note F>,note,oesterle11,0.5,4.0,GeneralNote
1,,<music21.note.Note E>,note,oesterle12,0.5,4.5,GeneralNote
1,,<music21.chord.Chord C#4 E4>,note,oesterle13,1.5,4.5,GeneralNote
1,,<music21.note.Note A>,note,oesterle14,0.5,5.0,GeneralNote
1,,<music21.note.Note A>,note,oesterle15,0.5,5.5,GeneralNote
1,1,<music21.spanner.Slur <music21.note.Note D><music21.note.Note A>>,slur,oesterle1173,2.5,0.0,Slur
1,1,<music21.dynamics.Crescendo <music21.note.Note E><music21.note.Note A>>,diminuendo,oesterle1301,,,DynamicRegion
2,,<music21.note.Note F>,note,oesterle16,1.5,6.0,GeneralNote
2,,<music21.articulations.Fingering 34>,fingering,oesterle17,0.0,0.0,Fingering
2,,<music21.note.Note D>,note,oesterle18,0.5,6.0,GeneralNote
2,,<music21.note.Rest dotted-half>,note,oesterle19,3.0,6.0,GeneralNote
2,,<music21.note.Note F>,note,oesterle20,0.5,6.5,GeneralNote
2,,<music21.note.Note A>,note,oesterle21,0.5,7.0,GeneralNote
2,,<music21.note.Note E>,note,oesterle22,1.0,7.5,GeneralNote
2,,<music21.note.Note C>,note,oesterle23,0.5,7.5,GeneralNote
2,,<music21.note.Note F>,note,oesterle24,0.5,8.0,GeneralNote
2,,<music21.note.Note A>,note,oesterle25,0.5,8.5,GeneralNote
2,,<music21.note.Note A>,note,oesterle26,0.5,8.5,GeneralNote
2,2,<music21.spanner.Slur <music21.note.Note F><music21.note.Note E>>,slur,oesterle1174,1.5,0.0,Slur
2,3,<music21.spanner.Slur <music21.note.Note A><music21.note.Note G>>,slur,oesterle1175,0.5,0.0,Slur
2,2,<music21.spanner.Slur <music21.note.Note D><music21.note.Note A>>,slur,oesterle1176,2.5,0.0,Slur
2,2,<music21.dynamics.Diminuendo <music21.note.Note F><music21.note.Note C>>,diminuendo,oesterle1303,,,DynamicRegion
3,,<music21.note.Note G>,note,oesterle27,0.5,9.0,GeneralNote
3,,<music21.articulations.Staccato>,staccato,oesterle28,0.0,0.0,Articulation
3,,<music21.note.Note D>,note,oesterle29,1.5,9.0,GeneralNote
3,,<music21.note.Note B->,note,oesterle30,1.5,9.0,GeneralNote
3,,<music21.note.Note B->,note,oesterle31,0.25,9.5,GeneralNote
