measure_start,measure_end,object,value,id,quarterlength,offset
0,,<music21.note.Note A>,note,125772819737792,0.5,0.0
0,,<music21.note.Rest dotted-half>,note,125772816469120,3.0,0.0
0,,<music21.expressions.TextExpression 'Allegro'>,Allegro,125772819736832,0.0,0.0
1,,<music21.note.Note D>,note,125772817943104,0.5,3.0
1,,<music21.chord.Chord D4 F4>,note,125772817944352,1.5,3.0
1,,<music21.note.Rest dotted-half>,note,125772816469264,3.0,3.0
1,,<music21.note.Note E>,note,125772817943296,0.5,3.5
1,,<music21.note.Note F>,note,125772817943488,0.5,4.0
1,,<music21.note.Note E>,note,125772817943680,0.5,4.5
1,,<music21.chord.Chord C#4 E4>,note,125772817944832,1.5,4.5
1,,<music21.note.Note A>,note,125772817943872,0.5,5.0
1,,<music21.note.Note A>,note,125772817944064,0.5,5.5
2,,<music21.note.Note F>,note,125772817945408,1.5,6.0
2,,<music21.note.Note D>,note,125772817946080,0.5,6.0
2,,<music21.note.Rest dotted-half>,note,125772816469408,3.0,6.0
2,,<music21.note.Note F>,note,125772817946272,0.5,6.5
2,,<music21.note.Note A>,note,125772817946464,0.5,7.0
2,,<music21.note.Note E>,note,125772817945648,1.0,7.5
2,,<music21.note.Note C>,note,125772817946656,0.5,7.5
2,,<music21.note.Note F>,note,125772817946848,0.5,8.0
2,,<music21.note.Note A>,note,125772817945840,0.5,8.5
2,,<music21.note.Note A>,note,125772817947040,0.5,8.5
3,,<music21.note.Note G>,note,125772817947328,0.5,9.0
3,,<music21.note.Note D>,note,125772817949296,1.5,9.0
3,,<music21.note.Note B->,note,125772816469552,1.5,9.0
3,,<music21.note.Note B->,note,125772817947520,0.25,9.5
3,,<music21.note.Note A>,note,125772817947712,0.25,9.75
3,,<music21.note.Note G>,note,125772817947904,0.25,10.0
3,,<music21.note.Note F>,note,125772817948096,0.25,10.25
3,,<music21.note.Note E>,note,125772817948288,0.5,10.5
3,,<music21.chord.Chord D4 E4>,note,125772817949488,1.5,10.5
3,,<music21.note.Note G>,note,125772816469744,1.5,10.5
3,,<music21.note.Note G>,note,125772817948480,0.25,11.0
3,,<music21.note.Note F>,note,125772817948672,0.25,11.25
3,,<music21.note.Note E>,note,125772817948864,0.25,11.5
3,,<music21.note.Note D>,note,125772817949056,0.25,11.75
4,,<music21.note.Note D>,note,125772817950016,1.0,12.0
4,,<music21.note.Note A>,note,125772816469984,0.5,12.0
4,,<music21.note.Note C#>,note,125772816470176,0.5,12.5
4,,<music21.note.Note C#>,note,125772817950208,0.5,13.0
4,,<music21.note.Note E>,note,125772817951072,0.5,13.0
4,,<music21.note.Note C#>,note,125772817950592,1.0,13.5
4,,<music21.note.Note A>,note,125772817951264,0.25,13.5
4,,<music21.note.Note G>,note,125772817951456,0.25,13.75
4,,<music21.note.Note F>,note,125772817951648,0.25,14.0
4,,<music21.note.Note E>,note,125772817951840,0.25,14.25
4,,<music21.note.Note A>,note,125772817950832,0.5,14.5
4,,<music21.note.Note D>,note,125772817952032,0.5,14.5
5,,<music21.note.Note C>,note,125772817952368,0.5,15.0
5,,<music21.note.Note G>,note,125772817953568,1.0,15.0
5,,<music21.note.Rest dotted-half>,note,125772816470512,3.0,15.0
5,,<music21.note.Note B->,note,125772817952560,0.5,15.5
5,,<music21.note.Note G>,note,125772817952752,0.5,16.0
5,,<music21.note.Note G>,note,125772817953760,0.5,16.0
5,,<music21.note.Note B->,note,125772817952944,0.5,16.5
5,,<music21.note.Note F>,note,125772817953952,1.0,16.5
5,,<music21.note.Note A>,note,125772817953136,0.5,17.0
5,,<music21.note.Note F>,note,125772817953328,0.5,17.5
5,,<music21.note.Note F>,note,125772817954144,0.5,17.5
6,,<music21.note.Note A>,note,125772817954432,0.5,18.0
6,,<music21.note.Note E>,note,125772817955632,1.0,18.0
6,,<music21.note.Rest dotted-half>,note,125772816470656,3.0,18.0
6,,<music21.note.Note G>,note,125772817954624,0.5,18.5
6,,<music21.note.Note E>,note,125772817954816,0.5,19.0
6,,<music21.note.Note E>,note,125772817955824,0.5,19.0
6,,<music21.note.Note G>,note,125772817955008,0.5,19.5
6,,<music21.note.Note D>,note,125772817956016,1.0,19.5
6,,<music21.note.Note F>,note,125772817955200,0.5,20.0
6,,<music21.note.Note D>,note,125772817955392,0.5,20.5
6,,<music21.note.Note D>,note,125772817956208,0.5,20.5
7,,<music21.note.Note F>,note,125772817956496,0.5,21.0
7,,<music21.note.Note C>,note,125772818301824,1.0,21.0
7,,<music21.note.Rest quarter>,note,125772816471088,1.0,21.0
7,,<music21.note.Note E>,note,125772817956688,0.5,21.5
7,,<music21.note.Note C>,note,125772818301008,0.5,22.0
7,,<music21.note.Note C>,note,125772818302016,0.5,22.0
7,,<music21.note.Rest eighth>,note,125772816471184,0.5,22.0
7,,<music21.note.Note E>,note,125772818301200,0.5,22.5
7,,<music21.note.Rest quarter>,note,125772818302256,1.0,22.5
7,,<music21.note.Rest quarter>,note,125772816470848,1.0,22.5
7,,<music21.note.Note B->,note,125772816471280,1.0,22.5
7,,<music21.note.Note D>,note,125772818301392,0.5,23.0
7,,<music21.note.Note B->,note,125772818301584,0.5,23.5
7,,<music21.note.Rest eighth>,note,125772818302400,0.5,23.5
7,,<music21.note.Rest eighth>,note,125772816470944,0.5,23.5
7,,<music21.note.Note B->,note,125772816471472,0.5,23.5
8,,<music21.note.Note C>,note,125772818302592,0.5,24.0
8,,<music21.note.Note A>,note,125772816471712,0.5,24.0
8,,<music21.note.Note D>,note,125772818302784,0.25,24.5
8,,<music21.note.Note B->,note,125772816471904,0.25,24.5
8,,<music21.note.Note E>,note,125772818302976,0.25,24.75
8,,<music21.note.Note C>,note,125772816472096,0.25,24.75
8,,<music21.note.Note F>,note,125772818303168,0.25,25.0
8,,<music21.note.Note D>,note,125772818304176,0.25,25.0
8,,<music21.note.Note G>,note,125772818303360,0.25,25.25
8,,<music21.note.Note E>,note,125772818304368,0.25,25.25
8,,<music21.note.Note A>,note,125772818303552,0.5,25.5
8,,<music21.note.Note F>,note,125772818304560,0.5,25.5
8,,<music21.note.Note G>,note,125772818303744,0.5,26.0
8,,<music21.note.Note E>,note,125772818304752,0.5,26.0
8,,<music21.note.Note F>,note,125772818303936,0.5,26.5
8,,<music21.note.Note D>,note,125772818304944,0.5,26.5
9,,<music21.note.Note E>,note,125772818305232,0.25,27.0
9,,<music21.note.Note C>,note,125772851508384,0.25,27.0
9,,<music21.note.Rest dotted-half>,note,125772816472336,3.0,27.0
9,,<music21.note.Note F>,note,125772818305424,0.25,27.25
9,,<music21.note.Note D>,note,125772851508192,0.25,27.25
9,,<music21.note.Note G>,note,125772818305616,0.25,27.5
9,,<music21.note.Note E>,note,125772851508000,0.25,27.5
9,,<music21.note.Note A>,note,125772818305808,0.25,27.75
9,,<music21.note.Note F>,note,125772851507808,0.25,27.75
9,,<music21.note.Note B->,note,125772818306000,0.25,28.0
9,,<music21.note.Note G>,note,125772851507616,0.25,28.0
9,,<music21.note.Note C>,note,125772818306192,0.25,28.25
9,,<music21.note.Note A>,note,125772851507424,0.25,28.25
9,,<music21.note.Note D>,note,125772820971936,0.5,28.5
9,,<music21.note.Note B->,note,125772851507232,0.5,28.5
9,,<music21.note.Note C>,note,125772819405696,0.5,29.0
9,,<music21.note.Note A>,note,125772851507040,0.5,29.0
9,,<music21.note.Note B->,note,125772822479504,0.5,29.5
9,,<music21.note.Note G>,note,125772851506848,0.5,29.5
10,,<music21.note.Note A>,note,125772851506512,0.5,30.0
10,,<music21.note.Note F>,note,125772851504880,0.5,30.0
10,,<music21.note.Rest dotted-half>,note,125772816472576,3.0,30.0
10,,<music21.note.Note B->,note,125772851506320,0.25,30.5
10,,<music21.note.Note G>,note,125772851504640,0.25,30.5
10,,<music21.note.Note C>,note,125772851506128,0.25,30.75
10,,<music21.note.Note A>,note,125772840109984,0.25,30.75
10,,<music21.note.Note D>,note,125772851505936,0.25,31.0
10,,<music21.note.Note B->,note,125772840114784,0.25,31.0
10,,<music21.note.Note E>,note,125772851505744,0.25,31.25
10,,<music21.note.Note C>,note,125772840114496,0.25,31.25
10,,<music21.note.Note F>,note,125772851505552,0.5,31.5
10,,<music21.note.Note D>,note,125772840114256,0.5,31.5
10,,<music21.note.Note E>,note,125772851505360,0.5,32.0
10,,<music21.note.Note C>,note,125772818306384,0.5,32.0
10,,<music21.note.Note D>,note,125772851505168,0.5,32.5
10,,<music21.note.Note B->,note,125772818306576,0.5,32.5
11,,<music21.note.Note C>,note,125772818306864,0.25,33.0
11,,<music21.note.Note A>,note,125772818308832,0.25,33.0
11,,<music21.note.Rest dotted-half>,note,125772816472720,3.0,33.0
11,,<music21.note.Note D>,note,125772818307056,0.25,33.25
11,,<music21.note.Note B->,note,125772818309024,0.25,33.25
11,,<music21.note.Note E>,note,125772818307248,0.25,33.5
11,,<music21.note.Note C>,note,125772818309216,0.25,33.5
11,,<music21.note.Note F>,note,125772818307440,0.25,33.75
11,,<music21.note.Note D>,note,125772818309408,0.25,33.75
11,,<music21.note.Note G>,note,125772818307632,0.25,34.0
11,,<music21.note.Note E>,note,125772818309600,0.25,34.0
11,,<music21.note.Note A>,note,125772818307824,0.125,34.25
11,,<music21.note.Note F>,note,125772818309792,0.125,34.25
11,,<music21.note.Note B->,note,125772818308016,0.125,34.375
11,,<music21.note.Note G>,note,125772818309984,0.125,34.375
11,,<music21.note.Note C>,note,125772818308208,0.5,34.5
11,,<music21.note.Note A>,note,125772818310176,0.5,34.5
11,,<music21.note.Note B->,note,125772818308400,0.5,35.0
11,,<music21.note.Note G>,note,125772818310368,0.5,35.0
11,,<music21.note.Note A>,note,125772818308592,0.5,35.5
11,,<music21.note.Note F>,note,125772818310560,0.5,35.5
12,,<music21.note.Note G>,note,125772818310848,1.5,36.0
12,,<music21.note.Note C>,note,125772818311856,1.5,36.0
12,,<music21.note.Rest quarter>,note,125772818312048,1.0,36.0
12,,<music21.note.Rest dotted-quarter>,note,125772818312576,1.5,36.0
