measure_start,measure_end,object,value,id,quarterlength,offset
0,,<music21.note.Note A>,note,131054972109936,0.5,0.0
0,,<music21.note.Rest dotted-half>,note,131054968180032,3.0,0.0
0,,<music21.dynamics.Dynamic p>,p,131054972109648,,
0,,<music21.expressions.TextExpression 'Allegro'>,Allegro,131054970158928,0.0,0.0
0,,<music21.tempo.MetronomeMark Quarter=144 (playback only)>,None,131054970470864,0.0,0.0
0,,<music21.tempo.MetronomeMark Quarter=144 (playback only)>,None None,131054970470864,0.0,0.0
1,,<music21.note.Note D>,note,131054970472256,0.5,3.0
1,,<music21.chord.Chord D4 F4>,note,131054968558400,1.5,3.0
1,,<music21.note.Rest dotted-half>,note,131054968180176,3.0,3.0
1,,<music21.note.Note E>,note,131054968557536,0.5,3.5
1,,<music21.note.Note F>,note,131054968557728,0.5,4.0
1,,<music21.note.Note E>,note,131054968557920,0.5,4.5
1,,<music21.chord.Chord C#4 E4>,note,131054968558880,1.5,4.5
1,,<music21.note.Note A>,note,131054968558112,0.5,5.0
1,,<music21.note.Note A>,note,131054970472592,0.5,5.5
1,1,<music21.spanner.Slur <music21.note.Note D><music21.note.Note A>>,slur,131054970472160,2.5,0.0
2,,<music21.note.Note F>,note,131054968559408,1.5,6.0
2,,<music21.note.Note D>,note,131054970472976,0.5,6.0
2,,<music21.note.Rest dotted-half>,note,131054968180320,3.0,6.0
2,,<music21.note.Note F>,note,131054968560080,0.5,6.5
2,,<music21.note.Note A>,note,131054968560272,0.5,7.0
2,,<music21.note.Note E>,note,131054968559648,1.0,7.5
2,,<music21.note.Note C>,note,131054968560464,0.5,7.5
2,,<music21.note.Note F>,note,131054968560656,0.5,8.0
2,,<music21.note.Note A>,note,131054968559840,0.5,8.5
2,,<music21.note.Note A>,note,131054970473168,0.5,8.5
2,2,<music21.spanner.Slur <music21.note.Note D><music21.note.Note A>>,slur,131054970472880,2.5,0.0
3,,<music21.note.Note G>,note,131054970473456,0.5,9.0
3,,<music21.note.Note D>,note,131054968562528,1.5,9.0
3,,<music21.note.Note B->,note,131054968180464,1.5,9.0
3,,<music21.note.Note B->,note,131054968560944,0.25,9.5
3,,<music21.note.Note A>,note,131054968561136,0.25,9.75
3,,<music21.note.Note G>,note,131054968561328,0.25,10.0
3,,<music21.note.Note F>,note,131054968561520,0.25,10.25
