measure_start,measure_end,object,value,id,quarterlength,offset
0,,<music21.note.Note B>,note,131054977575840,0.5,0.0
0,,<music21.note.Rest eighth>,note,131054973957808,0.5,0.0
0,,<music21.dynamics.Dynamic p>,p,131054977575504,,
0,,<music21.expressions.TextExpression 'Allegro'>,Allegro,131054977574160,0.0,0.0
0,,<music21.tempo.MetronomeMark Quarter=144 (playback only)>,None,131054977574736,0.0,0.0
0,,<music21.tempo.MetronomeMark andantino Dotted Quarter=80>,andantino,131054977574880,0.0,0.0
0,,<music21.tempo.MetronomeMark Quarter=144 (playback only)>,None None,131054977574736,0.0,0.0
0,,<music21.tempo.MetronomeMark andantino Dotted Quarter=80>,andantino 80,131054977574880,0.0,0.0
1,,<music21.note.Note E>,note,131054977576512,0.5,0.5
1,,<music21.chord.Chord E4 G4 B4>,note,131054977577280,1.5,0.5
1,,<music21.note.Note F#>,note,131054976118576,0.5,1.0
1,,<music21.note.Note G>,note,131054976118768,0.5,1.5
1,,<music21.note.Note F#>,note,131054976118960,0.5,2.0
1,,<music21.chord.Chord D#4 F#4 B4>,note,131054977577952,1.5,2.0
1,,<music21.note.Note B>,note,131054976119152,0.5,2.5
1,,<music21.note.Note B>,note,131054977576848,0.5,3.0
1,1,<music21.spanner.Slur <music21.note.Note E><music21.note.Note B>>,slur,131054996352480,2.5,0.0
1,1,<music21.spanner.Slur <music21.chord.Chord E4 G4 B4><music21.chord.Chord D#4 F#4 B4>>,slur,131054977577136,1.5,0.0
2,,<music21.note.Note G>,note,131054976119488,1.5,3.5
2,,<music21.note.Note E>,note,131054977579344,0.5,3.5
2,,<music21.note.Note G>,note,131054973958048,0.5,4.0
2,,<music21.note.Note B>,note,131054973958240,0.5,4.5
2,,<music21.note.Note F#>,note,131054977578864,1.0,5.0
2,,<music21.note.Note D>,note,131054973958432,0.5,5.0
2,,<music21.note.Rest 16th>,note,131054994240480,0.25,5.25
2,,<music21.note.Rest 16th>,note,131054973958624,0.25,5.25
2,,<music21.note.Note G>,note,131054973958720,0.5,5.5
2,,<music21.note.Note B>,note,131054977579056,0.5,6.0
2,,<music21.note.Note B>,note,131054977579536,0.5,6.0
2,2,<music21.spanner.Slur <music21.note.Note F#><music21.note.Note B>>,slur,131054977578768,1.0,0.0
2,2,<music21.spanner.Slur <music21.note.Note E><music21.note.Note B>>,slur,131054977579248,2.5,0.0
3,,<music21.note.Note A>,note,131054976120016,0.5,6.5
3,,<music21.chord.Chord C4 E4 A4>,note,131054977580880,1.5,6.5
3,,<music21.note.Note C>,note,131054977579824,0.25,7.0
3,,<music21.note.Note B>,note,131054976120256,0.25,7.25
3,,<music21.note.Note A>,note,131054976120448,0.25,7.5
3,,<music21.note.Note G>,note,131054976120640,0.25,7.75
3,,<music21.note.Note F#>,note,131054977580016,0.5,8.0
3,,<music21.chord.Chord A3 E4 F#4 C5>,note,131054977761792,0.5,8.0
3,,<music21.note.Rest 16th>,note,131054976121264,0.25,8.25
3,,<music21.note.Rest 16th>,note,131054973958960,0.25,8.25
3,,<music21.note.Note A>,note,131054977580400,0.25,8.5
3,,<music21.note.Rest eighth>,note,131054973959056,0.5,8.5
3,,<music21.note.Note G>,note,131054976120832,0.25,8.75
3,,<music21.note.Note F#>,note,131054976121024,0.25,9.0
3,,<music21.note.Rest eighth>,note,131054973959152,0.5,9.0
3,,<music21.note.Note E>,note,131054977580592,0.25,9.25
3,3,<music21.spanner.Slur <music21.note.Note C><music21.note.Note F#>>,slur,131054977579728,1.0,0.0
3,3,<music21.spanner.Slur <music21.note.Note A><music21.note.Note E>>,slur,131054977580304,0.75,0.0
3,3,<music21.spanner.Slur <music21.chord.Chord C4 E4 A4><music21.chord.Chord A3 E4 F#4 C5>>,slur,131054977580784,1.5,0.0
4,,<music21.note.Note E>,note,131054977762800,1.0,9.5
4,,<music21.note.Note B>,note,131054977764288,0.5,9.5
4,,<music21.note.Note F#>,note,131054973959584,0.5,10.0
4,,<music21.note.Note D#>,note,131054977762992,0.5,10.5
4,,<music21.note.Note B>,note,131054977764480,0.5,10.5
4,,<music21.note.Rest 16th>,note,131054976121456,0.25,10.75
4,,<music21.note.Rest 16th>,note,131054973959440,0.25,10.75
4,,<music21.note.Note D#>,note,131054977763952,1.0,11.0
4,,<music21.note.Note B>,note,131054977764768,0.25,11.0
4,,<music21.note.Note A>,note,131054973959776,0.25,11.25
4,,<music21.note.Note G>,note,131054973959968,0.25,11.5
4,,<music21.note.Note F#>,note,131054973960160,0.25,11.75
4,,<music21.note.Note B>,note,131054977763616,0.5,12.0
4,,<music21.chord.Chord E4 G4>,note,131054977764960,0.5,12.0
4,4,<music21.spanner.Slur <music21.note.Note E><music21.note.Note B>>,slur,131054977763520,2.5,0.0
4,4,<music21.spanner.Slur <music21.note.Note B><music21.note.Note B>>,slur,131054977764192,1.0,0.0
4,4,<music21.spanner.Slur <music21.note.Note B><music21.chord.Chord E4 G4>>,slur,131054977764672,1.0,0.0
4,4,<music21.dynamics.Crescendo <music21.note.Note E><music21.note.Note D#>>,diminuendo,131054977762656,,
4,4,<music21.dynamics.Diminuendo <music21.note.Note D#><music21.note.Note B>>,diminuendo,131054977763808,,
5,,<music21.note.Note D>,note,131054977765536,0.5,12.5
5,,<music21.note.Note B>,note,131054977766064,0.5,12.5
5,,<music21.note.Note C>,note,131054976121792,0.5,13.0
5,,<music21.note.Note A>,note,131054974255376,0.5,13.0
5,,<music21.note.Note A>,note,131054976121984,0.5,13.5
5,,<music21.note.Note D#>,note,131054974255568,0.5,13.5
5,,<music21.note.Rest 16th>,note,131054976122800,0.25,13.75
5,,<music21.note.Rest 16th>,note,131054974255760,0.25,13.75
5,,<music21.note.Note C>,note,131054976122176,0.5,14.0
5,,<music21.note.Note A>,note,131054974255856,0.5,14.0
5,,<music21.note.Note B>,note,131054976122368,0.5,14.5
5,,<music21.note.Note G>,note,131054974256048,0.5,14.5
5,,<music21.note.Note G>,note,131054976122560,0.5,15.0
5,,<music21.note.Note E>,note,131054974256240,0.5,15.0
5,7,<music21.spanner.Slur <music21.note.Note D><music21.note.Note C>>,slur,131054977765440,8.5,0.0
5,7,<music21.spanner.Slur <music21.note.Note B><music21.note.Note A>>,slur,131054977765968,8.5,0.0
5,,<music21.dynamics.Dynamic p>,p,131054976335952,,
5,,<music21.expressions.TextExpression 'tranquillo'>,tranquillo,131054976121600,0.0,12.5
6,,<music21.note.Note B>,note,131054976336192,0.5,15.5
6,,<music21.note.Note G>,note,131054974256480,0.5,15.5
6,,<music21.note.Note A>,note,131054976336384,0.5,16.0
6,,<music21.note.Note F#>,note,131054974256672,0.5,16.0
