measure_start,measure_end,object,value,id,quarterlength,offset
0,,<music21.note.Note A>,note,131054987205456,0.5,0.0
0,,<music21.note.Rest dotted-half>,note,131054983592656,3.0,0.0
0,,<music21.expressions.TextExpression 'Allegro'>,Allegro,131054987204544,0.0,0.0
0,,<music21.tempo.MetronomeMark Quarter=144 (playback only)>,None,131054987205120,0.0,0.0
0,,<music21.tempo.MetronomeMark Quarter=144 (playback only)>,None None,131054987205120,0.0,0.0
1,,<music21.note.Note D>,note,131054987212992,0.5,3.0
1,,<music21.chord.Chord D4 F4>,note,131054987214240,1.5,3.0
1,,<music21.note.Rest dotted-half>,note,131054983592800,3.0,3.0
1,,<music21.note.Note E>,note,131054987213184,0.5,3.5
1,,<music21.note.Note F>,note,131054987213376,0.5,4.0
1,,<music21.note.Note E>,note,131054987213568,0.5,4.5
1,,<music21.chord.Chord C#4 E4>,note,131054987214720,1.5,4.5
1,,<music21.note.Note A>,note,131054987213760,0.5,5.0
1,,<music21.note.Note A>,note,131054987213952,0.5,5.5
2,,<music21.note.Note F>,note,131054985429504,1.5,6.0
2,,<music21.note.Note D>,note,131054985430176,0.5,6.0
2,,<music21.note.Rest dotted-half>,note,131054983592944,3.0,6.0
2,,<music21.note.Note F>,note,131054985430368,0.5,6.5
2,,<music21.note.Note A>,note,131054985430560,0.5,7.0
2,,<music21.note.Note E>,note,131054985429744,1.0,7.5
2,,<music21.note.Note C>,note,131054985430752,0.5,7.5
2,,<music21.note.Note F>,note,131054985430944,0.5,8.0
2,,<music21.note.Note A>,note,131054985429936,0.5,8.5
2,,<music21.note.Note A>,note,131054985431136,0.5,8.5
3,,<music21.note.Note G>,note,131054985431424,0.5,9.0
3,,<music21.note.Note D>,note,131054985433392,1.5,9.0
3,,<music21.note.Note B->,note,131054983593088,1.5,9.0
3,,<music21.note.Note B->,note,131054985431616,0.25,9.5
3,,<music21.note.Note A>,note,131054985431808,0.25,9.75
3,,<music21.note.Note G>,note,131054985432000,0.25,10.0
3,,<music21.note.Note F>,note,131054985432192,0.25,10.25
3,,<music21.note.Note E>,note,131054985432384,0.5,10.5
3,,<music21.chord.Chord D4 E4>,note,131054985433584,1.5,10.5
3,,<music21.note.Note G>,note,131054983593280,1.5,10.5
3,,<music21.note.Note G>,note,131054985432576,0.25,11.0
3,,<music21.note.Note F>,note,131054985432768,0.25,11.25
3,,<music21.note.Note E>,note,131054985432960,0.25,11.5
3,,<music21.note.Note D>,note,131054985433152,0.25,11.75
4,,<music21.note.Note D>,note,131054985434112,1.0,12.0
4,,<music21.note.Note A>,note,131054983593520,0.5,12.0
4,,<music21.note.Note C#>,note,131054983593712,0.5,12.5
4,,<music21.note.Note C#>,note,131054985434304,0.5,13.0
4,,<music21.note.Note E>,note,131054985435120,0.5,13.0
4,,<music21.note.Note C#>,note,131054985434640,1.0,13.5
4,,<music21.note.Note A>,note,131054985435312,0.25,13.5
