measure_start,measure_end,object,value,id,quarterlength,offset
0,,<music21.note.Note A>,note,131233380952464,0.5,0.0
0,,<music21.note.Rest eighth>,note,131233380007856,0.5,0.0
0,,<music21.dynamics.Dynamic p>,p,131233380952128,,
0,,<music21.expressions.TextExpression 'Allegro'>,Allegro,131233380951264,0.0,0.0
1,,<music21.note.Note D>,note,131233380953136,0.5,0.5
1,,<music21.chord.Chord D4 F4>,note,131233378173104,1.5,0.5
1,,<music21.note.Note E>,note,131233379302048,0.5,1.0
1,,<music21.note.Note F>,note,131233379302240,0.5,1.5
1,,<music21.note.Note E>,note,131233379302432,0.5,2.0
1,,<music21.chord.Chord C#4 E4>,note,131233378173536,1.5,2.0
1,,<music21.note.Note A>,note,131233379302624,0.5,2.5
1,,<music21.note.Note A>,note,131233380953472,0.5,3.0
1,1,<music21.spanner.Slur <music21.note.Note D><music21.note.Note A>>,slur,131233394289616,2.5,0.0
2,,<music21.note.Note F>,note,131233380953856,1.5,3.5
2,,<music21.note.Note D>,note,131233380954480,0.5,3.5
2,,<music21.note.Note F>,note,131233378174016,0.5,4.0
2,,<music21.note.Note A>,note,131233378174208,0.5,4.5
2,,<music21.note.Note F>,note,131233380954192,1.0,5.0
2,,<music21.note.Note C>,note,131233378174400,0.5,5.0
2,,<music21.note.Note F>,note,131233378174592,0.5,5.5
2,,<music21.note.Note A>,note,131233379302864,0.5,6.0
2,,<music21.note.Note A>,note,131233378174784,0.5,6.0
2,2,<music21.spanner.Slur <music21.note.Note F><music21.note.Note F>>,slur,131233380953760,1.5,0.0
2,3,<music21.spanner.Slur <music21.note.Note D><music21.chord.Chord B-3 D4>>,slur,131233380954384,3.0,0.0
3,,<music21.note.Note G>,note,131233380955488,0.5,6.5
3,,<music21.chord.Chord B-3 D4>,note,131233380954720,1.5,6.5
3,,<music21.note.Note B->,note,131233379303152,0.25,7.0
3,,<music21.note.Note A>,note,131233379303344,0.25,7.25
3,,<music21.note.Note G>,note,131233379434672,0.25,7.5
3,,<music21.note.Note F>,note,131233379434864,0.25,7.75
3,,<music21.note.Note E>,note,131233379435056,0.5,8.0
3,,<music21.chord.Chord G3 D4 E4>,note,131233378175024,1.5,8.0
3,,<music21.note.Note G>,note,131233379435248,0.25,8.5
3,,<music21.note.Note F>,note,131233379435440,0.25,8.75
3,,<music21.note.Note E>,note,131233379435632,0.25,9.0
3,,<music21.note.Note D>,note,131233380955680,0.25,9.25
3,3,<music21.spanner.Slur <music21.note.Note G><music21.note.Note D>>,slur,131233380955392,2.75,0.0
4,,<music21.note.Note D>,note,131233380955968,1.0,9.5
4,,<music21.note.Note A>,note,131233380956688,0.5,9.5
4,,<music21.note.Note C#>,note,131233378175696,0.5,10.0
4,,<music21.note.Note C#>,note,131233380956160,0.5,10.5
4,,<music21.note.Note E>,note,131233378175888,0.5,10.5
4,,<music21.note.Note C#>,note,131233379435872,1.0,11.0
4,,<music21.note.Note A>,note,131233378176080,0.25,11.0
4,,<music21.note.Note G>,note,131233378176272,0.25,11.25
4,,<music21.note.Note F>,note,131233378176464,0.25,11.5
4,,<music21.note.Note E>,note,131233378176656,0.25,11.75
4,,<music21.note.Note A>,note,131233379436112,0.5,12.0
4,,<music21.note.Note D>,note,131233380956880,0.5,12.0
4,4,<music21.spanner.Slur <music21.note.Note D><music21.note.Note C#>>,slur,131233380955872,1.0,0.0
4,4,<music21.spanner.Slur <music21.note.Note A><music21.note.Note D>>,slur,131233380956592,2.5,0.0
5,,<music21.note.Note C>,note,131233380957168,0.5,12.5
5,,<music21.note.Note G>,note,131233378176992,1.0,12.5
5,,<music21.note.Note B->,note,131233380957408,0.5,13.0
5,,<music21.note.Note G>,note,131233379436400,0.5,13.5
5,,<music21.note.Note G>,note,131233378177184,0.5,13.5
5,,<music21.note.Note B->,note,131233380957696,0.5,14.0
5,,<music21.note.Note F>,note,131233378177424,1.0,14.0
5,,<music21.note.Note A>,note,131233380957888,0.5,14.5
5,,<music21.note.Note F>,note,131233379436640,0.5,15.0
5,,<music21.note.Note F>,note,131233378177616,0.5,15.0
5,5,<music21.spanner.Slur <music21.note.Note C><music21.note.Note B->>,slur,131233380957072,0.5,0.0
5,5,<music21.spanner.Slur <music21.note.Note B-><music21.note.Note A>>,slur,131233380957600,0.5,0.0
6,,<music21.note.Note A>,note,131233380958176,0.5,15.5
6,,<music21.note.Note E>,note,131233378177904,1.0,15.5
6,,<music21.note.Note G>,note,131233379123424,0.5,16.0
