id,object,measure,type
czerny1,<music21.note.Note B->,1,GeneralNote
czerny2,<music21.articulations.Fingering 1>,1,Fingering
czerny3,<music21.chord.Chord E-4 G-4>,1,GeneralNote
czerny4,<music21.note.Rest dotted-whole>,1,GeneralNote
czerny5,<music21.note.Rest quarter>,1,GeneralNote
czerny6,<music21.chord.Chord E-4 G-4>,1,GeneralNote
czerny7,<music21.note.Rest eighth>,1,GeneralNote
czerny8,<music21.note.Note B->,1,GeneralNote
czerny9,<music21.articulations.Fingering 1>,1,Fingering
czerny10,<music21.note.Note E->,1,GeneralNote
czerny11,<music21.articulations.Fingering 2>,1,Fingering
czerny12,<music21.chord.Chord E-4 G-4>,1,GeneralNote
czerny13,<music21.note.Note G->,1,GeneralNote
czerny14,<music21.articulations.Fingering 4>,1,Fingering
czerny841,<music21.spanner.Slur <music21.note.Note B-><music21.note.Note G->>,1,Slur
czerny852,<music21.dynamics.Dynamic pp>,1,DynamicPoint
czerny887,<music21.expressions.TextExpression 'Lento mode...'>,1,TextExpression
czerny888,<music21.expressions.TextExpression 'dolce'>,1,TextExpression
czerny899,<music21.tempo.MetronomeMark Quarter=52.5 (playback only)>,1,TempoIndication
czerny900,<music21.tempo.MetronomeMark Quarter=100>,1,TempoIndication
czerny901,<music21.tempo.MetronomeMark Quarter=52.5 (playback only)>,1,MetronomeMark
czerny902,<music21.tempo.MetronomeMark Quarter=100>,1,MetronomeMark
czerny15,<music21.note.Note C->,2,GeneralNote
czerny16,<music21.chord.Chord E-4 A-4>,2,GeneralNote
czerny17,<music21.note.Rest dotted-whole>,2,GeneralNote
czerny18,<music21.note.Rest quarter>,2,GeneralNote
czerny19,<music21.chord.Chord E-4 A-4 C-5>,2,GeneralNote
czerny20,<music21.note.Rest eighth>,2,GeneralNote
czerny21,<music21.note.Note E->,2,GeneralNote
czerny22,<music21.articulations.Fingering 2>,2,Fingering
czerny23,<music21.note.Note A->,2,GeneralNote
czerny24,<music21.articulations.Fingering 4>,2,Fingering
czerny25,<music21.chord.Chord E-4 A-4 C-5>,2,GeneralNote
czerny26,<music21.note.Note C->,2,GeneralNote
czerny27,<music21.articulations.Fingering 5>,2,Fingering
czerny842,<music21.spanner.Slur <music21.note.Note E-><music21.note.Note C->>,2,Slur
czerny28,<music21.note.Note D>,3,GeneralNote
czerny29,<music21.articulations.Fingering 1>,3,Fingering
czerny30,<music21.chord.Chord E-4 F4 A-4>,3,GeneralNote
czerny31,<music21.note.Rest dotted-whole>,3,GeneralNote
czerny32,<music21.note.Rest quarter>,3,GeneralNote
czerny33,<music21.chord.Chord D4 F4 A-4>,3,GeneralNote
czerny34,<music21.note.Rest eighth>,3,GeneralNote
czerny35,<music21.note.Note F>,3,GeneralNote
czerny36,<music21.articulations.Fingering 5>,3,Fingering
czerny37,<music21.note.Note A->,3,GeneralNote
czerny38,<music21.articulations.Fingering 2>,3,Fingering
czerny39,<music21.chord.Chord D4 F4>,3,GeneralNote
czerny40,<music21.note.Note A->,3,GeneralNote
czerny41,<music21.note.Note G->,3,GeneralNote
czerny42,<music21.articulations.Fingering 1>,3,Fingering
czerny43,<music21.note.Note A->,3,GeneralNote
czerny44,<music21.articulations.Fingering 3>,3,Fingering
czerny45,<music21.note.Note B->,3,GeneralNote
