id,object,measure,type
sporck1,<music21.note.Rest dotted-whole>,1,GeneralNote
sporck2,<music21.note.Note B->,1,GeneralNote
sporck3,<music21.articulations.Fingering 1>,1,Fingering
sporck4,<music21.chord.Chord E-4 G-4>,1,GeneralNote
sporck5,<music21.note.Rest dotted-whole>,1,GeneralNote
sporck6,<music21.note.Rest quarter>,1,GeneralNote
sporck7,<music21.chord.Chord E-4 G-4>,1,GeneralNote
sporck8,<music21.note.Rest eighth>,1,GeneralNote
sporck9,<music21.note.Note B->,1,GeneralNote
sporck10,<music21.articulations.Fingering 1>,1,Fingering
sporck11,<music21.note.Note E->,1,GeneralNote
sporck12,<music21.articulations.Fingering 2>,1,Fingering
sporck13,<music21.chord.Chord E-4 G-4>,1,GeneralNote
sporck14,<music21.note.Note G->,1,GeneralNote
sporck15,<music21.articulations.Fingering 4>,1,Fingering
sporck1005,<music21.spanner.Slur <music21.note.Note B-><music21.note.Note G->>,1,Slur
sporck1045,<music21.dynamics.Dynamic p>,1,DynamicPoint
sporck1056,<music21.expressions.TextExpression 'Modérément...'>,1,TextExpression
sporck1057,<music21.expressions.TextExpression 'très soutenu'>,1,TextExpression
sporck1069,<music21.tempo.MetronomeMark Quarter=52.5 (playback only)>,1,TempoIndication
sporck1070,<music21.tempo.MetronomeMark andante Quarter=72>,1,TempoIndication
sporck1071,<music21.tempo.MetronomeMark Quarter=52.5 (playback only)>,1,MetronomeMark
sporck1072,<music21.tempo.MetronomeMark andante Quarter=72>,1,MetronomeMark
sporck16,<music21.note.Rest dotted-whole>,2,GeneralNote
sporck17,<music21.note.Note C->,2,GeneralNote
sporck18,<music21.articulations.Fingering 1>,2,Fingering
sporck19,<music21.chord.Chord E-4 A-4>,2,GeneralNote
sporck20,<music21.note.Rest dotted-whole>,2,GeneralNote
sporck21,<music21.note.Rest quarter>,2,GeneralNote
sporck22,<music21.chord.Chord E-4 A-4 C-5>,2,GeneralNote
sporck23,<music21.note.Rest eighth>,2,GeneralNote
sporck24,<music21.note.Note E->,2,GeneralNote
sporck25,<music21.articulations.Fingering 2>,2,Fingering
sporck26,<music21.note.Note A->,2,GeneralNote
sporck27,<music21.articulations.Fingering 4>,2,Fingering
sporck28,<music21.chord.Chord E-4 A-4 C-5>,2,GeneralNote
sporck29,<music21.note.Note C->,2,GeneralNote
sporck30,<music21.articulations.Fingering 5>,2,Fingering
sporck1006,<music21.spanner.Slur <music21.note.Note E-><music21.note.Note C->>,2,Slur
sporck31,<music21.note.Rest dotted-whole>,3,GeneralNote
sporck32,<music21.note.Note D>,3,GeneralNote
sporck33,<music21.articulations.Fingering 1>,3,Fingering
sporck34,<music21.chord.Chord E-4 F4 A-4>,3,GeneralNote
sporck35,<music21.note.Rest dotted-whole>,3,GeneralNote
sporck36,<music21.note.Rest quarter>,3,GeneralNote
sporck37,<music21.chord.Chord D4 F4 A-4>,3,GeneralNote
sporck38,<music21.note.Rest eighth>,3,GeneralNote
sporck39,<music21.note.Note F>,3,GeneralNote
sporck40,<music21.articulations.Fingering 5>,3,Fingering
sporck41,<music21.note.Note A->,3,GeneralNote
sporck42,<music21.articulations.Fingering 2>,3,Fingering
sporck43,<music21.chord.Chord D4 F4>,3,GeneralNote
sporck44,<music21.note.Note A->,3,GeneralNote
sporck45,<music21.note.Note G->,3,GeneralNote
sporck46,<music21.articulations.Fingering 1>,3,Fingering
sporck47,<music21.note.Note A->,3,GeneralNote
sporck48,<music21.articulations.Fingering 3>,3,Fingering
sporck49,<music21.note.Note B->,3,GeneralNote
sporck50,<music21.articulations.Fingering 5>,3,Fingering
sporck1007,<music21.spanner.Slur <music21.note.Note F><music21.note.Note E->>,3,Slur
sporck51,<music21.note.Note G->,4,GeneralNote
sporck52,<music21.note.Note G->,4,GeneralNote
sporck53,<music21.articulations.Fingering 3>,4,Fingering
sporck54,<music21.note.Note E->,4,GeneralNote
sporck55,<music21.note.Rest half>,4,GeneralNote
sporck56,<music21.note.Note A->,4,GeneralNote
sporck57,<music21.note.Note G->,4,GeneralNote
sporck58,<music21.note.Note A->,4,GeneralNote
sporck59,<music21.note.Note G->,4,GeneralNote
sporck60,<music21.note.Note F>,4,GeneralNote
sporck61,<music21.note.Note F>,4,GeneralNote
sporck62,<music21.articulations.Fingering 2>,4,Fingering
sporck63,<music21.note.Note E->,4,GeneralNote
sporck64,<music21.note.Note E->,4,GeneralNote
sporck65,<music21.articulations.Fingering 1>,4,Fingering
sporck66,<music21.note.Rest half>,4,GeneralNote
sporck67,<music21.note.Rest half>,4,GeneralNote
