id,object,measure,type
wouters1,<music21.note.Rest dotted-whole>,1,GeneralNote
wouters2,<music21.note.Note B->,1,GeneralNote
wouters3,<music21.articulations.Fingering 2>,1,Fingering
wouters4,<music21.chord.Chord E-4 G-4>,1,GeneralNote
wouters5,<music21.articulations.Fingering 4>,1,Fingering
wouters6,<music21.articulations.Fingering 2>,1,Fingering
wouters7,<music21.note.Rest dotted-whole>,1,GeneralNote
wouters8,<music21.note.Rest dotted-whole>,1,GeneralNote
wouters9,<music21.note.Rest quarter>,1,GeneralNote
wouters10,<music21.chord.Chord E-4 G-4>,1,GeneralNote
wouters11,<music21.note.Rest eighth>,1,GeneralNote
wouters12,<music21.note.Note B->,1,GeneralNote
wouters13,<music21.articulations.Fingering 1>,1,Fingering
wouters14,<music21.note.Note E->,1,GeneralNote
wouters15,<music21.articulations.Fingering 2>,1,Fingering
wouters16,<music21.chord.Chord E-4 G-4>,1,GeneralNote
wouters17,<music21.note.Note G->,1,GeneralNote
wouters18,<music21.articulations.Fingering 4>,1,Fingering
wouters1161,<music21.spanner.Slur <music21.note.Note B-><music21.note.Note C->>,1,Slur
wouters1202,<music21.dynamics.Dynamic p>,1,DynamicPoint
wouters1252,<music21.expressions.TextExpression 'Lento'>,1,TextExpression
wouters1253,<music21.expressions.TextExpression 'espressivo'>,1,TextExpression
wouters1259,<music21.tempo.MetronomeMark Quarter=52.5 (playback only)>,1,TempoIndication
wouters1260,<music21.tempo.MetronomeMark grave Half=40>,1,TempoIndication
wouters1261,<music21.tempo.MetronomeMark Quarter=52.5 (playback only)>,1,MetronomeMark
wouters1262,<music21.tempo.MetronomeMark grave Half=40>,1,MetronomeMark
wouters19,<music21.note.Rest dotted-whole>,2,GeneralNote
wouters20,<music21.note.Note C->,2,GeneralNote
wouters21,<music21.articulations.Fingering 1>,2,Fingering
wouters22,<music21.chord.Chord E-4 A-4>,2,GeneralNote
wouters23,<music21.note.Rest dotted-whole>,2,GeneralNote
wouters24,<music21.note.Rest dotted-whole>,2,GeneralNote
wouters25,<music21.note.Rest quarter>,2,GeneralNote
wouters26,<music21.chord.Chord E-4 A-4 C-5>,2,GeneralNote
wouters27,<music21.note.Rest eighth>,2,GeneralNote
wouters28,<music21.note.Note E->,2,GeneralNote
wouters29,<music21.note.Note A->,2,GeneralNote
wouters30,<music21.chord.Chord E-4 A-4 C-5>,2,GeneralNote
wouters31,<music21.note.Note C->,2,GeneralNote
wouters1162,<music21.spanner.Slur <music21.note.Note E-><music21.note.Note D>>,2,Slur
wouters32,<music21.note.Rest half>,3,GeneralNote
wouters33,<music21.note.Note D>,3,GeneralNote
wouters34,<music21.chord.Chord E-4 F4 A-4>,3,GeneralNote
wouters35,<music21.articulations.Fingering 3>,3,Fingering
wouters36,<music21.note.Rest dotted-whole>,3,GeneralNote
wouters37,<music21.note.Rest dotted-whole>,3,GeneralNote
wouters38,<music21.note.Rest quarter>,3,GeneralNote
wouters39,<music21.note.Rest quarter>,3,GeneralNote
wouters40,<music21.chord.Chord D4 F4 A-4>,3,GeneralNote
wouters41,<music21.articulations.Fingering 4>,3,Fingering
wouters42,<music21.note.Rest eighth>,3,GeneralNote
wouters43,<music21.note.Rest eighth>,3,GeneralNote
wouters44,<music21.note.Note F>,3,GeneralNote
wouters45,<music21.note.Note F>,3,GeneralNote
wouters46,<music21.note.Note A->,3,GeneralNote
wouters47,<music21.articulations.Fingering 1>,3,Fingering
wouters48,<music21.note.Note A->,3,GeneralNote
wouters49,<music21.chord.Chord D4 F4>,3,GeneralNote
wouters50,<music21.note.Note B->,3,GeneralNote
wouters51,<music21.articulations.Fingering 2>,3,Fingering
wouters52,<music21.note.Note A->,3,GeneralNote
wouters53,<music21.note.Note A->,3,GeneralNote
wouters54,<music21.note.Note A->,3,GeneralNote
wouters55,<music21.note.Note G->,3,GeneralNote
wouters56,<music21.articulations.Fingering 2>,3,Fingering
wouters57,<music21.note.Note G->,3,GeneralNote
wouters58,<music21.note.Note A->,3,GeneralNote
wouters59,<music21.articulations.Fingering 3>,3,Fingering
wouters60,<music21.note.Note A->,3,GeneralNote
wouters61,<music21.note.Note B->,3,GeneralNote
wouters62,<music21.articulations.Fingering 4>,3,Fingering
wouters63,<music21.note.Note B->,3,GeneralNote
wouters1149,<music21.spanner.Slur <music21.note.Note F><music21.note.Note G->>,3,Slur
wouters1163,<music21.spanner.Slur <music21.note.Note F><music21.note.Note G->>,3,Slur
wouters64,<music21.note.Note A->,4,GeneralNote
wouters65,<music21.articulations.Fingering 3>,4,Fingering
wouters66,<music21.note.Rest half>,4,GeneralNote
wouters67,<music21.note.Rest half>,4,GeneralNote
wouters68,<music21.note.Note G->,4,GeneralNote
wouters69,<music21.note.Note E->,4,GeneralNote
wouters70,<music21.note.Rest half>,4,GeneralNote
wouters71,<music21.note.Rest dotted-whole>,4,GeneralNote
wouters72,<music21.note.Note G->,4,GeneralNote
wouters73,<music21.articulations.Fingering 2>,4,Fingering
wouters74,<music21.note.Note A->,4,GeneralNote
wouters75,<music21.articulations.Fingering 4>,4,Fingering
wouters76,<music21.note.Note G->,4,GeneralNote
wouters77,<music21.articulations.Fingering 3>,4,Fingering
wouters78,<music21.note.Note A->,4,GeneralNote
wouters79,<music21.note.Note G->,4,GeneralNote
wouters80,<music21.note.Note A->,4,GeneralNote
wouters81,<music21.note.Note G->,4,GeneralNote
wouters82,<music21.note.Note F>,4,GeneralNote
wouters83,<music21.note.Note F>,4,GeneralNote
wouters84,<music21.note.Note E->,4,GeneralNote
wouters85,<music21.note.Note E->,4,GeneralNote
wouters86,<music21.note.Rest half>,4,GeneralNote
wouters87,<music21.note.Note G->,4,GeneralNote
wouters88,<music21.note.Note G->,4,GeneralNote
wouters89,<music21.note.Rest whole>,4,GeneralNote
wouters90,<music21.note.Rest whole>,4,GeneralNote
wouters91,<music21.note.Rest quarter>,4,GeneralNote
wouters92,<music21.note.Rest eighth>,4,GeneralNote
wouters93,<music21.note.Note B->,4,GeneralNote
wouters94,<music21.note.Note G->,4,GeneralNote
wouters95,<music21.chord.Chord G-4 B-4 E-5>,4,GeneralNote
wouters96,<music21.chord.Chord G-4 B-4 E-5 G-5>,4,GeneralNote
wouters97,<music21.note.Note G->,4,GeneralNote
wouters98,<music21.note.Note E->,4,GeneralNote
wouters1164,<music21.spanner.Slur <music21.note.Note B-><music21.note.Note B->>,4,Slur
wouters1217,<music21.dynamics.Crescendo <music21.chord.Chord G-4 B-4 E-5 G-5>>,4,DynamicRegion
wouters99,<music21.note.Rest dotted-whole>,5,GeneralNote
wouters100,<music21.chord.Chord G-4 B-4 D-5 G-5>,5,GeneralNote
wouters101,<music21.note.Note B->,5,GeneralNote
wouters102,<music21.note.Rest dotted-whole>,5,GeneralNote
wouters103,<music21.note.Rest quarter>,5,GeneralNote
wouters104,<music21.chord.Chord B-2 D-3 G-3 B-3>,5,GeneralNote
wouters105,<music21.note.Rest 16th>,5,GeneralNote
wouters106,<music21.note.Note G->,5,GeneralNote
wouters107,<music21.articulations.Fingering 4>,5,Fingering
wouters108,<music21.note.Note F->,5,GeneralNote
wouters109,<music21.note.Note E->,5,GeneralNote
wouters110,<music21.note.Note F->,5,GeneralNote
wouters111,<music21.articulations.Fingering 35>,5,Fingering
wouters112,<music21.chord.Chord B-2 D-3 G-3 B-3>,5,GeneralNote
wouters113,<music21.note.Note D->,5,GeneralNote
wouters1165,<music21.spanner.Slur <music21.note.Note G-><music21.chord.Chord E-4 G-4 C-5 E-5>>,5,Slur
wouters1219,<music21.dynamics.Diminuendo <music21.note.Note E-><music21.note.Note D->>,5,DynamicRegion
wouters114,<music21.note.Rest dotted-whole>,6,GeneralNote
wouters115,<music21.chord.Chord E-4 G-4 C-5 E-5>,6,GeneralNote
wouters116,<music21.chord.Chord C-3 E-3 G-3 C-4>,6,GeneralNote
wouters117,<music21.note.Rest dotted-whole>,6,GeneralNote
wouters118,<music21.chord.Chord G-4 C-5 E-5>,6,GeneralNote
wouters119,<music21.note.Rest quarter>,6,GeneralNote
wouters120,<music21.note.Rest eighth>,6,GeneralNote
wouters121,<music21.note.Note G->,6,GeneralNote
wouters122,<music21.chord.Chord G-4 C-5 E-5>,6,GeneralNote
wouters123,<music21.note.Note E->,6,GeneralNote
wouters124,<music21.note.Note C->,6,GeneralNote
wouters1166,<music21.spanner.Slur <music21.note.Note G-><music21.note.Note G>>,6,Slur
wouters1203,<music21.dynamics.Dynamic p>,6,DynamicPoint
wouters125,<music21.note.Rest dotted-whole>,7,GeneralNote
wouters126,<music21.chord.Chord B-4 E-5 B-5>,7,GeneralNote
wouters127,<music21.note.Note G>,7,GeneralNote
wouters128,<music21.note.Rest dotted-whole>,7,GeneralNote
wouters129,<music21.note.Rest quarter>,7,GeneralNote
wouters130,<music21.chord.Chord G2 B-2 E-3 G3>,7,GeneralNote
wouters131,<music21.note.Rest 16th>,7,GeneralNote
wouters132,<music21.note.Note E->,7,GeneralNote
wouters133,<music21.articulations.Fingering 4>,7,Fingering
wouters134,<music21.note.Note D->,7,GeneralNote
wouters135,<music21.note.Note C->,7,GeneralNote
wouters136,<music21.note.Note D->,7,GeneralNote
wouters137,<music21.chord.Chord G2 B-2 E-3 G3>,7,GeneralNote
wouters138,<music21.note.Note B->,7,GeneralNote
wouters1167,<music21.spanner.Slur <music21.note.Note E-><music21.chord.Chord E-5 A-5 C-6>>,7,Slur
wouters139,<music21.note.Note C->,8,GeneralNote
wouters140,<music21.articulations.Fingering 1>,8,Fingering
wouters141,<music21.note.Rest half>,8,GeneralNote
wouters142,<music21.note.Note C->,8,GeneralNote
wouters143,<music21.chord.Chord A-2 C-3 E-3 A-3>,8,GeneralNote
wouters144,<music21.note.Rest dotted-whole>,8,GeneralNote
wouters145,<music21.note.Note D->,8,GeneralNote
wouters146,<music21.articulations.Fingering 3>,8,Fingering
wouters147,<music21.note.Note C->,8,GeneralNote
wouters148,<music21.note.Note D->,8,GeneralNote
wouters149,<music21.note.Note C->,8,GeneralNote
wouters150,<music21.note.Note D->,8,GeneralNote
wouters151,<music21.note.Note C->,8,GeneralNote
wouters152,<music21.note.Note D->,8,GeneralNote
wouters153,<music21.note.Note C->,8,GeneralNote
wouters154,<music21.articulations.Fingering 1>,8,Fingering
wouters155,<music21.note.Note B->,8,GeneralNote
wouters156,<music21.articulations.Fingering 2>,8,Fingering
wouters157,<music21.note.Note B->,8,GeneralNote
wouters158,<music21.note.Note A->,8,GeneralNote
wouters159,<music21.articulations.Fingering 1>,8,Fingering
wouters160,<music21.note.Note A->,8,GeneralNote
wouters161,<music21.chord.Chord E-5 A-5 C-6>,8,GeneralNote
wouters162,<music21.chord.Chord E-5 A-5 C-6>,8,GeneralNote
wouters163,<music21.note.Rest quarter>,8,GeneralNote
wouters164,<music21.note.Rest whole>,8,GeneralNote
wouters165,<music21.note.Rest eighth>,8,GeneralNote
wouters166,<music21.note.Note C->,8,GeneralNote
wouters167,<music21.chord.Chord E-5 A-5 C-6>,8,GeneralNote
wouters168,<music21.chord.Chord E-5 A-5 C-6>,8,GeneralNote
wouters169,<music21.note.Note A->,8,GeneralNote
wouters170,<music21.note.Note F>,8,GeneralNote
wouters1150,<music21.spanner.Slur <music21.note.Note C-><music21.chord.Chord E-5 A-5 C-6>>,8,Slur
wouters1168,<music21.spanner.Slur <music21.note.Note C-><music21.note.Note D>>,8,Slur
wouters1221,<music21.dynamics.Crescendo <music21.note.Note C-><music21.note.Note A->>,8,DynamicRegion
wouters171,<music21.note.Rest dotted-whole>,9,GeneralNote
wouters172,<music21.chord.Chord F5 A-5 C-6>,9,GeneralNote
wouters173,<music21.note.Note D>,9,GeneralNote
wouters174,<music21.note.Rest dotted-whole>,9,GeneralNote
wouters175,<music21.note.Rest dotted-whole>,9,GeneralNote
wouters176,<music21.note.Rest quarter>,9,GeneralNote
wouters177,<music21.chord.Chord D4 F4 B-4>,9,GeneralNote
wouters178,<music21.note.Rest 16th>,9,GeneralNote
wouters179,<music21.note.Note B->,9,GeneralNote
wouters180,<music21.note.Note A->,9,GeneralNote
wouters181,<music21.note.Note G->,9,GeneralNote
wouters182,<music21.note.Note F>,9,GeneralNote
wouters183,<music21.chord.Chord D4 F4 B-4>,9,GeneralNote
wouters184,<music21.note.Note G->,9,GeneralNote
wouters185,<music21.note.Note F>,9,GeneralNote
wouters186,<music21.note.Note G->,9,GeneralNote
wouters187,<music21.note.Note A->,9,GeneralNote
wouters188,<music21.note.Note G->,9,GeneralNote
wouters189,<music21.note.Note A->,9,GeneralNote
wouters190,<music21.note.Note F>,9,GeneralNote
wouters1169,<music21.spanner.Slur <music21.note.Note B-><music21.chord.Chord B-4 E-5 G-5 B-5>>,9,Slur
wouters1223,<music21.dynamics.Diminuendo <music21.note.Note F><music21.chord.Chord D-5 E-5 G-5 B-5>>,9,DynamicRegion
wouters191,<music21.note.Note G->,10,GeneralNote
wouters192,<music21.articulations.Fingering 2>,10,Fingering
wouters193,<music21.note.Note G->,10,GeneralNote
wouters194,<music21.chord.Chord E-4 G-4 B-4>,10,GeneralNote
wouters195,<music21.note.Rest dotted-whole>,10,GeneralNote
wouters196,<music21.note.Rest dotted-whole>,10,GeneralNote
wouters197,<music21.note.Note A->,10,GeneralNote
wouters198,<music21.note.Note G->,10,GeneralNote
wouters199,<music21.note.Note A->,10,GeneralNote
wouters200,<music21.note.Note G->,10,GeneralNote
wouters201,<music21.note.Note A->,10,GeneralNote
wouters202,<music21.note.Note G->,10,GeneralNote
wouters203,<music21.note.Note A->,10,GeneralNote
wouters204,<music21.note.Note G->,10,GeneralNote
wouters205,<music21.note.Note F>,10,GeneralNote
wouters206,<music21.articulations.Fingering 1>,10,Fingering
wouters207,<music21.note.Note F>,10,GeneralNote
wouters208,<music21.note.Note E->,10,GeneralNote
wouters209,<music21.articulations.Fingering 2>,10,Fingering
wouters210,<music21.note.Note E->,10,GeneralNote
wouters211,<music21.chord.Chord B-4 E-5 G-5 B-5>,10,GeneralNote
wouters212,<music21.chord.Chord B-4 E-5 G-5 B-5>,10,GeneralNote
wouters213,<music21.note.Rest quarter>,10,GeneralNote
wouters214,<music21.note.Rest eighth>,10,GeneralNote
wouters215,<music21.note.Note G->,10,GeneralNote
wouters216,<music21.chord.Chord D-5 E-5 G-5 B-5>,10,GeneralNote
wouters217,<music21.chord.Chord D-5 E-5 G-5 B-5>,10,GeneralNote
wouters218,<music21.note.Note E->,10,GeneralNote
wouters219,<music21.note.Note C>,10,GeneralNote
wouters1151,<music21.spanner.Slur <music21.note.Note G-><music21.chord.Chord B-4 E-5 G-5 B-5>>,10,Slur
wouters1170,<music21.spanner.Slur <music21.note.Note G-><music21.note.Note A>>,10,Slur
wouters1225,<music21.dynamics.Crescendo <music21.note.Note G-><music21.note.Note E->>,10,DynamicRegion
wouters220,<music21.note.Rest dotted-whole>,11,GeneralNote
wouters221,<music21.chord.Chord C5 E-5 G-5 C6>,11,GeneralNote
wouters222,<music21.note.Rest half>,11,GeneralNote
wouters223,<music21.note.Rest half>,11,GeneralNote
wouters224,<music21.note.Rest half>,11,GeneralNote
wouters225,<music21.note.Rest half>,11,GeneralNote
wouters226,<music21.note.Note A>,11,GeneralNote
wouters227,<music21.note.Rest dotted-whole>,11,GeneralNote
wouters228,<music21.note.Rest whole>,11,GeneralNote
wouters229,<music21.note.Rest quarter>,11,GeneralNote
wouters230,<music21.chord.Chord A3 C4 F4>,11,GeneralNote
wouters231,<music21.note.Rest 16th>,11,GeneralNote
wouters232,<music21.note.Note F>,11,GeneralNote
wouters233,<music21.note.Note E->,11,GeneralNote
wouters234,<music21.note.Note D->,11,GeneralNote
wouters235,<music21.note.Note C>,11,GeneralNote
wouters236,<music21.chord.Chord A3 C4 F4>,11,GeneralNote
wouters237,<music21.note.Note D->,11,GeneralNote
wouters238,<music21.note.Note C>,11,GeneralNote
wouters239,<music21.note.Note D->,11,GeneralNote
wouters240,<music21.note.Note E->,11,GeneralNote
wouters241,<music21.note.Note D->,11,GeneralNote
wouters242,<music21.note.Note E->,11,GeneralNote
wouters243,<music21.note.Note C>,11,GeneralNote
wouters1171,<music21.spanner.Slur <music21.note.Note F><music21.chord.Chord B-4 D-5 F5>>,11,Slur
wouters1204,<music21.dynamics.Dynamic mf>,11,DynamicPoint
wouters1227,<music21.dynamics.Diminuendo <music21.note.Note C><music21.note.Note F>>,11,DynamicRegion
wouters244,<music21.note.Note D->,12,GeneralNote
wouters245,<music21.note.Note D->,12,GeneralNote
wouters246,<music21.chord.Chord B-3 D-4 F4>,12,GeneralNote
