id,object,measure,type
dejong2,<music21.chord.Chord E-4 G-4>,1,GeneralNote
dejong3,<music21.articulations.Tenuto>,1,Articulation
dejong4,<music21.note.Rest dotted-whole>,1,GeneralNote
dejong5,<music21.note.Rest dotted-whole>,1,GeneralNote
dejong6,<music21.note.Rest quarter>,1,GeneralNote
dejong7,<music21.chord.Chord E-4 G-4>,1,GeneralNote
dejong8,<music21.articulations.Tenuto>,1,Articulation
dejong9,<music21.note.Rest eighth>,1,GeneralNote
dejong10,<music21.note.Note B->,1,GeneralNote
dejong11,<music21.note.Note E->,1,GeneralNote
dejong12,<music21.chord.Chord E-4 G-4>,1,GeneralNote
dejong13,<music21.articulations.Tenuto>,1,Articulation
dejong14,<music21.note.Note G->,1,GeneralNote
dejong923,<music21.spanner.Slur <music21.note.Note B-><music21.note.Note C->>,1,Slur
dejong924,<music21.spanner.Slur <music21.chord.Chord E-4 G-4><music21.chord.Chord E-4 A-4>>,1,Slur
dejong1071,<music21.expressions.TextExpression 'Lento'>,1,TextExpression
dejong1072,"<music21.expressions.TextExpression 'weich, zart'>",1,TextExpression
dejong1073,<music21.expressions.TextExpression 'dolcissimo...'>,1,TextExpression
dejong1074,<music21.expressions.TextExpression 'popo porta...'>,1,TextExpression
dejong1112,<music21.tempo.MetronomeMark Quarter=52.5 (playback only)>,1,TempoIndication
dejong1113,<music21.tempo.MetronomeMark Quarter=52.5 (playback only)>,1,MetronomeMark
dejong15,<music21.note.Note C->,2,GeneralNote
dejong16,<music21.articulations.Tenuto>,2,Articulation
dejong17,<music21.chord.Chord E-4 A-4>,2,GeneralNote
dejong18,<music21.articulations.Tenuto>,2,Articulation
dejong19,<music21.note.Rest dotted-whole>,2,GeneralNote
dejong20,<music21.note.Rest dotted-whole>,2,GeneralNote
dejong21,<music21.note.Rest quarter>,2,GeneralNote
dejong22,<music21.chord.Chord E-4 A-4 C-5>,2,GeneralNote
dejong23,<music21.articulations.Tenuto>,2,Articulation
dejong24,<music21.note.Rest eighth>,2,GeneralNote
dejong25,<music21.note.Note E->,2,GeneralNote
dejong26,<music21.note.Note A->,2,GeneralNote
dejong27,<music21.chord.Chord E-4 A-4 C-5>,2,GeneralNote
dejong28,<music21.articulations.Tenuto>,2,Articulation
dejong29,<music21.note.Note C->,2,GeneralNote
dejong925,<music21.spanner.Slur <music21.note.Note E-><music21.note.Note D>>,2,Slur
dejong926,<music21.spanner.Slur <music21.chord.Chord E-4 A-4 C-5><music21.chord.Chord D4 F4 A-4>>,2,Slur
dejong30,<music21.note.Note D>,3,GeneralNote
dejong31,<music21.articulations.Tenuto>,3,Articulation
dejong32,<music21.chord.Chord E-4 F4 A-4>,3,GeneralNote
dejong33,<music21.articulations.Tenuto>,3,Articulation
dejong34,<music21.note.Rest half>,3,GeneralNote
dejong35,<music21.note.Rest dotted-whole>,3,GeneralNote
dejong36,<music21.note.Rest quarter>,3,GeneralNote
dejong37,<music21.chord.Chord D4 F4 A-4>,3,GeneralNote
dejong38,<music21.articulations.Tenuto>,3,Articulation
dejong39,<music21.note.Rest half>,3,GeneralNote
dejong40,<music21.note.Rest eighth>,3,GeneralNote
dejong41,<music21.note.Note F>,3,GeneralNote
dejong42,<music21.note.Note A->,3,GeneralNote
dejong43,<music21.chord.Chord D4 F4>,3,GeneralNote
dejong44,<music21.articulations.Tenuto>,3,Articulation
dejong45,<music21.note.Rest half>,3,GeneralNote
dejong46,<music21.note.Note A->,3,GeneralNote
dejong47,<music21.note.Note G->,3,GeneralNote
dejong48,<music21.note.Note A->,3,GeneralNote
dejong49,<music21.note.Note B->,3,GeneralNote
dejong927,<music21.spanner.Slur <music21.note.Note F><music21.note.Note G->>,3,Slur
dejong50,<music21.note.Note G->,4,GeneralNote
dejong51,<music21.note.Note E->,4,GeneralNote
dejong52,<music21.articulations.Tenuto>,4,Articulation
dejong53,<music21.note.Rest half>,4,GeneralNote
dejong54,<music21.note.Rest dotted-whole>,4,GeneralNote
dejong55,<music21.note.Note F>,4,GeneralNote
dejong56,<music21.note.Note E->,4,GeneralNote
dejong57,<music21.note.Rest half>,4,GeneralNote
dejong58,<music21.note.Note G->,4,GeneralNote
dejong59,<music21.articulations.Staccato>,4,Articulation
dejong60,<music21.articulations.Tenuto>,4,Articulation
dejong61,<music21.note.Rest quarter>,4,GeneralNote
dejong62,<music21.note.Rest eighth>,4,GeneralNote
dejong63,<music21.note.Note B->,4,GeneralNote
dejong64,<music21.note.Note G->,4,GeneralNote
dejong65,<music21.articulations.Staccato>,4,Articulation
dejong66,<music21.articulations.Tenuto>,4,Articulation
dejong67,<music21.chord.Chord G-4 B-4 E-5>,4,GeneralNote
dejong68,<music21.note.Note G->,4,GeneralNote
dejong69,<music21.note.Note E->,4,GeneralNote
dejong928,<music21.spanner.Slur <music21.note.Note G-><music21.note.Note G->>,4,Slur
dejong929,<music21.spanner.Slur <music21.note.Note B-><music21.note.Note B->>,4,Slur
dejong1075,<music21.expressions.TextExpression 'poco espre...'>,4,TextExpression
dejong70,<music21.note.Note G->,5,GeneralNote
dejong71,<music21.chord.Chord G-4 B-4 D-5>,5,GeneralNote
dejong72,<music21.note.Rest half>,5,GeneralNote
dejong73,<music21.note.Rest half>,5,GeneralNote
dejong74,<music21.note.Note B->,5,GeneralNote
dejong75,<music21.articulations.Staccato>,5,Articulation
dejong76,<music21.articulations.Tenuto>,5,Articulation
dejong77,<music21.note.Rest half>,5,GeneralNote
dejong78,<music21.note.Rest half>,5,GeneralNote
dejong79,<music21.note.Rest dotted-whole>,5,GeneralNote
dejong80,<music21.note.Rest whole>,5,GeneralNote
dejong81,<music21.note.Rest quarter>,5,GeneralNote
dejong82,<music21.note.Note B->,5,GeneralNote
dejong83,<music21.articulations.Staccato>,5,Articulation
dejong84,<music21.articulations.Tenuto>,5,Articulation
dejong85,<music21.chord.Chord D-3 G-3 B-3>,5,GeneralNote
dejong86,<music21.note.Rest 16th>,5,GeneralNote
dejong87,<music21.note.Note G->,5,GeneralNote
dejong88,<music21.note.Note F->,5,GeneralNote
dejong89,<music21.note.Note E->,5,GeneralNote
dejong90,<music21.note.Note F->,5,GeneralNote
dejong91,<music21.note.Note B->,5,GeneralNote
