measure_start,measure_end,object,value,id,quarterlength,offset,type
1,,<music21.note.Note B->,note,bischoff1,2.0,0.0,GeneralNote
1,,<music21.chord.Chord E-4 G-4>,note,bischoff2,2.0,0.0,GeneralNote
1,,<music21.note.Rest dotted-whole>,note,bischoff3,6.0,0.0,GeneralNote
1,,<music21.note.Rest dotted-whole>,note,bischoff4,6.0,0.0,GeneralNote
1,,<music21.note.Rest quarter>,note,bischoff5,1.0,2.0,GeneralNote
1,,<music21.chord.Chord E-4 G-4>,note,bischoff6,2.0,2.0,GeneralNote
1,,<music21.note.Rest eighth>,note,bischoff7,0.5,3.0,GeneralNote
1,,<music21.note.Note B->,note,bischoff8,0.5,3.5,GeneralNote
1,,<music21.note.Note E->,note,bischoff9,1.5,4.0,GeneralNote
1,,<music21.chord.Chord E-4 G-4>,note,bischoff10,2.0,4.0,GeneralNote
1,,<music21.note.Note G->,note,bischoff11,0.5,5.5,GeneralNote
1,,<music21.expressions.TextExpression 'Sostenuto'>,Sostenuto,bischoff768,0.0,0.0,TextExpression
1,,<music21.expressions.TextExpression 'espressivo'>,espressivo,bischoff769,0.0,0.0,TextExpression
1,,<music21.tempo.MetronomeMark Quarter=35 (playback only)>,None,bischoff770,0.0,0.0,TempoIndication
1,,<music21.tempo.MetronomeMark lento Half=50>,lento,bischoff771,0.0,0.0,TempoIndication
1,,<music21.tempo.MetronomeMark Quarter=35 (playback only)>,None None,bischoff772,0.0,0.0,MetronomeMark
1,,<music21.tempo.MetronomeMark lento Half=50>,lento 50,bischoff773,0.0,0.0,MetronomeMark
2,,<music21.note.Note C->,note,bischoff12,2.0,6.0,GeneralNote
2,,<music21.chord.Chord E-4 A-4>,note,bischoff13,2.0,6.0,GeneralNote
2,,<music21.note.Rest dotted-whole>,note,bischoff14,6.0,6.0,GeneralNote
2,,<music21.note.Rest dotted-whole>,note,bischoff15,6.0,6.0,GeneralNote
2,,<music21.note.Rest quarter>,note,bischoff16,1.0,8.0,GeneralNote
2,,<music21.chord.Chord E-4 A-4 C-5>,note,bischoff17,2.0,8.0,GeneralNote
2,,<music21.note.Rest eighth>,note,bischoff18,0.5,9.0,GeneralNote
2,,<music21.note.Note E->,note,bischoff19,0.5,9.5,GeneralNote
2,,<music21.note.Note A->,note,bischoff20,1.5,10.0,GeneralNote
2,,<music21.chord.Chord E-4 A-4 C-5>,note,bischoff21,2.0,10.0,GeneralNote
2,,<music21.note.Note C->,note,bischoff22,0.5,11.5,GeneralNote
3,,<music21.note.Note D>,note,bischoff23,2.0,12.0,GeneralNote
3,,<music21.chord.Chord E-4 F4 A-4>,note,bischoff24,2.0,12.0,GeneralNote
3,,<music21.note.Rest dotted-whole>,note,bischoff25,6.0,12.0,GeneralNote
3,,<music21.note.Rest dotted-whole>,note,bischoff26,6.0,12.0,GeneralNote
3,,<music21.note.Rest quarter>,note,bischoff27,1.0,14.0,GeneralNote
3,,<music21.chord.Chord D4 F4 A-4>,note,bischoff28,2.0,14.0,GeneralNote
3,,<music21.note.Rest eighth>,note,bischoff29,0.5,15.0,GeneralNote
3,,<music21.note.Note F>,note,bischoff30,0.5,15.5,GeneralNote
3,,<music21.note.Note A->,note,bischoff31,1.0,16.0,GeneralNote
3,,<music21.chord.Chord D4 F4>,note,bischoff32,2.0,16.0,GeneralNote
3,,<music21.note.Note A->,note,bischoff33,0.25,17.0,GeneralNote
3,,<music21.note.Note G->,note,bischoff34,0.25,17.25,GeneralNote
3,,<music21.note.Note A->,note,bischoff35,0.25,17.5,GeneralNote
3,,<music21.articulations.Fingering 4>,fingering,bischoff36,0.0,0.0,Fingering
3,,<music21.note.Note B->,note,bischoff37,0.25,17.75,GeneralNote
4,,<music21.note.Note G->,note,bischoff38,1.5,18.0,GeneralNote
4,,<music21.note.Note E->,note,bischoff39,2.0,18.0,GeneralNote
4,,<music21.note.Rest half>,note,bischoff40,2.0,18.0,GeneralNote
4,,<music21.note.Rest dotted-whole>,note,bischoff41,6.0,18.0,GeneralNote
4,,<music21.note.Note F>,note,bischoff42,0.25,19.5,GeneralNote
4,,<music21.note.Note E->,note,bischoff43,0.25,19.75,GeneralNote
4,,<music21.note.Rest half>,note,bischoff44,2.0,20.0,GeneralNote
4,,<music21.note.Note G->,note,bischoff45,2.0,20.0,GeneralNote
4,,<music21.note.Rest quarter>,note,bischoff46,1.0,20.0,GeneralNote
4,,<music21.note.Rest eighth>,note,bischoff47,0.5,21.0,GeneralNote
4,,<music21.note.Note B->,note,bischoff48,0.5,21.5,GeneralNote
4,,<music21.chord.Chord G-4 B-4 E-5 G-5>,note,bischoff49,2.0,22.0,GeneralNote
4,,<music21.note.Rest half>,note,bischoff50,2.0,22.0,GeneralNote
4,,<music21.note.Rest half>,note,bischoff51,2.0,22.0,GeneralNote
4,,<music21.note.Note G->,note,bischoff52,1.5,22.0,GeneralNote
4,,<music21.note.Note E->,note,bischoff53,0.5,23.5,GeneralNote
5,,<music21.chord.Chord G-4 B-4 D-5 G-5>,note,bischoff54,2.0,24.0,GeneralNote
5,,<music21.note.Note B->,note,bischoff55,2.0,24.0,GeneralNote
5,,<music21.note.Rest dotted-whole>,note,bischoff56,6.0,24.0,GeneralNote
5,,<music21.note.Rest quarter>,note,bischoff57,1.0,26.0,GeneralNote
5,,<music21.chord.Chord B-2 D-3 G-3 B-3>,note,bischoff58,2.0,26.0,GeneralNote
5,,<music21.note.Rest 16th>,note,bischoff59,0.25,27.0,GeneralNote
5,,<music21.note.Note G->,note,bischoff60,0.25,27.25,GeneralNote
5,,<music21.note.Note F->,note,bischoff61,0.25,27.5,GeneralNote
5,,<music21.note.Note E->,note,bischoff62,0.25,27.75,GeneralNote
5,,<music21.note.Note F->,note,bischoff63,1.5,28.0,GeneralNote
5,,<music21.articulations.Fingering 5>,fingering,bischoff64,0.0,0.0,Fingering
5,,<music21.chord.Chord B-2 D-3 G-3 B-3>,note,bischoff65,2.0,28.0,GeneralNote
5,,<music21.note.Note D->,note,bischoff66,0.5,29.5,GeneralNote
6,,<music21.note.Note E->,note,bischoff67,2.0,30.0,GeneralNote
6,,<music21.chord.Chord E-4 G-4 C-5>,note,bischoff68,2.0,30.0,GeneralNote
6,,<music21.chord.Chord C-3 E-3 G-3 C-4>,note,bischoff69,2.0,30.0,GeneralNote
6,,<music21.note.Rest dotted-whole>,note,bischoff70,6.0,30.0,GeneralNote
6,,<music21.chord.Chord G-4 C-5 E-5>,note,bischoff71,2.0,32.0,GeneralNote
6,,<music21.note.Rest half>,note,bischoff72,2.0,32.0,GeneralNote
6,,<music21.note.Rest half>,note,bischoff73,2.0,32.0,GeneralNote
6,,<music21.note.Rest quarter>,note,bischoff74,1.0,32.0,GeneralNote
6,,<music21.note.Rest eighth>,note,bischoff75,0.5,33.0,GeneralNote
6,,<music21.note.Note G->,note,bischoff76,0.5,33.5,GeneralNote
6,,<music21.chord.Chord G-4 C-5 E-5>,note,bischoff77,2.0,34.0,GeneralNote
6,,<music21.note.Rest half>,note,bischoff78,2.0,34.0,GeneralNote
6,,<music21.note.Rest half>,note,bischoff79,2.0,34.0,GeneralNote
6,,<music21.note.Note E->,note,bischoff80,1.5,34.0,GeneralNote
6,,<music21.note.Note C->,note,bischoff81,0.5,35.5,GeneralNote
7,,<music21.chord.Chord B-4 E-5 B-5>,note,bischoff82,2.0,36.0,GeneralNote
7,,<music21.note.Note G>,note,bischoff83,2.0,36.0,GeneralNote
7,,<music21.note.Rest dotted-whole>,note,bischoff84,6.0,36.0,GeneralNote
7,,<music21.note.Rest quarter>,note,bischoff85,1.0,38.0,GeneralNote
7,,<music21.chord.Chord G2 B-2 E-3 G3>,note,bischoff86,2.0,38.0,GeneralNote
7,,<music21.note.Rest 16th>,note,bischoff87,0.25,39.0,GeneralNote
7,,<music21.note.Note E->,note,bischoff88,0.25,39.25,GeneralNote
7,,<music21.note.Note D->,note,bischoff89,0.25,39.5,GeneralNote
7,,<music21.note.Note C->,note,bischoff90,0.25,39.75,GeneralNote
7,,<music21.note.Note D->,note,bischoff91,1.5,40.0,GeneralNote
7,,<music21.chord.Chord G2 B-2 E-3 G3>,note,bischoff92,2.0,40.0,GeneralNote
7,,<music21.note.Note B->,note,bischoff93,0.5,41.5,GeneralNote
8,,<music21.note.Rest half>,note,bischoff94,2.0,42.0,GeneralNote
8,,<music21.note.Note C->,note,bischoff95,1.5,42.0,GeneralNote
8,,<music21.articulations.Fingering 31>,fingering,bischoff96,0.0,0.0,Fingering
8,,<music21.chord.Chord A-2 C-3 E-3 A-3>,note,bischoff97,2.0,42.0,GeneralNote
8,,<music21.note.Rest dotted-whole>,note,bischoff98,6.0,42.0,GeneralNote
8,,<music21.note.Note B->,note,bischoff99,0.25,43.5,GeneralNote
8,,<music21.articulations.Fingering 2>,fingering,bischoff100,0.0,0.0,Fingering
8,,<music21.note.Note A->,note,bischoff101,0.25,43.75,GeneralNote
8,,<music21.chord.Chord E-5 A-5 C-6>,note,bischoff102,2.0,44.0,GeneralNote
8,,<music21.note.Rest quarter>,note,bischoff103,1.0,44.0,GeneralNote
8,,<music21.note.Rest whole>,note,bischoff104,4.0,44.0,GeneralNote
8,,<music21.note.Rest eighth>,note,bischoff105,0.5,45.0,GeneralNote
8,,<music21.note.Note C->,note,bischoff106,0.5,45.5,GeneralNote
8,,<music21.chord.Chord E-5 A-5 C-6>,note,bischoff107,2.0,46.0,GeneralNote
8,,<music21.note.Note A->,note,bischoff108,1.5,46.0,GeneralNote
