measure_start,measure_end,object,value,id,quarterlength,offset,type
0,,<music21.note.Note A>,note,urtext1,0.5,0.0,GeneralNote
0,,<music21.note.Rest dotted-half>,note,urtext2,3.0,0.0,GeneralNote
0,,<music21.expressions.TextExpression 'Allegro'>,Allegro,urtext792,0.0,0.0,TextExpression
0,,<music21.tempo.MetronomeMark Quarter=144 (playback only)>,None,urtext793,0.0,0.0,TempoIndication
0,,<music21.tempo.MetronomeMark Quarter=144 (playback only)>,None None,urtext794,0.0,0.0,MetronomeMark
1,,<music21.note.Note D>,note,urtext3,0.5,3.0,GeneralNote
1,,<music21.chord.Chord D4 F4>,note,urtext4,1.5,3.0,GeneralNote
1,,<music21.note.Rest dotted-half>,note,urtext5,3.0,3.0,GeneralNote
1,,<music21.note.Note E>,note,urtext6,0.5,3.5,GeneralNote
1,,<music21.note.Note F>,note,urtext7,0.5,4.0,GeneralNote
1,,<music21.note.Note E>,note,urtext8,0.5,4.5,GeneralNote
1,,<music21.chord.Chord C#4 E4>,note,urtext9,1.5,4.5,GeneralNote
1,,<music21.note.Note A>,note,urtext10,0.5,5.0,GeneralNote
1,,<music21.note.Note A>,note,urtext11,0.5,5.5,GeneralNote
2,,<music21.note.Note F>,note,urtext12,1.5,6.0,GeneralNote
2,,<music21.note.Note D>,note,urtext13,0.5,6.0,GeneralNote
2,,<music21.note.Rest dotted-half>,note,urtext14,3.0,6.0,GeneralNote
2,,<music21.note.Note F>,note,urtext15,0.5,6.5,GeneralNote
2,,<music21.note.Note A>,note,urtext16,0.5,7.0,GeneralNote
2,,<music21.note.Note E>,note,urtext17,1.0,7.5,GeneralNote
2,,<music21.note.Note C>,note,urtext18,0.5,7.5,GeneralNote
2,,<music21.note.Note F>,note,urtext19,0.5,8.0,GeneralNote
2,,<music21.note.Note A>,note,urtext20,0.5,8.5,GeneralNote
2,,<music21.note.Note A>,note,urtext21,0.5,8.5,GeneralNote
3,,<music21.note.Note G>,note,urtext22,0.5,9.0,GeneralNote
3,,<music21.note.Note D>,note,urtext23,1.5,9.0,GeneralNote
3,,<music21.note.Note B->,note,urtext24,1.5,9.0,GeneralNote
3,,<music21.note.Note B->,note,urtext25,0.25,9.5,GeneralNote
3,,<music21.note.Note A>,note,urtext26,0.25,9.75,GeneralNote
3,,<music21.note.Note G>,note,urtext27,0.25,10.0,GeneralNote
3,,<music21.note.Note F>,note,urtext28,0.25,10.25,GeneralNote
3,,<music21.note.Note E>,note,urtext29,0.5,10.5,GeneralNote
3,,<music21.chord.Chord D4 E4>,note,urtext30,1.5,10.5,GeneralNote
3,,<music21.note.Note G>,note,urtext31,1.5,10.5,GeneralNote
3,,<music21.note.Note G>,note,urtext32,0.25,11.0,GeneralNote
3,,<music21.note.Note F>,note,urtext33,0.25,11.25,GeneralNote
3,,<music21.note.Note E>,note,urtext34,0.25,11.5,GeneralNote
3,,<music21.note.Note D>,note,urtext35,0.25,11.75,GeneralNote
4,,<music21.note.Note D>,note,urtext36,1.0,12.0,GeneralNote
4,,<music21.note.Note A>,note,urtext37,0.5,12.0,GeneralNote
4,,<music21.note.Note C#>,note,urtext38,0.5,12.5,GeneralNote
4,,<music21.note.Note C#>,note,urtext39,0.5,13.0,GeneralNote
4,,<music21.note.Note E>,note,urtext40,0.5,13.0,GeneralNote
4,,<music21.note.Note C#>,note,urtext41,1.0,13.5,GeneralNote
4,,<music21.note.Note A>,note,urtext42,0.25,13.5,GeneralNote
4,,<music21.note.Note G>,note,urtext43,0.25,13.75,GeneralNote
4,,<music21.note.Note F>,note,urtext44,0.25,14.0,GeneralNote
4,,<music21.note.Note E>,note,urtext45,0.25,14.25,GeneralNote
4,,<music21.note.Note A>,note,urtext46,0.5,14.5,GeneralNote
4,,<music21.note.Note D>,note,urtext47,0.5,14.5,GeneralNote
5,,<music21.note.Note C>,note,urtext48,0.5,15.0,GeneralNote
5,,<music21.note.Note G>,note,urtext49,1.0,15.0,GeneralNote
5,,<music21.note.Rest dotted-half>,note,urtext50,3.0,15.0,GeneralNote
5,,<music21.note.Note B->,note,urtext51,0.5,15.5,GeneralNote
5,,<music21.note.Note G>,note,urtext52,0.5,16.0,GeneralNote
5,,<music21.note.Note G>,note,urtext53,0.5,16.0,GeneralNote
5,,<music21.note.Note B->,note,urtext54,0.5,16.5,GeneralNote
5,,<music21.note.Note F>,note,urtext55,1.0,16.5,GeneralNote
5,,<music21.note.Note A>,note,urtext56,0.5,17.0,GeneralNote
5,,<music21.note.Note F>,note,urtext57,0.5,17.5,GeneralNote
5,,<music21.note.Note F>,note,urtext58,0.5,17.5,GeneralNote
6,,<music21.note.Note A>,note,urtext59,0.5,18.0,GeneralNote
6,,<music21.note.Note E>,note,urtext60,1.0,18.0,GeneralNote
6,,<music21.note.Rest dotted-half>,note,urtext61,3.0,18.0,GeneralNote
6,,<music21.note.Note G>,note,urtext62,0.5,18.5,GeneralNote
6,,<music21.note.Note E>,note,urtext63,0.5,19.0,GeneralNote
6,,<music21.note.Note E>,note,urtext64,0.5,19.0,GeneralNote
6,,<music21.note.Note G>,note,urtext65,0.5,19.5,GeneralNote
6,,<music21.note.Note D>,note,urtext66,1.0,19.5,GeneralNote
6,,<music21.note.Note F>,note,urtext67,0.5,20.0,GeneralNote
6,,<music21.note.Note D>,note,urtext68,0.5,20.5,GeneralNote
6,,<music21.note.Note D>,note,urtext69,0.5,20.5,GeneralNote
7,,<music21.note.Note F>,note,urtext70,0.5,21.0,GeneralNote
7,,<music21.note.Note C>,note,urtext71,1.0,21.0,GeneralNote
