measure_start,measure_end,object,value,id,quarterlength,offset
1,,<music21.note.Rest dotted-whole>,note,134548728553376,6.0,0.0
1,,<music21.note.Note B->,note,134548726617280,2.0,0.0
1,,<music21.articulations.Tenuto>,tenuto,134548726617424,0.0,0.0
1,,<music21.chord.Chord E-4 G-4>,note,134548724611072,2.0,0.0
1,,<music21.articulations.Tenuto>,tenuto,134548724611504,0.0,0.0
1,,<music21.note.Rest dotted-whole>,note,134548724612704,6.0,0.0
1,,<music21.note.Rest quarter>,note,134548726617664,1.0,2.0
1,,<music21.chord.Chord E-4 G-4>,note,134548724611600,2.0,2.0
1,,<music21.articulations.Tenuto>,tenuto,134548724612032,0.0,0.0
1,,<music21.note.Rest eighth>,note,134548726617760,0.5,3.0
1,,<music21.note.Note B->,note,134548726617856,0.5,3.5
1,,<music21.note.Note E->,note,134548726618048,1.5,4.0
1,,<music21.chord.Chord E-4 G-4>,note,134548724612128,2.0,4.0
1,,<music21.articulations.Tenuto>,tenuto,134548724612560,0.0,0.0
1,,<music21.note.Note G->,note,134548726618240,0.5,5.5
1,2,<music21.spanner.Slur <music21.note.Note B-><music21.note.Note C->>,slur,134548726618432,2.5,0.0
1,,<music21.dynamics.Dynamic pp>,pp,134548726617040,,
1,,<music21.expressions.TextExpression 'Lento'>,Lento,134548728551888,0.0,0.0
1,,<music21.expressions.TextExpression 'molto espr...'>,molto espressivo,134548726616560,0.0,0.0
1,,<music21.tempo.MetronomeMark Quarter=52.5 (playback only)>,None,134548728552560,0.0,0.0
1,,<music21.tempo.MetronomeMark andante Quarter=72>,andante,134548728552704,0.0,0.0
1,,<music21.tempo.MetronomeMark Quarter=52.5 (playback only)>,None None,134548728552560,0.0,0.0
1,,<music21.tempo.MetronomeMark andante Quarter=72>,andante 72,134548728552704,0.0,0.0
2,,<music21.note.Rest dotted-whole>,note,134548728555440,6.0,6.0
2,,<music21.note.Note C->,note,134548726618528,2.0,6.0
2,,<music21.chord.Chord E-4 A-4>,note,134548724612896,2.0,6.0
2,,<music21.articulations.Tenuto>,tenuto,134548725039376,0.0,0.0
2,,<music21.note.Rest dotted-whole>,note,134548725040960,6.0,6.0
2,,<music21.note.Rest quarter>,note,134548727208256,1.0,8.0
2,,<music21.chord.Chord E-4 A-4 C-5>,note,134548725039472,2.0,8.0
2,,<music21.articulations.Tenuto>,tenuto,134548725040096,0.0,0.0
2,,<music21.note.Rest eighth>,note,134548727208400,0.5,9.0
2,,<music21.note.Note E->,note,134548726618816,0.5,9.5
2,,<music21.note.Note A->,note,134548727208496,1.5,10.0
2,,<music21.chord.Chord E-4 A-4 C-5>,note,134548725040192,2.0,10.0
2,,<music21.articulations.Tenuto>,tenuto,134548725040816,0.0,0.0
