measure_start,measure_end,object,value,id,quarterlength,offset
1,,<music21.note.Rest dotted-whole>,note,134548736181744,6.0,0.0
1,,<music21.note.Note B->,note,134548705972672,2.0,0.0
1,,<music21.chord.Chord E-4 G-4>,note,134548703921696,2.0,0.0
1,,<music21.note.Rest dotted-whole>,note,134548703923040,6.0,0.0
1,,<music21.note.Rest quarter>,note,134548705972864,1.0,2.0
1,,<music21.chord.Chord E-4 G-4>,note,134548703922128,2.0,2.0
1,,<music21.note.Rest eighth>,note,134548705973008,0.5,3.0
1,,<music21.note.Note B->,note,134548705973104,0.5,3.5
1,,<music21.note.Note E->,note,134548705973296,1.5,4.0
1,,<music21.chord.Chord E-4 G-4>,note,134548703922560,2.0,4.0
1,,<music21.note.Note G->,note,134548705973488,0.5,5.5
1,2,<music21.spanner.Slur <music21.note.Note B-><music21.note.Note C->>,slur,134548705973728,2.5,0.0
1,,<music21.dynamics.Dynamic pp>,pp,134548705972432,,
1,,<music21.expressions.TextExpression 'Lento'>,Lento,134548705706064,0.0,0.0
1,,<music21.tempo.MetronomeMark Quarter=52.5 (playback only)>,None,134548736372048,0.0,0.0
1,,<music21.tempo.MetronomeMark largo Half=48>,largo,134548705706832,0.0,0.0
1,,<music21.tempo.MetronomeMark Quarter=52.5 (playback only)>,None None,134548736372048,0.0,0.0
1,,<music21.tempo.MetronomeMark largo Half=48>,largo 48,134548705706832,0.0,0.0
2,,<music21.note.Rest dotted-whole>,note,134548705707744,6.0,6.0
2,,<music21.note.Note C->,note,134548705973824,2.0,6.0
2,,<music21.chord.Chord E-4 A-4>,note,134548703923232,2.0,6.0
2,,<music21.note.Rest dotted-whole>,note,134548703924960,6.0,6.0
2,,<music21.note.Rest quarter>,note,134548706287616,1.0,8.0
2,,<music21.chord.Chord E-4 A-4 C-5>,note,134548703923664,2.0,8.0
2,,<music21.note.Rest eighth>,note,134548706287760,0.5,9.0
2,,<music21.note.Note E->,note,134548705974208,0.5,9.5
2,,<music21.note.Note A->,note,134548706287856,1.5,10.0
2,,<music21.chord.Chord E-4 A-4 C-5>,note,134548703924288,2.0,10.0
2,,<music21.note.Note C->,note,134548706288048,0.5,11.5
2,3,<music21.spanner.Slur <music21.note.Note E-><music21.note.Note D>>,slur,134548705974736,2.5,0.0
2,3,<music21.dynamics.Crescendo <music21.note.Note E-><music21.note.Note D>>,diminuendo,134548705974064,,
3,,<music21.note.Rest half>,note,134548705707888,2.0,12.0
3,,<music21.note.Note D>,note,134548705974400,2.0,12.0
3,,<music21.chord.Chord E-4 F4 A-4>,note,134548703925344,2.0,12.0
3,,<music21.note.Rest dotted-whole>,note,134548703927072,6.0,12.0
3,,<music21.note.Rest quarter>,note,134548706288288,1.0,13.0
3,,<music21.note.Rest quarter>,note,134548703925152,1.0,13.0
3,,<music21.note.Rest quarter>,note,134548705708032,1.0,14.0
3,,<music21.note.Rest quarter>,note,134548706288432,1.0,14.0
3,,<music21.chord.Chord D4 F4 A-4>,note,134548703925968,2.0,14.0
3,,<music21.note.Rest eighth>,note,134548705708128,0.5,15.0
3,,<music21.note.Rest eighth>,note,134548706288528,0.5,15.0
3,,<music21.note.Rest eighth>,note,134548705708224,0.5,15.5
3,,<music21.note.Note F>,note,134548705974928,0.5,15.5
3,,<music21.note.Note A->,note,134548705708368,0.125,16.0
3,,<music21.note.Note A->,note,134548706288624,1.0,16.0
3,,<music21.chord.Chord D4 F4>,note,134548703926592,2.0,16.0
3,,<music21.note.Note B->,note,134548705709184,0.125,16.125
3,,<music21.note.Note A->,note,134548705709424,0.75,16.25
3,,<music21.note.Rest quarter>,note,134548705709616,1.0,17.0
3,,<music21.note.Note A->,note,134548706288960,0.25,17.0
3,,<music21.note.Note G->,note,134548706289200,0.25,17.25
3,,<music21.note.Note A->,note,134548706289392,0.25,17.5
3,,<music21.note.Note B->,note,134548706289584,0.25,17.75
3,4,<music21.spanner.Slur <music21.note.Note F><music21.note.Note G->>,slur,134548705974832,4.5,0.0
4,,<music21.note.Note G->,note,134548705709808,0.125,18.0
4,,<music21.note.Note G->,note,134548706289968,1.5,18.0
4,,<music21.note.Note E->,note,134548703927360,2.0,18.0
4,,<music21.note.Rest half>,note,134548703927600,2.0,18.0
4,,<music21.note.Note A->,note,134548705710000,0.125,18.125
4,,<music21.note.Note G->,note,134548705710192,0.125,18.25
4,,<music21.note.Note A->,note,134548705710384,0.125,18.375
4,,<music21.note.Note G->,note,134548705710576,0.125,18.5
4,,<music21.note.Note A->,note,134548705710768,0.125,18.625
4,,<music21.note.Note G->,note,134548705710960,0.125,18.75
4,,<music21.note.Note A->,note,134548705711152,0.125,18.875
4,,<music21.note.Note G->,note,134548705711344,0.5,19.0
4,,<music21.note.Note F>,note,134548705711536,0.25,19.5
4,,<music21.note.Note F>,note,134548706290208,0.25,19.5
4,,<music21.articulations.Tenuto>,tenuto,134548706290304,0.0,0.0
4,,<music21.note.Note E->,note,134548705711728,0.25,19.75
4,,<music21.note.Note E->,note,134548706290448,0.25,19.75
4,,<music21.articulations.Tenuto>,tenuto,134548706290544,0.0,0.0
4,,<music21.note.Rest half>,note,134548705711920,2.0,20.0
4,,<music21.note.Rest half>,note,134548706290688,2.0,20.0
4,,<music21.note.Note G->,note,134548705975120,2.0,20.0
4,,<music21.note.Rest quarter>,note,134548703927696,1.0,20.0
